d18O (permil),year (AD),depth (cm)
-8,1999.6,0.0125
-8,1998.8,0.0375
-8.4,1998,0.0625
-8.3,1997.2,0.0875
-8.1,1996.4,0.1125
-8.3,1995.6,0.1375
-8.2,1994.8,0.1625
-8.3,1994,0.1875
-8.4,1993.2,0.2125
-8.3,1992.4,0.2375
-8.4,1991.6,0.2625
-8.4,1990.9,0.2875
-8.3,1990.2,0.3125
-8.2,1989.8,0.3375
-8.3,1989.3,0.3625
-8.3,1988.9,0.3875
-8.3,1988.5,0.4125
-8.5,1988,0.4375
-8.4,1987.6,0.4625
-8.4,1987.1,0.4875
-8.4,1986.7,0.5125
-8.2,1986.2,0.5375
-8.3,1985.8,0.5625
-8.5,1985.4,0.5875
-8.4,1984.9,0.6125
-8.5,1984.5,0.6375
-8.5,1984,0.6625
-8.4,1983.6,0.6875
-8.4,1983.1,0.7125
-8.7,1982.7,0.7375
-8.7,1982.3,0.7625
-8.7,1981.8,0.7875
-8.7,1981.4,0.8125
-8.8,1980.9,0.8375
-8.6,1980.5,0.8625
-8.5,1980,0.8875
-8.8,1979.6,0.9125
-8.6,1979.2,0.9375
-8.6,1978.7,0.9625
-8.8,1978.3,0.9875
-8.5,1977.8,1.0125
-8.5,1977.4,1.0375
-8.5,1976.9,1.0625
-8.6,1976.5,1.0875
-8.6,1976.1,1.1125
-8.4,1975.6,1.1375
-8.5,1975.2,1.1625
-8.5,1974.7,1.1875
-8.6,1974.3,1.2125
-8.6,1973.8,1.2375
-8.5,1973.4,1.2625
-8.5,1973,1.2875
-8.6,1972.5,1.3125
-8.5,1972.1,1.3375
-8.8,1971.6,1.3625
-8.6,1971.2,1.3875
-8.5,1970.7,1.4125
-8.7,1970.3,1.4375
-8.6,1969.8,1.4625
-8.5,1969.4,1.4875
-8.6,1969,1.5125
-8.6,1968.5,1.5375
-8.7,1968.1,1.5625
-8.7,1967.6,1.5875
-8.6,1967.2,1.6125
-8.5,1966.7,1.6375
-8.3,1966.3,1.6625
-8.4,1965.9,1.6875
-8.5,1965.4,1.7125
-8.5,1965,1.7375
-8.5,1964.5,1.7625
-8.8,1964.1,1.7875
-8.8,1963.6,1.8125
-8.5,1963.2,1.8375
-8.6,1962.8,1.8625
-8.4,1962.3,1.8875
-8.7,1961.9,1.9125
-8.5,1961.4,1.9375
-8.3,1961,1.9625
-8.3,1960.5,1.9875
-8.3,1960.1,2.0125
-8.4,1959.7,2.0375
-8.4,1959.2,2.0625
-8.4,1958.8,2.0875
-8.5,1958.3,2.1125
-8.4,1957.9,2.1375
-8.4,1957.4,2.1625
-8.4,1957,2.1875
-8.5,1956.6,2.2125
-8.6,1956.1,2.2375
-8.4,1955.7,2.2625
-8.4,1955.2,2.2875
-8.4,1954.8,2.3125
-8.4,1954.3,2.3375
-8.4,1953.9,2.3625
-8.4,1953.5,2.3875
-8.5,1953,2.4125
-8.4,1952.6,2.4375
-8.6,1952.1,2.4625
-8.6,1951.7,2.4875
-8.4,1951.2,2.5125
-8.2,1950.8,2.5375
-8.3,1950.3,2.5625
-8.4,1949.9,2.5875
-8.5,1949.5,2.6125
-8.6,1949,2.6375
-8.4,1948.6,2.6625
-8.2,1948.1,2.6875
-7.9,1947.7,2.7125
-8.2,1947.2,2.7375
-8.2,1946.8,2.7625
-8.3,1946.4,2.7875
-8.3,1945.9,2.8125
-8,1945.4,2.8375
-8.1,1944.9,2.8625
-8.1,1944.5,2.8875
-8,1944,2.9125
-8,1943.5,2.9375
-8.1,1943,2.9625
-8.1,1942.6,2.9875
-8.2,1942.1,3.0125
-8.5,1941.6,3.0375
-8.4,1941.1,3.0625
-8.6,1940.7,3.0875
-8.6,1940.2,3.1125
-8.4,1939.7,3.1375
-8.3,1939.2,3.1625
-8.6,1938.7,3.1875
-8.6,1938.3,3.2125
-8.5,1937.8,3.2375
-8.6,1937.3,3.2625
-8.5,1936.8,3.2875
-8.3,1936.4,3.3125
