d18O (permil),year (AD),depth (cm),Mg_Ca (mmol/mol),temperature (degC),d18O (permil)
NA,1793.38,1.25,NA,NA,1.86
-0.12,1787.17,1.75,1.24,6.09,1.79
-0.16,1780.96,2.25,1.17,5.49,1.97
-0.01,1774.76,2.75,1.24,6.06,1.99
NA,1768.55,3.25,NA,NA,2.01
0,1762.34,3.75,1.19,5.63,2.1
1.3,1756.13,4.25,2.19,11.77,1.98
0.59,1749.92,4.75,1.64,8.86,1.93
0.24,1743.72,5.25,1.45,7.62,1.87
0.49,1737.51,5.75,1.51,8.02,2.02
-0.01,1731.3,6.25,1.25,6.19,1.95
0.14,1725.09,6.75,1.24,6.09,2.13
-0.23,1718.88,7.25,1.23,6,1.78
0.2,1712.68,7.75,1.4,7.28,1.91
NA,1706.47,8.25,NA,NA,2.09
-0.1,1700.26,8.75,1.24,6.07,1.89
0,1694.05,9.25,1.19,5.63,2.09
0.77,1687.84,9.75,1.57,8.46,2.2
0.3,1681.64,10.25,1.37,7.09,2.05
0.09,1675.43,10.75,1.3,6.55,1.97
0.04,1669.22,11.25,1.25,6.14,2.01
0.2,1663.01,11.75,1.44,7.56,1.84
NA,1656.8,12.25,1.66,8.99,NA
NA,1650.6,12.75,NA,NA,1.98
0.61,1644.39,13.25,1.67,9.03,1.91
0.03,1638.18,13.75,1.29,6.45,1.93
-0.02,1631.97,14.25,1.3,6.59,1.85
0.11,1625.76,14.75,1.36,6.97,1.89
0,1619.56,15.25,1.32,6.74,1.83
0.63,1613.35,15.75,1.56,8.4,2.08
0.22,1607.14,16.25,1.38,7.13,1.97
0.32,1600.93,16.75,1.45,7.64,1.94
0.49,1594.72,17.25,1.53,8.16,1.99
0.67,1588.52,17.75,1.69,9.16,1.94
0.19,1582.31,18.25,1.32,6.73,2.03
0.05,1576.1,18.75,1.33,6.77,1.88
0.49,1569.89,19.25,1.45,7.66,2.11
NA,1563.68,19.75,1.43,7.48,NA
-0.03,1557.48,20.25,1.28,6.42,1.88
0.47,1551.27,20.75,1.6,8.63,1.86
NA,1545.06,21.25,NA,NA,2.05
0.02,1538.85,21.75,1.28,6.42,1.93
0.4,1532.64,22.25,1.5,7.98,1.95
-0.3,1526.44,22.75,1.09,4.78,2
0.15,1520.23,23.25,1.41,7.4,1.83
NA,1514.02,23.75,NA,NA,2.01
NA,1507.81,24.25,NA,NA,1.8
NA,1504.71,24.5,1.04,NA,NA
0.23,1501.6,24.75,1.34,6.85,2.03
0,1495.4,25.25,1.26,6.27,1.95
-0.22,1489.19,25.75,1.14,5.2,1.98
0.12,1482.98,26.25,1.23,6.01,2.12
0.11,1476.77,26.75,1.28,6.44,2.01
NA,1470.56,27.25,NA,NA,1.94
-0.08,1464.36,27.75,1.22,5.91,1.95
0.55,1458.15,28.25,1.6,8.64,1.94
0.6,1451.94,28.75,1.6,8.62,2
0.39,1445.73,29.25,1.53,8.17,1.89
0.87,1439.52,29.75,1.8,9.83,1.99
NA,1433.32,30.25,NA,NA,1.92
0.07,1427.11,30.75,1.3,6.57,1.94
0.51,1420.9,31.25,1.68,9.11,1.79
0.11,1414.69,31.75,1.41,7.34,1.81
0.2,1408.48,32.25,1.32,6.73,2.04
NA,1402.28,32.75,NA,NA,1.92
0.62,1396.07,33.25,1.82,9.94,1.71
0.61,1389.86,33.75,1.61,8.71,1.98
0.35,1383.65,34.25,1.5,7.99,1.89
0.58,1377.44,34.75,1.59,8.54,1.99
0.56,1371.24,35.25,1.47,7.8,2.14
0.46,1365.03,35.75,1.57,8.46,1.89
0.7,1358.82,36.25,1.66,9.01,2
0.32,1352.61,36.75,1.55,8.3,1.79
0.24,1346.4,37.25,1.32,6.73,2.07
-0.2,1340.2,37.75,1.19,5.69,1.88
0.16,1333.99,38.25,1.35,6.95,1.94
0.04,1327.78,38.75,1.21,5.83,2.09
0.65,1321.57,39.25,1.65,8.92,1.98
0.07,1315.36,39.75,1.3,6.58,1.94
-0.11,1309.16,40.25,1.24,6.08,1.88
0.7,1302.95,40.75,1.55,8.33,2.16
-0.05,1296.74,41.25,1.28,6.38,1.87
0.06,1290.53,41.75,1.32,6.67,1.91
0.1,1284.32,42.25,1.35,6.9,1.9
0.38,1278.12,42.75,1.52,8.13,1.89
0.07,1271.91,43.25,1.25,6.13,2.05
-0.09,1265.7,43.75,1.26,6.21,1.86
0.33,1259.49,44.25,1.46,7.71,1.93
0.12,1253.28,44.75,1.32,6.69,1.97
0.42,1247.08,45.25,1.6,8.64,1.81
0.04,1240.87,45.75,1.37,7.08,1.8
0.25,1234.66,46.25,1.41,7.39,1.93
0.42,1228.45,46.75,1.65,8.95,1.74
0.53,1222.24,47.25,1.58,8.49,1.95
0.13,1216.04,47.75,1.41,7.39,1.81
0.31,1209.83,48.25,1.59,8.54,1.72
0.56,1203.62,48.75,1.54,8.26,2.04
0.18,1197.41,49.25,1.41,7.35,1.87
0.39,1191.2,49.75,1.48,7.87,1.96
NA,1185,50.25,NA,NA,1.82
0.21,1178.79,50.75,1.4,7.31,1.91
0.8,1172.58,51.25,1.68,9.09,2.09
0.24,1166.37,51.75,1.43,7.54,1.88
0.53,1160.16,52.25,1.54,8.25,2.01
NA,1153.96,52.75,1.39,7.21,NA
-0.1,1147.75,53.25,1.21,5.85,1.94
0.09,1141.54,53.75,1.29,6.45,1.99
0.94,1135.33,54.25,1.86,10.15,1.98
-0.04,1129.12,54.75,1.26,6.25,1.9
-0.05,1122.92,55.25,1.34,6.88,1.75
-0.28,1116.71,55.75,1.2,5.77,1.78
1.1,1110.5,56.25,1.97,10.73,2.02
0.28,1104.29,56.75,1.57,8.41,1.73
0.26,1098.08,57.25,1.43,7.53,1.9
NA,1091.88,57.75,NA,NA,1.8
0.27,1085.67,58.25,1.52,8.09,1.79
0.01,1079.46,58.75,1.33,6.79,1.83
0.3,1073.25,59.25,1.44,7.61,1.93
0.56,1067.04,59.75,1.66,9,1.87
0.37,1060.84,60.25,1.59,8.55,1.78
0.66,1054.63,60.75,1.6,8.61,2.06
0.17,1048.42,61.25,1.31,6.65,2.02
0.21,1042.21,61.75,1.41,7.37,1.89
0.52,1036,62.25,1.62,8.76,1.88
0.09,1029.8,62.75,1.33,6.81,1.9
-0.09,1023.59,63.25,1.29,6.47,1.81
0.09,1017.38,63.75,1.34,6.86,1.89
-0.07,1011.17,64.25,1.29,6.46,1.83
0.18,1004.96,64.75,1.45,7.65,1.8
0.27,998.76,65.25,1.53,8.2,1.76
0.29,992.55,65.75,1.51,8.04,1.82
0.03,986.34,66.25,1.28,6.42,1.93
0.51,980.13,66.75,1.63,8.81,1.86
0.35,973.92,67.25,1.49,7.93,1.9
NA,967.72,67.75,1.48,7.87,NA
0.34,961.51,68.25,1.48,7.84,1.92
0.78,955.3,68.75,1.88,10.25,1.8
