Sample ID (unitless),year (AD),d18O (per mil),Sr/Ca (mmol/mol),d18Osw (per mil)
1,2010.92,-5.1,8.82,0.29
2,2010.79,-5.07,8.85,0.2
3,2010.67,-4.92,8.86,0.32
4,2010.59,-4.85,8.85,0.43
5,2010.51,-5.06,8.82,0.32
6,2010.44,-5.16,8.8,0.3
7,2010.36,-5.08,8.81,0.34
8,2010.28,-5.48,8.79,0.02
9,2010.21,-5.32,8.79,0.16
10,2010.13,-5.31,8.76,0.29
11,2010.06,-5.04,8.73,0.66
12,2009.98,-5.24,8.8,0.2
13,2009.9,-5.34,8.83,-0.01
14,2009.83,-5.21,8.86,0.03
15,2009.75,-5.25,8.9,-0.15
16,2009.64,-5.22,8.88,-0.06
17,2009.54,-5.3,8.85,-0.01
18,2009.43,-5.22,8.8,0.22
19,2009.32,-5.26,8.86,-0.02
20,2009.21,-5.29,8.79,0.2
21,2009.11,-5.3,8.76,0.28
22,2009,-5.15,8.75,0.49
23,2008.92,-5.06,8.82,0.33
24,2008.85,-5.15,8.81,0.27
25,2008.77,-4.95,8.84,0.36
26,2008.7,-5.07,8.87,0.11
27,2008.62,-5.16,8.88,0
28,2008.55,-4.9,8.86,0.32
29,2008.47,-4.94,8.85,0.33
30,2008.39,-5.03,8.85,0.26
31,2008.32,-5.01,8.88,0.15
32,2008.24,-5.4,8.82,-0.03
33,2008.17,-5.37,8.79,0.12
34,2008.08,-5.29,8.83,0.06
35,2008,-5.05,8.86,0.17
36,2007.92,-5.04,8.85,0.22
37,2007.83,-4.84,8.87,0.36
38,2007.75,-4.96,8.92,0.05
39,2007.63,-4.61,8.9,0.47
40,2007.52,-4.67,8.84,0.66
41,2007.4,-4.65,8.84,0.67
42,2007.28,-4.79,8.82,0.6
43,2007.17,-5.19,8.76,0.41
44,2007.08,-5.09,8.78,0.45
45,2006.98,-5.02,8.82,0.36
46,2006.89,-5.09,8.78,0.45
47,2006.8,-5.22,8.82,0.14
48,2006.71,-4.92,8.84,0.4
49,2006.62,-4.84,8.86,0.4
50,2006.53,-4.84,8.85,0.42
51,2006.44,-4.87,8.83,0.46
52,2006.35,-5.01,8.79,0.48
53,2006.26,-5.06,8.78,0.46
54,2006.17,-4.98,8.73,0.74
55,2006.08,-5.22,8.76,0.37
56,2006,-5.08,8.74,0.58
57,2005.92,-5.01,8.77,0.55
58,2005.83,-4.94,8.81,0.47
59,2005.75,-4.81,8.81,0.6
60,2005.67,-4.96,8.81,0.44
61,2005.58,-4.99,8.85,0.28
62,2005.5,-4.94,8.86,0.28
63,2005.42,-4.95,8.84,0.34
64,2005.33,-4.93,8.83,0.39
65,2005.25,-5.11,8.79,0.38
66,2005.17,-5.13,8.81,0.28
67,2005.08,-5.09,8.72,0.67
68,2004.99,-5.05,8.73,0.64
69,2004.9,-4.96,8.81,0.47
70,2004.81,-4.88,8.83,0.46
71,2004.72,-4.93,8.83,0.39
72,2004.63,-4.83,8.86,0.41
73,2004.54,-4.94,8.82,0.44
74,2004.45,-5.03,8.79,0.45
75,2004.36,-5.09,8.73,0.63
76,2004.27,-5.09,8.79,0.42
77,2004.18,-5.14,8.77,0.42
78,2004.09,-5.12,8.75,0.5
79,2004,-5.22,8.73,0.47
80,2003.93,-5.14,8.75,0.5
81,2003.85,-4.98,8.87,0.21
82,2003.78,-4.97,8.86,0.25
83,2003.7,-4.89,8.85,0.39
84,2003.63,-5.03,8.86,0.2
85,2003.55,-4.98,8.87,0.23
86,2003.48,-5.14,8.79,0.35
87,2003.4,-5.19,8.76,0.41
88,2003.33,-5.23,8.77,0.34
89,2003.25,-5.38,8.71,0.41
90,2003.18,-5.32,8.79,0.18
91,2003.11,-5.23,8.75,0.4
92,2003.04,-5.17,8.74,0.5
93,2002.96,-5.28,8.77,0.29
94,2002.89,-5.11,8.8,0.35
95,2002.82,-5.19,8.77,0.36
96,2002.75,-5.25,8.83,0.09
97,2002.68,-5.19,8.76,0.42
98,2002.61,-5.16,8.79,0.33
99,2002.54,-5.22,8.81,0.19
100,2002.46,-5.2,8.81,0.21
101,2002.39,-5.18,8.81,0.25
102,2002.32,-5.29,8.74,0.39
103,2002.25,-5.23,8.71,0.54
104,2002.17,-5.25,8.76,0.36
105,2002.08,-5.27,8.85,0.01
106,2002,-5.09,8.86,0.16
107,2001.92,-5,8.85,0.28
108,2001.83,-5.1,8.83,0.24
109,2001.75,-5.19,8.85,0.09
110,2001.67,-5.03,8.82,0.34
111,2001.58,-5.1,8.81,0.33
112,2001.5,-5.29,8.81,0.11
113,2001.42,-5.34,8.82,0.02
114,2001.33,-5.15,8.78,0.35
115,2001.25,-5.1,8.75,0.55
116,2001.17,-5.1,8.75,0.55
117,2001.08,-5.08,NA,NA
118,2001,-5.13,8.81,0.29
119,2000.92,-5.12,8.85,0.16
120,2000.83,-5.1,8.84,0.22
121,2000.75,-5.21,8.84,0.12
122,2000.67,-4.97,8.83,0.38
123,2000.58,-4.9,8.85,0.37
124,2000.5,-5,8.82,0.38
125,2000.42,-4.96,8.8,0.5
126,2000.33,-4.97,8.76,0.64
127,2000.25,-5.13,8.74,0.54
128,2000.17,-5.02,8.74,0.66
129,2000.06,-5.08,8.78,0.43
130,1999.96,-5.18,8.79,0.31
131,1999.86,-5.08,8.79,0.43
132,1999.76,-5.07,8.78,0.44
133,1999.66,-4.97,8.79,0.52
134,1999.56,-4.93,8.81,0.47
135,1999.45,-5.11,8.8,0.35
136,1999.35,-5.21,8.72,0.53
137,1999.25,-5.23,8.73,0.49
138,1999.18,-5.3,8.77,0.27
139,1999.11,-5.15,8.81,0.28
140,1999.03,-5.01,8.8,0.44
141,1998.96,-5,8.82,0.38
142,1998.89,-5.07,8.84,0.24
143,1998.82,-4.95,8.91,0.11
144,1998.74,-4.96,8.92,0.03
145,1998.67,-4.98,8.92,0.02
146,1998.6,-4.93,8.88,0.22
147,1998.53,-5.01,8.87,0.19
148,1998.46,-4.98,8.84,0.34
149,1998.38,-5.18,8.79,0.31
150,1998.31,-5.06,8.84,0.25
151,1998.24,-5.26,8.83,0.07
152,1998.17,NA,8.76,NA
153,1998.09,-5.1,8.76,0.48
154,1998.01,-5.15,8.78,0.39
155,1997.94,-5.11,8.81,0.31
156,1997.86,-5.08,8.82,0.3
157,1997.78,-5.1,8.83,0.25
158,1997.71,-5.03,8.84,0.27
159,1997.63,-4.97,8.86,0.27
160,1997.56,-5.11,8.83,0.25
161,1997.48,-5.22,8.78,0.3
162,1997.4,-5.17,8.78,0.37
163,1997.33,-5.22,8.76,0.38
164,1997.25,-5.24,8.76,0.37
165,1997.14,-5.24,8.76,0.34
166,1997.03,-5.19,8.83,0.15
