d18O (permil),year (AD),depthice (m),depthwe (m),Accumulation rate ice (kg/m2/yr) (kg/m2/yr)
-34.5,1993,0.41,0.12,116
-37.2,1992,0.81,0.23,116
-37.4,1991,1.21,0.35,116
-39.3,1990,1.59,0.46,116
-36.2,1989,1.96,0.58,116
-34.7,1988,2.32,0.69,116
-35.4,1987,2.68,0.81,116
-35.2,1986,3.03,0.93,116
-33.2,1985,3.38,1.04,116
-34.2,1984,3.71,1.16,116
-36.3,1983,4.04,1.27,116
-36.4,1982,4.37,1.39,116
-36.8,1981,4.69,1.5,116
-40.4,1980,5.01,1.62,116
-39.1,1979,5.32,1.74,116
-37.8,1978,5.63,1.85,116
-35.2,1977,5.93,1.97,116
-34.5,1976,6.23,2.08,116
-34.5,1975,6.52,2.2,116
-34.9,1974,6.82,2.31,116
-35.2,1973,7.1,2.43,116
-35.6,1972,7.39,2.55,116
-35.9,1971,7.67,2.66,116
-36.5,1970,7.95,2.78,116
-35.8,1969,8.23,2.89,116
-33.4,1968,8.5,3.01,116
-33.9,1967,8.77,3.12,116
-35.2,1966,9.04,3.24,116
-35.8,1965,9.31,3.36,116
-36,1964,9.57,3.47,116
-36.7,1963,9.83,3.59,116
-37,1962,10.1,3.7,116
-36.4,1961,10.35,3.82,116
-35.5,1960,10.61,3.93,116
-37.1,1959,10.86,4.05,116
-39,1958,11.11,4.17,116
-39,1957,11.36,4.28,116
-37.7,1956,11.61,4.4,116
-35.9,1955,11.85,4.51,116
-35.4,1954,12.1,4.63,116
-35.6,1953,12.34,4.74,116
-32.9,1952,12.58,4.86,116
-32.9,1951,12.82,4.98,116
-35.4,1950,13.06,5.09,116
-37.8,1949,13.29,5.21,116
-36.1,1948,13.53,5.32,116
-35.8,1947,13.76,5.44,116
-38,1946,13.99,5.55,116
-37.2,1945,14.22,5.67,116
-37.3,1944,14.45,5.79,116
-37.4,1943,14.68,5.9,116
-36.7,1942,14.9,6.02,116
-36.4,1941,15.13,6.13,116
-35.5,1940,15.35,6.25,116
-34.5,1939,15.57,6.36,116
-35.1,1938,15.79,6.48,116
-35.1,1937,16.02,6.6,116
-35.6,1936,16.23,6.71,116
-35.5,1935,16.45,6.83,116
-35.5,1934,16.67,6.94,116
-36,1933,16.89,7.06,116
-35.4,1932,17.1,7.17,116
-33.3,1931,17.31,7.29,116
-33.6,1930,17.53,7.41,116
-33.5,1929,17.74,7.52,116
-32.2,1928,17.95,7.64,116
-32.5,1927,18.16,7.75,116
-34.4,1926,18.37,7.87,116
-37.3,1925,18.58,7.98,116
-37.3,1924,18.79,8.1,116
-35.1,1923,18.99,8.22,116
-36.6,1922,19.2,8.33,116
-37.7,1921,19.41,8.45,116
-36,1920,19.61,8.56,116
-36.4,1919,19.81,8.68,116
-42.1,1918,20.02,8.79,116
-38.7,1917,20.22,8.91,116
-35.2,1916,20.43,9.03,116
-34.5,1915,20.63,9.14,116
-35.5,1914,20.83,9.26,116
-38.4,1913,21.03,9.37,116
-37.7,1912,21.22,9.49,116
-35.5,1911,21.44,9.61,116
-35.4,1910,21.65,9.74,126
-33.7,1909,21.87,9.86,126
-32.3,1908,22.08,9.99,126
-32.7,1907,22.29,10.12,126
-36.3,1906,22.5,10.24,126
-37.8,1905,22.71,10.37,126
-37.2,1904,22.92,10.49,125
-34.1,1903,23.13,10.62,126
-35.6,1902,23.34,10.74,126
-35,1901,23.55,10.87,126
-34.2,1900,23.75,10.99,126
-35.9,1899,23.96,11.12,126
-34.7,1898,24.16,11.25,126
-34.2,1897,24.37,11.37,126
-34.4,1896,24.57,11.5,125
-33.7,1895,24.78,11.62,126
-35.2,1894,24.98,11.75,126
-34.3,1893,25.18,11.87,126
-33.8,1892,25.38,12,126
