d18O (permil),year (AD),depth (cm)
-11.32,1983,3
-10.85,1932,7
-11.08,1913,8
-10.31,1893,9
-10.41,1884,9.5
-11.1,1874,10
-11.23,1864,10.5
-11.23,1815,13
-12.05,1796,14
-10.9,1786,14.5
-12.13,1776,15
-11.97,1767,15.5
-11.56,1757,16
-11.77,1747,16.5
-11.94,1738,17
-12.06,1728,17.5
-12.17,1718,18
-11.87,1708,18.5
-11.78,1699,19
-12.37,1689,19.5
-11.88,1679,20
-11.86,1669,20.5
-11.74,1572,25.5
-11.45,1562,26
-12,1553,26.5
-12.6,1543,27
-12.85,1533,27.5
-13.01,1523,28
-12.75,1514,28.5
-12.54,1504,29
-12.41,1494,29.5
-12.16,1484,30
-11.38,1475,30.5
-11.9,1465,31
-11.59,1455,31.5
-11.52,1445,32
-11.64,1436,32.5
-11.62,1426,33
-11.72,1416,33.5
-12.42,1407,34
-12.41,1397,34.5
-12.54,1387,35
-12.29,1377,35.5
-12.15,1368,36
-12.15,1358,36.5
-12.46,1348,37
-12.38,1338,37.5
-12.65,1329,38
-12.76,1319,38.5
-12.68,1309,39
-12.59,1299,39.5
-12.85,1290,40
-12.88,1280,40.5
-12.85,1270,41
-12.54,1261,41.5
-12.07,1251,42
-11.68,1241,42.5
-11.77,1231,43
-11.93,1222,43.5
-11.88,1212,44
-11.91,1202,44.5
-12.41,1192,45
-12.61,1183,45.5
-12.86,1173,46
-12.87,1163,46.5
-12.72,1153,47
-11.9,1105,49.5
-11.64,1095,50
-11.59,1085,50.5
-11.18,1076,51
-11.39,1066,51.5
-11.5,1056,52
-11.51,1046,52.5
-11.75,1037,53
-12.02,1027,53.5
-12.11,1017,54
-12.3,1007,54.5
-12.37,998,55
-12.24,988,55.5
