dD (permil),year (AD),depth (cm),dD (permil)
-242,2001,0.5,-251
-239,1991,2.5,NA
-237,1982,4.5,-253
-237,1977,5.5,NA
-230,1964,7.5,NA
-233,1957,8.5,-250
-231,1947,9.5,NA
-235,1936,10.5,NA
-227,1924,11.5,NA
-231,1910,12.5,-244
-229,1897,13.5,NA
-224,1889,14.5,NA
-225,1881,15.5,NA
NA,1873,16.5,-240
-239,1865,17.5,NA
-243,1857,18.5,NA
-258,1849,19.5,NA
-256,1841,20.5,NA
-260,1834,21.5,-248
-259,1810,24.5,-258
-271,1786,27.5,NA
-268,1762,30.5,-245
-264,1735,33.5,NA
-265,1708,36.5,NA
-268,1681,39.5,-250
-263,1654,42.5,NA
-262,1627,45.5,NA
-283,1600,48.5,NA
-273,1591,5.5,-236
NA,1581,51.5,-236
-280,1554,10.5,-250
-269,1517,15.5,-247
-281,1482,20.5,NA
-270,1460,25.5,NA
-266,1416,30.5,NA
-278,1368,35.5,-263
-280,1317,40.5,-261
-284,1228,45.5,-252
-267,1140,50.25,-250
-255,1051,55.25,NA
-250,967,60.25,-219
-256,926,65.25,-233
-257,885,70.25,-222
-245,844,75.25,NA
-231,802,80.25,-239
-214,752,85.25,-232
NA,703,90.25,-251
-263,654,95.25,-252
NA,598,99.25,-250
NA,587,0.5,-252
NA,482,5.5,-242
-245,377,10.5,-221
-240,272,15.5,-252
-243,167,20.5,NA
-255,52,25.5,NA
-254,-63,30.5,NA
-250,-179,35.5,NA
-247,-294,40.5,-247
-247,-415,45.5,-254
-250,-537,50.5,NA
-248,-658,55.5,NA
-248,-779,60.5,-241
