d18O (permil),year (AD),Sr_Ca (mmol/mol)
-5.32,1996.5,9.2135
-5.25,1995.5,9.1882
-5.12,1994.5,9.2138
-5.01,1993.5,9.2476
-5,1992.5,9.207
-5.16,1991.5,9.1997
-5.18,1990.5,9.1909
-5.41,1989.5,9.1628
-5.27,1988.5,9.2103
-5.03,1987.5,9.2417
-5.11,1986.5,9.2185
-5.15,1985.5,9.2209
-5.21,1984.5,9.2303
-4.94,1983.5,9.2403
-5.25,1982.5,9.2406
-5.21,1981.5,9.2478
-5.15,1980.5,9.2128
-5.2,1979.5,9.2276
-4.99,1978.5,9.248
-5,1977.5,9.2366
-5.17,1976.5,9.1994
-5.17,1975.5,9.2021
-5.18,1974.5,9.2165
-5.06,1973.5,9.2201
-5.08,1972.5,9.2412
-5.36,1971.5,9.2253
-5.18,1970.5,9.2409
-5.11,1969.5,9.2708
-5.22,1968.5,9.2541
-5.13,1967.5,9.2592
-5.05,1966.5,9.2861
-5.11,1965.5,9.3018
-5.08,1964.5,9.2247
-5.2,1963.5,9.2369
-5.25,1962.5,9.2553
-5.26,1961.5,9.2307
-5.12,1960.5,9.2315
-5.04,1959.5,9.2036
-4.93,1958.5,9.2687
-5.12,1957.5,9.2271
-5.25,1956.5,9.1991
-5.18,1955.5,9.2085
-4.99,1954.5,9.2202
-4.87,1953.5,9.2366
-5.02,1952.5,9.2009
-5.26,1951.5,9.2305
-5.36,1950.5,9.2365
-5.21,1949.5,9.2475
-5.09,1948.5,9.1714
-5.06,1947.5,9.1961
-5.19,1946.5,9.235
-4.98,1945.5,9.2503
-5.12,1944.5,9.2618
-5.13,1943.5,9.2578
-4.98,1942.5,9.2858
-4.93,1941.5,9.2794
-4.87,1940.5,9.2972
-5.07,1939.5,9.305
-5,1938.5,9.2396
-4.92,1937.5,9.2421
-5.15,1936.5,9.2273
-5,1935.5,9.2367
-5.07,1934.5,9.2208
-5.08,1933.5,9.2241
-5.06,1932.5,9.2154
-4.84,1931.5,9.2784
-4.79,1930.5,9.3031
-4.87,1929.5,9.2471
-4.92,1928.5,9.2442
-5.14,1927.5,9.2161
-4.85,1926.5,9.2617
-4.98,1925.5,9.2597
-4.91,1924.5,9.2651
-4.91,1923.5,9.2615
-5.14,1922.5,9.2259
-5.07,1921.5,9.2462
-4.93,1920.5,9.2493
-4.9,1919.5,9.2555
-5.14,1918.5,9.2509
-5.31,1917.5,9.221
-5.2,1916.5,9.2401
-4.94,1915.5,9.2414
-4.87,1914.5,9.2626
-4.82,1913.5,9.2716
-4.76,1912.5,9.2726
-5.08,1911.5,9.2418
-5.14,1910.5,9.2467
-4.94,1909.5,9.2879
-4.99,1908.5,9.305
-4.96,1907.5,9.2943
-4.85,1906.5,9.267
-4.66,1905.5,9.3201
-4.86,1904.5,9.2953
-4.8,1903.5,9.323
-4.83,1902.5,9.3102
-4.76,1901.5,9.343
-4.72,1900.5,9.3106
-4.88,1899.5,9.2897
-4.98,1898.5,9.245
-4.86,1897.5,9.2388
-4.93,1896.5,9.2086
-4.94,1895.5,9.229
-4.96,1894.5,9.2564
-5.24,1893.5,9.2017
-5.09,1892.5,9.2127
-5.06,1891.5,9.234
-5.16,1890.5,9.2229
-4.9,1889.5,9.2624
-4.87,1888.5,9.2947
-4.99,1887.5,9.2967
-4.76,1886.5,9.3132
-4.78,1885.5,9.3149
-4.75,1884.5,9.3225
-4.87,1883.5,9.3108
-4.89,1882.5,9.3352
-4.97,1881.5,9.297
-5.02,1880.5,9.3395
-5.16,1879.5,9.2306
-4.7,1878.5,9.2852
-4.61,1877.5,9.3479
-4.8,1876.5,9.275
