d18O (permil),year (AD),depth (cm)
23.69,2000.75,0.02
24.29,2000.73,0.36
24.25,2000.72,0.71
24.74,2000.71,1.05
25.7,2000.7,1.4
26.33,2000.69,1.75
26.07,2000.68,2.09
26.01,2000.67,2.44
26.16,2000.66,2.78
25.97,2000.65,3.13
25.9,2000.64,3.47
25.53,2000.63,3.82
25.09,2000.62,4.16
24.77,2000.61,4.51
24.93,2000.6,4.85
25.36,2000.59,5.2
25.87,2000.58,5.55
25.16,2000.57,5.89
25.56,2000.56,6.24
25.66,2000.55,6.58
25.27,2000.54,6.93
25.87,2000.53,7.27
26.08,2000.52,7.62
26.72,2000.51,7.96
26.55,2000.5,8.31
26.35,2000.48,8.65
26.76,2000.47,9
26.51,2000.46,9.35
29.57,2000.45,9.69
29.76,2000.44,10.04
29.99,2000.43,10.38
29.19,2000.42,10.73
30.18,2000.41,11.07
29.97,1999.96,11.42
30.33,1999.95,11.76
29.85,1999.94,12.11
29.6,1999.93,12.45
29.64,1999.92,12.8
29.3,1999.91,13.15
29.91,1999.9,13.49
29.55,1999.89,13.84
28.81,1999.88,14.18
29.25,1999.86,14.53
29.22,1999.85,14.87
27.43,1999.84,15.22
26.39,1999.83,15.56
26.65,1999.82,15.91
25.72,1999.81,16.25
24.9,1999.8,16.6
24.83,1999.79,16.95
25.19,1999.78,17.29
24.94,1999.77,17.64
25.33,1999.76,17.98
25.26,1999.75,18.33
25.35,1999.74,18.67
25.73,1999.73,19.02
26.11,1999.72,19.36
26.24,1999.71,19.71
26.01,1999.7,20.06
25.92,1999.69,20.4
26.63,1999.68,20.75
26.7,1999.67,21.09
26.64,1999.66,21.44
26.63,1999.65,21.78
25.93,1999.64,22.13
25.25,1999.63,22.47
24.82,1999.61,22.82
24.9,1999.6,23.16
25.23,1999.59,23.51
25.44,1999.58,23.86
26.15,1999.57,24.2
26.29,1999.56,24.55
27.09,1999.55,24.89
27.17,1999.54,25.24
27.17,1999.53,25.58
27.48,1999.52,25.93
27.81,1999.51,26.27
28.88,1999.5,26.62
27.66,1999.49,26.96
