d18O (permil),year (AD),depth (cm),d18O (permil) [1-2],year (AD) [1-2],depth (cm) [1-2]
-6.14,660,NA,-5.16,-4260,NA
-6.48,650,NA,-4.45,-4260,NA
-6.05,640,NA,-4.88,-4270,NA
-6.18,630,NA,-5.25,-4270,NA
-5.83,620,NA,-4.9,-4280,NA
-5.91,610,NA,-5.3,-4290,NA
-5.99,590,NA,-5.69,-4290,NA
-5.83,580,NA,-5.62,-4300,NA
-5.4,570,NA,-5.64,-4300,NA
-5.82,550,NA,-5.43,-4310,NA
-5.83,540,NA,-4.78,-4310,NA
-5.2,530,NA,-5.3,-4320,NA
-5.28,520,NA,-5.29,-4320,NA
-5.48,510,NA,-5.36,-4330,NA
-5.98,500,NA,-5.39,-4340,NA
-6.28,490,NA,-4.99,-4340,NA
-6.46,480,NA,-5.17,-4350,NA
-6.06,470,NA,-5.43,-4350,NA
-6.09,460,NA,-4.68,-4360,NA
-6.2,450,NA,-5.21,-4360,NA
-6.06,440,NA,-5.23,-4370,NA
-5.92,430,NA,-5.36,-4380,NA
-6.42,420,NA,-5.64,-4380,NA
-6.11,400,NA,-5.37,-4390,NA
-6.19,390,NA,-5.13,-4400,NA
-5.85,380,NA,-5.48,-4400,NA
-6.42,370,NA,-5.82,-4410,NA
-6.28,360,NA,-6.12,-4420,NA
-5.97,350,NA,-5.41,-4420,NA
-5.88,340,NA,-5.97,-4430,NA
-6.43,330,NA,-5.49,-4440,NA
-6.47,320,NA,-5.39,-4450,NA
-6.67,310,NA,-4.85,-4450,NA
-6.37,300,NA,-5.25,-4460,NA
-6.18,290,NA,-4.96,-4470,NA
-6.32,280,NA,-4.83,-4470,NA
-6.49,270,NA,-5.45,-4480,NA
-6.65,260,NA,-5.13,-4490,NA
-6.44,250,NA,-5.37,-4500,NA
-6.39,240,NA,-4.74,-4500,NA
-6.34,230,NA,-5.2,-4510,NA
-6.08,220,NA,-5.24,-4520,NA
-6.12,210,NA,-5.42,-4520,NA
-6.27,200,NA,-5.91,-4530,NA
-6.36,190,NA,-5.85,-4540,NA
-6.16,180,NA,-6.91,-4550,NA
-6.44,170,NA,-6.39,-4550,NA
-5.87,150,NA,-6.31,-4560,NA
-6.34,140,NA,-6.01,-4570,NA
-6.35,130,NA,-6.39,-4570,NA
-6.05,130,NA,-6.15,-4580,NA
-5.29,130,NA,-5.46,-4590,NA
-4.96,120,NA,-6.08,-4590,NA
-4.9,120,NA,-6.01,-4600,NA
-4.89,120,NA,-6.25,-4610,NA
-5.01,110,NA,-6.18,-4620,NA
-5.25,110,NA,-6.23,-4620,NA
-5.63,110,NA,-6.25,-4630,NA
-6.06,110,NA,-5.74,-4640,NA
-5.76,100,NA,-5.74,-4640,NA
-6.15,100,NA,-5.78,-4650,NA
-6.1,100,NA,-6.2,-4660,NA
-7.04,90,NA,-5.67,-4670,NA
-6.94,90,NA,-5.87,-4670,NA
-7.07,90,NA,-6.27,-4680,NA
-7.28,80,NA,-5.98,-4690,NA
-7.09,80,NA,-6.09,-4690,NA
-7.11,80,NA,-6.43,-4700,NA
-7.09,70,NA,-6.46,-4710,NA
-6.95,70,NA,-6.06,-4720,NA
-6.64,70,NA,-6.5,-4720,NA
-6.75,60,NA,-6.34,-4730,NA
-6.68,60,NA,-6.11,-4740,NA
-7.27,60,NA,-6.01,-4740,NA
-6.86,50,NA,-5.7,-4750,NA
-6.83,50,NA,-5.7,-4760,NA
-6.55,50,NA,-5.45,-4760,NA
-6.51,50,NA,-5.41,-4770,NA
-6.29,40,NA,-5.3,-4780,NA
-6.54,40,NA,-5.29,-4790,NA
-6.6,40,NA,-5.74,-4790,NA
-6.38,30,NA,-5.75,-4800,NA
-6.26,30,NA,-5.64,-4810,NA
-6.65,30,NA,-4.97,-4810,NA
-6.53,30,NA,-5.71,-4820,NA
-6.6,20,NA,-5.18,-4830,NA
-6.59,20,NA,-5.31,-4840,NA
-6.6,20,NA,-5.86,-4840,NA
-6.7,20,NA,-5.5,-4850,NA
-6.79,20,NA,-5.07,-4860,NA
-7.06,20,NA,-5.34,-4860,NA
-6.68,10,NA,-5.71,-4870,NA
-6.82,10,NA,-5.57,-4880,NA
-6.68,10,NA,-5.38,-4890,NA
-6.69,10,NA,-5.4,-4890,NA
-7.48,10,NA,-6.33,-4900,NA
-6.71,0,NA,-6.54,-4910,NA
-6.56,0,NA,-6.5,-4910,NA
-6.75,0,NA,-6.73,-4920,NA
-6.5,0,NA,-6.27,-4930,NA
-6.38,0,NA,-5.97,-4930,NA
-6.35,-10,NA,-6.13,-4940,NA
-6.21,-10,NA,-6.09,-4950,NA
-6.11,-10,NA,-5.64,-4960,NA
-6.66,-10,NA,-5.63,-4970,NA
-6.61,-10,NA,-6.03,-4980,NA
-5.99,-10,NA,-6.03,-4990,NA
-6.39,-20,NA,-6.03,-5000,NA
-6.26,-20,NA,-6,-5010,NA
-6.68,-20,NA,-6.03,-5010,NA
-6.18,-20,NA,-6.01,-5020,NA
-6.35,-20,NA,-6.03,-5030,NA
-7.06,-30,NA,-6.34,-5040,NA
-6.96,-30,NA,-6.13,-5050,NA
-6.48,-30,NA,-6.68,-5060,NA
-6.45,-30,NA,-6.81,-5070,NA
-6.13,-30,NA,-6.56,-5080,NA
-6.46,-30,NA,-6.44,-5090,NA
-6.49,-40,NA,-6.5,-5100,NA
-6.42,-40,NA,-6.03,-5110,NA
-6.28,-40,NA,-6.15,-5120,NA
-6.23,-40,NA,-5.82,-5130,NA
-6.32,-40,NA,-5.45,-5140,NA
-6.41,-40,NA,-5.04,-5150,NA
-6.35,-50,NA,-5.26,-5160,NA
-6.43,-50,NA,-5.68,-5170,NA
-6.7,-50,NA,-5.65,-5170,NA
-6.53,-50,NA,-5.36,-5180,NA
-6.42,-50,NA,-5.35,-5190,NA
-6.46,-50,NA,-5.42,-5200,NA
-6.61,-60,NA,-5.23,-5210,NA
-6.24,-60,NA,-5.72,-5220,NA
-6.05,-60,NA,-5.47,-5240,NA
-6.14,-60,NA,-5.64,-5260,NA
-6.19,-60,NA,-5.35,-5280,NA
-6.35,-70,NA,-5.26,-5300,NA
-6.35,-80,NA,-5.19,-5320,NA
-6.12,-80,NA,-5.39,-5340,NA
-6.17,-90,NA,-5.67,-5360,NA
-6.29,-90,NA,-5.54,-5380,NA
-6.3,-100,NA,-5.82,-5400,NA
-6.93,-100,NA,-5.71,-5420,NA
-6.51,-110,NA,-6.22,-5440,NA
-6.98,-110,NA,-6.5,-5460,NA
-6.35,-120,NA,-6.32,-5480,NA
-6.12,-120,NA,-6.49,-5500,NA
-5.92,-130,NA,-6.36,-5520,NA
-5.86,-130,NA,-6.1,-5540,NA
-5.96,-140,NA,-6.09,-5560,NA
-5.81,-140,NA,-6.35,-5580,NA
-5.92,-150,NA,-6.21,-5600,NA
-5.77,-150,NA,-6.35,-5620,NA
-5.92,-160,NA,-6.06,-5640,NA
-5.83,-160,NA,-6.06,-5660,NA
-6.56,-170,NA,-5.55,-5680,NA
-5.83,-170,NA,-6.09,-5700,NA
-5.87,-180,NA,-5.75,-5720,NA
-6.21,-180,NA,-5.6,-5740,NA
-5.85,-190,NA,-6.19,-5760,NA
-6.25,-190,NA,-5.78,-5770,NA
-6.2,-200,NA,-5.64,-5800,NA
-6.05,-200,NA,-5.05,-5810,NA
-6.25,-210,NA,-5.34,-5840,NA
-7.86,-210,NA,-5.5,-5850,NA
-7.28,-220,NA,-4.95,-5870,NA
-7.06,-220,NA,-5.25,-5890,NA
-6.24,-220,NA,-4.2,-5900,NA
-6.54,-220,NA,-5.2,-5910,NA
-6.58,-220,NA,-5.36,-5920,NA
-7.31,-220,NA,-4.32,-5930,NA
-6.52,-220,NA,-4.6,-5940,NA
-6.53,-220,NA,-4.6,-5940,NA
-6.2,-230,NA,-4.89,-5950,NA
-6.38,-230,NA,-4.22,-5960,NA
-6.25,-230,NA,-4.85,-5970,NA
-5.75,-230,NA,-5.22,-5980,NA
-6.23,-230,NA,-5.41,-5990,NA
-6.01,-240,NA,-5.77,-6000,NA
-6.1,-240,NA,-5.07,-6010,NA
-6.53,-240,NA,-5.85,-6010,NA
-6.48,-240,NA,-5.99,-6020,NA
-6.39,-240,NA,-6.01,-6030,NA
-5.66,-240,NA,-6.21,-6040,NA
-6.22,-240,NA,-4.83,-6050,NA
-6.52,-240,NA,-5.22,-6060,NA
-5.61,-250,NA,-5.54,-6070,NA
-6.25,-250,NA,-5.45,-6080,NA
-6.29,-250,NA,-5.53,-6090,NA
-5.39,-250,NA,-5.25,-6100,NA
-5.94,-250,NA,-6.06,-6120,NA
-5.68,-260,NA,-6.05,-6130,NA
-6.07,-260,NA,-6.08,-6140,NA
-6.2,-260,NA,-6.12,-6150,NA
-6.02,-260,NA,-5.87,-6160,NA
-5.93,-260,NA,-5.83,-6170,NA
-6.12,-260,NA,-6.55,-6180,NA
-5.66,-260,NA,-6.96,-6190,NA
-5.84,-270,NA,-6.05,-6210,NA
-5.84,-270,NA,-6.51,-6220,NA
-5.74,-270,NA,-7.48,-6230,NA
-5.72,-270,NA,-7.32,-6240,NA
-5.98,-270,NA,-7.02,-6250,NA
-5.81,-270,NA,-6.73,-6260,NA
-5.88,-280,NA,-5.65,-6270,NA
-6.03,-280,NA,-5.66,-6290,NA
-6.03,-280,NA,-5.21,-6300,NA
-5.82,-280,NA,-6.11,-6310,NA
-6.2,-280,NA,-7,-6320,NA
-5.85,-280,NA,-7.18,-6330,NA
-5.99,-280,NA,-6.57,-6350,NA
-6.04,-290,NA,-6.92,-6370,NA
-5.99,-290,NA,-6.83,-6400,NA
-6.03,-290,NA,-6.53,-6420,NA
-5.4,-290,NA,-5.95,-6440,NA
-5.99,-290,NA,-5.6,-6450,NA
-7.1,-290,NA,-5.9,-6470,NA
-7.12,-300,NA,-6.21,-6480,NA
-6.56,-300,NA,-5.8,-6490,NA
-6.89,-300,NA,-5.46,-6510,NA
-6.77,-300,NA,-5.28,-6520,NA
-6.75,-300,NA,-6.03,-6530,NA
-6.9,-300,NA,-6.23,-6550,NA
-6.89,-300,NA,-6.01,-6560,NA
-6.74,-310,NA,-5.77,-6580,NA
-6.8,-310,NA,-6.28,-6590,NA
-6.76,-310,NA,-5.95,-6600,NA
-6.55,-310,NA,-5.73,-6610,NA
-7.54,-310,NA,-5.8,-6630,NA
-6.65,-310,NA,-5.95,-6650,NA
-6.39,-320,NA,-5.57,-6670,NA
-6.32,-320,NA,-6.44,-6690,NA
-6.21,-320,NA,-5.79,-6710,NA
-6.33,-330,NA,-6.11,-6730,NA
-6.33,-330,NA,-6.37,-6750,NA
-6.22,-340,NA,-6.39,-6770,NA
-6.42,-340,NA,-5.58,-6790,NA
-6.37,-340,NA,-5.37,-6810,NA
-6.46,-350,NA,-5.66,-6830,NA
-6.27,-350,NA,-5.25,-6850,NA
-6.64,-360,NA,-5.09,-6860,NA
-6.49,-360,NA,-6.28,-6880,NA
-6.64,-360,NA,-6.36,-6900,NA
-6.39,-370,NA,-6.01,-6920,NA
-6.21,-370,NA,-5.81,-6940,NA
-5.89,-380,NA,-5.47,-6960,NA
-6.04,-380,NA,-5.54,-6980,NA
-6.35,-380,NA,-4.71,-7000,NA
-6.06,-390,NA,-5.27,-7020,NA
-5.81,-390,NA,-5.28,-7040,NA
-5.99,-400,NA,-5.36,-7060,NA
-6.07,-400,NA,-5.15,-7080,NA
-5.85,-400,NA,-5.98,-7100,NA
-6.06,-410,NA,-6.37,-7110,NA
-6.24,-410,NA,-6.32,-7130,NA
-6.21,-420,NA,-6.63,-7150,NA
-6.09,-420,NA,-6.5,-7170,NA
-6.11,-420,NA,-6.48,-7190,NA
-5.82,-430,NA,-6.68,-7210,NA
-5.85,-440,NA,-6.98,-7230,NA
-5.86,-450,NA,-7.11,-7250,NA
-5.86,-470,NA,-7.26,-7270,NA
-6,-480,NA,-6.88,-7290,NA
-5.87,-490,NA,-6.98,-7310,NA
-5.75,-510,NA,-6.51,-7330,NA
-5.35,-520,NA,-6.28,-7350,NA
-5.22,-540,NA,-6.52,-7360,NA
