Depth (cm),year (AD),d18O (per mil)
0,2014.9,-12.54
1,1977.8,-12.01
2,1940.6,-11.33
3,1903.4,-11.86
4,1866.3,-12.61
6,1791.9,-12.36
8,1717.6,-11.77
10,1643.3,-13.12
12,1568.9,-11.71
14,1494.6,-12.6
16,1453.8,-11.9
20,1439.8,-11.83
23,1429.5,-11.36
26,1419.3,-12.66
31,1402.3,-11.32
33,1395.2,-11.46
36,1384.8,-12.38
39,1374.5,-12.39
41,1367.6,-11.25
43,1360.7,-11.48
44,1357.3,-10.76
46,1350.5,-11.19
49,1340.2,-11.93
51,1333.3,-11.81
53,1326.7,-11.48
56,1316.3,-11.81
58,1309.4,-11.51
59,1305.9,-11.34
61,1299.1,-11.43
63,1292.2,-11.4
64,1288.7,-11.51
66,1281.8,-11.51
68,1274.9,-11.09
69,1271.4,-11.53
71,1264.6,-11.62
73,1257.7,-10.91
74,1254.4,-12.18
76,1247.5,-11.7
79,1237.5,-11.12
81,1230.8,-12.61
83,1224.2,-11.02
84,1220.9,-11.96
86,1214.3,-11.38
89,1204.2,-11.17
91,1197.9,-12.63
93,1190.9,-11.83
94,1187.4,-12.09
96,1180.4,-12.64
98,1173.5,-12.18
99,1170.2,-11.32
101,1163.2,-11.5
103,1156.2,-11.77
104,1152.9,-12.06
106,1145.9,-12.88
108,1138.9,-11.15
109,1135.5,-11.15
111,1128.4,-11.88
113,1121.4,-11.77
114,1118,-10.67
116,1111,-13.58
118,1104.2,-11.37
119,1100.9,-10.7
121,1094.2,-11.51
123,1087.3,-11.53
124,1083.9,-12.05
126,1077.1,-12.81
128,1070.3,-11.05
129,1067,-10.14
131,1059.9,-10.62
133,1053.2,-11.41
134,1049.8,-11.87
135,1046.4,-12.38
136,1042.5,-11.03
138,1035.6,-11.1
138,1035.6,-10.55
141,1024.9,-12.09
143,1018.1,-11.06
144,1014.6,-13.23
146,1007.8,-13.06
148,1001,-10.54
149,997.5,-10.89
151,986.5,-12.83
153,971.6,-11.38
154,964,-11.79
156,948.6,-10.62
159,926,-11.34
160,918.4,-11.04
161,910.6,-11.93
163,895.8,-10.55
164,888,-13.54
166,872.4,-13.71
167,864.5,-10.37
169,848.5,-11.25
170,840.4,-10.71
171,832.4,-11.63
173,816.7,-12.19
174,808.5,-10.74
176,792.6,-11.35
178,776.7,-11.36
179,768.6,-11.37
180,760.8,-11.5
181,753.5,-11.75
182,746.4,-10.5
183,739.1,-10.38
188,702.3,-11.25
191,680,-11.81
193,665.2,-11.07
194,658,-11.78
198,627.5,-11.61
199,619.8,-9.62
201,604.5,-12.45
203,589,-10.76
204,581.3,-12.63
206,565.5,-11.42
208,550.1,-11.67
211,526.7,-11.94
213,511.5,-10.7
214,503.5,-11.35
216,487.8,-10.74
219,464.4,-10.66
221,448.8,-11.69
223,433.1,-11.63
224,425.4,-11.27
