d18O (permil),year (AD),depth (cm),core (),d18O (permil),d18O (permil),Mg_Ca (mmol/mol),temperature (deg C),d18O (permil),depth (cm)
0.881,1965,0.01,GeoB6211-1,NA,NA,NA,NA,NA,0.01
0.794,1950,0.02,GeoB6211-1,NA,NA,NA,NA,0.83,0.02
0.979,1936,0.03,GeoB6211-1,NA,NA,NA,NA,NA,0.03
1.105,1922,0.04,GeoB6211-1,-1.13,1.113,3.536,22.959,NA,0.04
1.09,1908,0.05,GeoB6211-1,-0.905,NA,NA,NA,NA,0.05
1.152,1894,0.06,GeoB6211-1,-0.563,NA,NA,NA,NA,0.06
0.947,1880,0.07,GeoB6211-1,-0.819,NA,NA,NA,0.9,0.07
1.189,1840,0.08,GeoB6211-1,-0.895,1.4,3.62,23.189,NA,0.08
1.018,1800,0.09,GeoB6211-1,-0.999,NA,NA,NA,1,0.09
0.81,1790,0.1,GeoB6211-1,-1.12,NA,NA,NA,NA,0.1
1.121,1780,0.11,GeoB6211-1,-1.063,NA,NA,NA,NA,0.11
1.048,1770,0.12,GeoB6211-1,-0.641,1.401,3.228,22.065,NA,0.12
0.955,1760,0.13,GeoB6211-1,-1.225,NA,NA,NA,NA,0.13
1.107,1750,0.14,GeoB6211-1,-0.779,NA,NA,NA,NA,0.14
0.918,1740,0.15,GeoB6211-1,-0.9,NA,NA,NA,NA,0.15
1.209,1730,0.16,GeoB6211-1,-0.92,1.261,3.438,22.683,1.03,0.16
1.185,1706.666667,0.17,GeoB6211-1,-0.73,NA,NA,NA,NA,0.17
1.086,1683.333333,0.18,GeoB6211-1,-0.989,NA,NA,NA,NA,0.18
1.092,1660,0.19,GeoB6211-1,-0.746,NA,NA,NA,0.94,0.19
1.038,1633.333333,0.2,GeoB6211-1,-1.285,0.997,3.598,23.129,NA,0.2
1.059,1606.666667,0.21,GeoB6211-1,-0.729,NA,NA,NA,NA,0.21
0.911,1580,0.22,GeoB6211-1,-1.049,NA,NA,NA,1.06,0.22
0.893,1556.666667,0.23,GeoB6211-1,-1.133,NA,NA,NA,NA,0.23
1.018,1533.333333,0.24,GeoB6211-1,-0.597,1.756,3.717,23.448,NA,0.24
0.865,1510,0.25,GeoB6211-1,-0.793,NA,NA,NA,1.14,0.25
1.224,1475,0.26,GeoB6211-1,-0.541,NA,NA,NA,NA,0.26
1.097,1440,0.27,GeoB6211-1,-0.875,NA,NA,NA,0.97,0.27
1.106,1413.333333,0.28,GeoB6211-1,-0.819,1.538,3.724,23.467,NA,0.28
1.061,1386.666667,0.29,GeoB6211-1,-1.186,NA,NA,NA,NA,0.29
0.978,1360,0.3,GeoB6211-1,-0.661,NA,NA,NA,0.97,0.3
0.995,1325,0.31,GeoB6211-1,-0.774,NA,NA,NA,NA,0.31
1.074,1290,0.32,GeoB6211-1,-0.626,1.754,3.764,23.571,0.61,0.32
0.77,1250,0.33,GeoB6211-1,-0.647,NA,NA,NA,NA,0.33
0.765,1210,0.34,GeoB6211-1,-1.299,NA,NA,NA,1.02,0.34
0.735,1175,0.35,GeoB6211-1,-0.564,NA,NA,NA,NA,0.35
0.921,1140,0.36,GeoB6211-1,-1.29,1.171,3.904,23.93,0.83,0.36
0.956,1105,0.37,GeoB6211-1,-1.412,NA,NA,NA,NA,0.37
0.671,1070,0.38,GeoB6211-1,NA,NA,NA,NA,1.11,0.38
0.829,1030,0.39,GeoB6211-1,-1.154,NA,NA,NA,NA,0.39
