d18O (permil),year (AD),depth (cm),d18O (permil) [2-1],year (AD) [2-1],depth (cm) [2-1]
-7.87,1998,NA,-7.96,1958,NA
-8.03,1995,NA,-8.37,1912,NA
-8.02,1992,NA,-8.51,1865,NA
-8.3,1989,NA,-9.2,1819,NA
-8.33,1985,NA,-10.24,1772,NA
-8.39,1981,NA,-9.41,1726,NA
-8.24,1978,NA,-8.46,1679,NA
-7.99,1975,NA,-9.41,1663,NA
-8.03,1971,NA,-8.81,1646,NA
-7.95,1968,NA,-9.05,1630,NA
-7.54,1959,NA,-8.73,1616,NA
-8.34,1956,NA,-6.88,1601,NA
-8.42,1953,NA,-7.47,1586,NA
-8.62,1952,NA,-8.75,1572,NA
-8.55,1950,NA,-8.67,1557,NA
-8.5,1945,NA,-9.18,1541,NA
-8.68,1942,NA,-9.67,1526,NA
-8.38,1938,NA,-8.75,1511,NA
-8.1,1935,NA,-7.74,1497,NA
-8.51,1934,NA,-8.51,1482,NA
-8.99,1932,NA,-9.36,1467,NA
-9.59,1923,NA,-9.44,1451,NA
-9.73,1920,NA,-9.29,1435,NA
-9.16,1917,NA,-9.83,1419,NA
-8.62,1913,NA,-8.98,1402,NA
-9.05,1910,NA,-8.43,1386,NA
-9.15,1906,NA,-8.76,1370,NA
-9.41,1903,NA,-9.25,1353,NA
-8.59,1899,NA,-8.83,1337,NA
-8.65,1896,NA,-9.63,1321,NA
-9,1892,NA,-9.03,1305,NA
-9.95,1888,NA,-7,1288,NA
-8.65,1885,NA,-7.86,1272,NA
-8.53,1881,NA,-9.04,1217,NA
-8.15,1881,NA,-9.54,1162,NA
-8.93,1878,NA,-8.31,1107,NA
-9.08,1870,NA,-8.5,1052,NA
-9.38,1866,NA,-7.88,998,NA
-10.39,1863,NA,-8.82,943,NA
-10.93,1860,NA,-8.76,888,NA
-9.54,1856,NA,-9.58,833,NA
-8.85,1852,NA,-9.28,778,NA
-8.77,1849,NA,-7.9,737,NA
-8.09,1845,NA,-8.34,695,NA
-7.78,1842,NA,-8.45,654,NA
-8.06,1839,NA,-10.23,613,NA
-9.01,1835,NA,-9.95,572,NA
-9.42,1832,NA,-10.36,531,NA
-9.25,1828,NA,-10.34,489,NA
-9.57,1824,NA,-10.15,448,NA
-9.69,1821,NA,-8.56,407,NA
-9.53,1817,NA,-8.82,366,NA
-10.23,1813,NA,-9.55,324,NA
-10.23,1810,NA,-9.95,283,NA
-10.74,1806,NA,-8.38,242,NA
-8.89,1803,NA,-9.03,184,NA
-8.97,1799,NA,-10.25,127,NA
-8.83,1796,NA,-10,69,NA
-9.31,1792,NA,-8.7,12,NA
-7.75,1788,NA,-8.74,-46,NA
-7.9,1785,NA,-10.11,-103,NA
-8.76,1782,NA,-8.82,-161,NA
-8.17,1778,NA,-8.57,-218,NA
-7.74,1775,NA,-9.63,-276,NA
-8.19,1771,NA,-8.95,-334,NA
-8.68,1768,NA,-8.94,-391,NA
-8.91,1763,NA,-8.38,-449,NA
-8.63,1760,NA,-9.05,-506,NA
-8.64,1757,NA,-8.58,-564,NA
-9,1754,NA,-7.78,-621,NA
-8.83,1750,NA,-8.42,-679,NA
-8.48,1746,NA,-9.42,-736,NA
-8.11,1743,NA,-7.46,-794,NA
-8.25,1740,NA,-7.34,-852,NA
-7.76,1736,NA,-8.65,-909,NA
-7.84,1732,NA,-9.29,-967,NA
-8.86,1728,NA,-8.36,-1024,NA
-8.94,1725,NA,-9.68,-1082,NA
-8.83,1722,NA,-9.07,-1139,NA
-9.21,1718,NA,-8.62,-1197,NA
-8.91,1714,NA,-8.73,-1254,NA
-9.1,1711,NA,-9.28,-1312,NA
-9.18,1708,NA,-10.43,-1369,NA
-9.4,1704,NA,-9.33,-1427,NA
-9.05,1700,NA,-9.72,-1489,NA
-9.11,1697,NA,-9.39,-1552,NA
-9.77,1693,NA,-9.37,-1614,NA
-9.84,1689,NA,-9.71,-1676,NA
-9.49,1688,NA,-10.4,-1738,NA
-9.07,1686,NA,-8.97,-1801,NA
-8.4,1682,NA,-8.21,-1863,NA
-8.5,1677,NA,-9.34,-1925,NA
-8.67,1675,NA,-8.88,-1987,NA
-8.91,1671,NA,-9.3,-2050,NA
-9.17,1668,NA,-10,-2112,NA
-9.2,1665,NA,-9.91,-2174,NA
-9.42,1659,NA,-10.17,-2237,NA
-9.79,1657,NA,-9.89,-2299,NA
-9.9,1656,NA,-10.71,-2361,NA
-10.1,1654,NA,-11.08,-2383,NA
-9.75,1650,NA,-10.25,-2404,NA
-9.33,1648,NA,-10.3,-2426,NA
-9.21,1647,NA,-9.6,-2447,NA
-8.95,1646,NA,-10.1,-2463,NA
-9.17,1644,NA,-11.43,-2473,NA
-8.83,1641,NA,-10.58,-2483,NA
-9.22,1639,NA,-10.57,-2493,NA
-9.64,1638,NA,-10.08,-2503,NA
-9.86,1637,NA,-8.67,-2513,NA
-9.87,1635,NA,-8.63,-2524,NA
-9.37,1633,NA,-9.31,-2534,NA
-9.65,1631,NA,-10,-2544,NA
-9.28,1628,NA,-10.47,-2554,NA
-8.44,1624,NA,-8.24,-2564,NA
-7.46,1622,NA,-9.37,-2574,NA
-7.96,1620,NA,-9.72,-2584,NA
-8.23,1618,NA,-10.15,-2594,NA
-8.2,1616,NA,-9.43,-2640,NA
-8.35,1615,NA,-9.51,-2686,NA
-8.52,1613,NA,-10.13,-2732,NA
-8.88,1612,NA,-9.91,-2779,NA
-8.93,1610,NA,-9.94,-2825,NA
-9,1609,NA,-10.96,-2871,NA
-9.1,1607,NA,-10.36,-2917,NA
-8.95,1605,NA,-8.69,-2963,NA
-8.96,1602,NA,-8.35,-3009,NA
-8.55,1599,NA,-8.09,-3055,NA
-8.44,1596,NA,-8.86,-3101,NA
-8.32,1593,NA,-9.15,-3148,NA
-8.24,1590,NA,-9.63,-3194,NA
-8.64,1589,NA,-10.58,-3240,NA
-8.88,1587,NA,-9.05,-3286,NA
-8.73,1586,NA,-9.94,-3332,NA
-9.07,1583,NA,-10.75,-3378,NA
-9.34,1580,NA,-10.89,-3424,NA
-10.4,1577,NA,-9.76,-3470,NA
-10.1,1576,NA,-10.54,-3516,NA
-9.87,1573,NA,-9.58,-3563,NA
-10.44,1570,NA,-9.39,-3609,NA
-10.41,1568,NA,-10.01,-3655,NA
-9.93,1567,NA,-9.95,-3701,NA
-9.4,1565,NA,-9.91,-6345,NA
-8.81,1562,NA,-9.8,-6456,NA
-8.35,1559,NA,-9.49,-6567,NA
-8.48,1558,NA,-10.18,-6678,NA
-8.33,1556,NA,-9.78,-6789,NA
-8.15,1553,NA,-10.02,-6900,NA
-8.07,1551,NA,-11.28,-7011,NA
-8.24,1550,NA,-10.34,-7122,NA
-8.47,1549,NA,-11.36,-7233,NA
-8.69,1547,NA,-11.49,-7344,NA
-8.7,1544,NA,-10.95,-7455,NA
-8.9,1542,NA,-10.37,-7566,NA
-9.16,1540,NA,-10.11,-7677,NA
-9.29,1540,NA,-10.15,-7788,NA
-9.25,1537,NA,-9.64,-7899,NA
-8.62,1535,NA,-10.7,-8010,NA
-8.94,1533,NA,-10.33,-8121,NA
-8.67,1531,NA,-9.73,-8232,NA
-8.6,1529,NA,-10.27,-8342,NA
-8.64,1527,NA,-9.37,-8453,NA
-9.03,1525,NA,-9.11,-8564,NA
-8.92,1523,NA,-8.89,-8674,NA
-9.28,1522,NA,-9.31,-8785,NA
-9.41,1519,NA,-9.08,-8895,NA
-9.39,1518,NA,-10.77,-9006,NA
-9.07,1516,NA,-11.09,-9117,NA
-9.43,1514,NA,-11.73,-9227,NA
-9.32,1512,NA,-10.07,-9338,NA
-9.55,1511,NA,-9.9,-9449,NA
-8.84,1509,NA,-9.81,-9559,NA
-9.31,1507,NA,-12.17,-9670,NA
-9.49,1505,NA,-9.83,-9780,NA
-9.45,1503,NA,-9.08,-9891,NA
-8.94,1501,NA,-8.4,-10002,NA
-8.66,1499,NA,-6.58,-13249,NA
-8.49,1497,NA,-6.42,-13348,NA
-8.57,1496,NA,-6.39,-13447,NA
-8.75,1494,NA,-5.4,-13546,NA
-8.64,1492,NA,-5.75,-13645,NA
-8.65,1490,NA,-5.89,-13745,NA
-8.56,1488,NA,-5.7,-13844,NA
-8.64,1486,NA,-4.52,-13944,NA
-8.71,1483,NA,-5.68,-14043,NA
-9.36,1482,NA,-5.79,-14143,NA
-9.4,1481,NA,-5.89,-14242,NA
-9.24,1479,NA,-5.97,-14342,NA
-9.04,1477,NA,-5.51,-14441,NA
-9.1,1475,NA,-6.23,-14541,NA
-9.37,1473,NA,-6.57,-14640,NA
-9.21,1471,NA,-7.39,-14740,NA
-9.4,1470,NA,-7.67,-14839,NA
-9.38,1468,NA,-7.55,-14939,NA
-10.01,1466,NA,-7.58,-15038,NA
-9.22,1463,NA,-8.11,-15132,NA
-9.23,1460,NA,-8.98,-15226,NA
-9.28,1457,NA,-8.67,-15319,NA
-9.21,1455,NA,-9.46,-15413,NA
-9.47,1452,NA,-9.53,-15507,NA
-9.92,1450,NA,-9.54,-15601,NA
-10.08,1447,NA,-9.64,-15695,NA
-10.17,1444,NA,-9.76,-15788,NA
-9.2,1442,NA,-8.94,-15882,NA
-9.2,1438,NA,-9.66,-15976,NA
-10.28,1434,NA,-9.13,-16070,NA
-9.38,1431,NA,-9.97,-16164,NA
-9.63,1426,NA,-9.11,-16258,NA
-9.27,1422,NA,-9.31,-16351,NA
-9.02,1418,NA,-8.74,-16445,NA
-8.49,1414,NA,-9.41,-16539,NA
-9.06,1411,NA,-9.68,-16633,NA
-9.36,1406,NA,-9.71,-16727,NA
-9.98,1402,NA,-9.86,-16820,NA
-9.23,1398,NA,-10.33,-16914,NA
-9.15,1395,NA,-9.67,-17008,NA
-9.17,1393,NA,NA,NA,NA
-9.05,1391,NA,NA,NA,NA
-8.02,1388,NA,NA,NA,NA
-8.27,1384,NA,NA,NA,NA
-8.67,1382,NA,NA,NA,NA
-9.11,1379,NA,NA,NA,NA
-8.8,1376,NA,NA,NA,NA
-8.72,1372,NA,NA,NA,NA
-8.7,1366,NA,NA,NA,NA
-8.17,1366,NA,NA,NA,NA
-8.5,1363,NA,NA,NA,NA
-8.21,1359,NA,NA,NA,NA
-8.23,1358,NA,NA,NA,NA
-7.72,1356,NA,NA,NA,NA
-7.07,1350,NA,NA,NA,NA
-7.33,1346,NA,NA,NA,NA
-7.93,1343,NA,NA,NA,NA
-7.79,1342,NA,NA,NA,NA
-8.39,1340,NA,NA,NA,NA
-9.29,1334,NA,NA,NA,NA
-9.24,1331,NA,NA,NA,NA
-9.23,1328,NA,NA,NA,NA
-9.38,1324,NA,NA,NA,NA
-9,1318,NA,NA,NA,NA
-9.57,1314,NA,NA,NA,NA
-9.14,1310,NA,NA,NA,NA
-9.48,1305,NA,NA,NA,NA
-8.19,1302,NA,NA,NA,NA
-7.82,1298,NA,NA,NA,NA
-7.78,1294,NA,NA,NA,NA
-7.48,1289,NA,NA,NA,NA
-7.44,1286,NA,NA,NA,NA
-7.44,1281,NA,NA,NA,NA
-7.39,1280,NA,NA,NA,NA
-7.84,1277,NA,NA,NA,NA
-8.44,1269,NA,NA,NA,NA
-9.37,1265,NA,NA,NA,NA
-8.82,1261,NA,NA,NA,NA
-8.92,1257,NA,NA,NA,NA
-8.7,1253,NA,NA,NA,NA
-8.75,1250,NA,NA,NA,NA
-8.99,1245,NA,NA,NA,NA
-8.67,1241,NA,NA,NA,NA
-9.07,1234,NA,NA,NA,NA
-8.87,1228,NA,NA,NA,NA
-8.69,1220,NA,NA,NA,NA
-9.07,1212,NA,NA,NA,NA
-9.8,1205,NA,NA,NA,NA
-11.11,1199,NA,NA,NA,NA
-11.18,1193,NA,NA,NA,NA
-9.66,1191,NA,NA,NA,NA
-11.97,1188,NA,NA,NA,NA
-11.14,1177,NA,NA,NA,NA
-10.52,1176,NA,NA,NA,NA
-10.45,1170,NA,NA,NA,NA
-7.87,1164,NA,NA,NA,NA
-7.81,1157,NA,NA,NA,NA
-7.72,1153,NA,NA,NA,NA
-7.43,1147,NA,NA,NA,NA
-6.97,1141,NA,NA,NA,NA
-7.22,1135,NA,NA,NA,NA
-7.19,1133,NA,NA,NA,NA
-7.52,1129,NA,NA,NA,NA
-7.96,1118,NA,NA,NA,NA
-8.44,1116,NA,NA,NA,NA
-8.47,1112,NA,NA,NA,NA
-8.68,1105,NA,NA,NA,NA
-8.81,1100,NA,NA,NA,NA
-8.8,1090,NA,NA,NA,NA
-8.48,1084,NA,NA,NA,NA
-8.01,1077,NA,NA,NA,NA
-7.89,1075,NA,NA,NA,NA
-7.62,1071,NA,NA,NA,NA
-7.87,1061,NA,NA,NA,NA
-8.08,1056,NA,NA,NA,NA
-8.32,1051,NA,NA,NA,NA
-8.16,1046,NA,NA,NA,NA
-8.03,1041,NA,NA,NA,NA
-7.94,1030,NA,NA,NA,NA
-7.88,1025,NA,NA,NA,NA
-8.07,1022,NA,NA,NA,NA
-8.45,1018,NA,NA,NA,NA
-8.58,1012,NA,NA,NA,NA
-8.92,1008,NA,NA,NA,NA
-9.32,1001,NA,NA,NA,NA
-9.43,995,NA,NA,NA,NA
-9.84,989,NA,NA,NA,NA
-9.66,984,NA,NA,NA,NA
-7.98,978,NA,NA,NA,NA
-8.01,974,NA,NA,NA,NA
-7.7,969,NA,NA,NA,NA
-7.85,964,NA,NA,NA,NA
-8.05,959,NA,NA,NA,NA
-8,954,NA,NA,NA,NA
-7.65,949,NA,NA,NA,NA
-8.13,944,NA,NA,NA,NA
-8.88,939,NA,NA,NA,NA
-9.19,934,NA,NA,NA,NA
-9.03,929,NA,NA,NA,NA
-8.72,924,NA,NA,NA,NA
-8.61,920,NA,NA,NA,NA
-8.6,915,NA,NA,NA,NA
-8.55,909,NA,NA,NA,NA
-9.26,903,NA,NA,NA,NA
-10.03,898,NA,NA,NA,NA
-9.67,891,NA,NA,NA,NA
-8.38,886,NA,NA,NA,NA
-8.87,880,NA,NA,NA,NA
-8.64,875,NA,NA,NA,NA
-9.31,869,NA,NA,NA,NA
-9.89,862,NA,NA,NA,NA
-9.37,858,NA,NA,NA,NA
-8.91,852,NA,NA,NA,NA
-8.92,847,NA,NA,NA,NA
-7.78,841,NA,NA,NA,NA
-7.75,837,NA,NA,NA,NA
-8.14,833,NA,NA,NA,NA
-8.28,826,NA,NA,NA,NA
-8.47,821,NA,NA,NA,NA
-9.07,815,NA,NA,NA,NA
-9.25,810,NA,NA,NA,NA
-10.07,796,NA,NA,NA,NA
-10.21,795,NA,NA,NA,NA
-9.49,791,NA,NA,NA,NA
-9.14,785,NA,NA,NA,NA
-9.43,780,NA,NA,NA,NA
-9.25,774,NA,NA,NA,NA
-8.88,771,NA,NA,NA,NA
-8.05,767,NA,NA,NA,NA
-7.94,763,NA,NA,NA,NA
-8.14,759,NA,NA,NA,NA
-9.02,754,NA,NA,NA,NA
-8.77,745,NA,NA,NA,NA
-9.74,742,NA,NA,NA,NA
-8.51,731,NA,NA,NA,NA
-10.17,724,NA,NA,NA,NA
-8.33,716,NA,NA,NA,NA
-8.66,712,NA,NA,NA,NA
-8.24,708,NA,NA,NA,NA
-8.33,705,NA,NA,NA,NA
-8.18,699,NA,NA,NA,NA
-8.41,696,NA,NA,NA,NA
-8.47,693,NA,NA,NA,NA
-8.38,689,NA,NA,NA,NA
-9.1,686,NA,NA,NA,NA
-8.96,683,NA,NA,NA,NA
-8.84,680,NA,NA,NA,NA
-9.14,676,NA,NA,NA,NA
-9.29,673,NA,NA,NA,NA
-8.9,669,NA,NA,NA,NA
-9.31,668,NA,NA,NA,NA
-8.74,666,NA,NA,NA,NA
-8.31,660,NA,NA,NA,NA
