d18O (permil),year (AD),depth (cm),dD (permil),d18O (permil)
NA,1920,3,-148,-1.74
NA,1860,8,-139,-1.77
NA,1799,13,-129,NA
NA,1739,18,-144,NA
NA,1679,23,-144,NA
NA,1619,28,-144,-1.85
NA,1558,33,-135,-1.47
NA,1498,38,-141,NA
NA,1438,43,-144,-1.72
NA,1378,48,-141,-1.71
NA,1317,53,-137,NA
NA,1257,58,-140,NA
NA,902,63,-142,NA
NA,546,68,-140,NA
NA,191,73,-142,-1.87
NA,-165,78,-142,NA
NA,-520,83,-144,-1.78
NA,-875,88,-138,NA
NA,-1231,93,-155,-1.97
NA,-1586,98,-152,-1.91
NA,-1942,103,NA,-1.96
NA,-2297,108,-150,-1.79
NA,-2504,113,-145,-1.86
NA,-2711,118,NA,-1.94
NA,-2918,123,-143,-1.86
NA,-3125,128,-150,-1.99
NA,-3332,133,-152,-2.01
NA,-3539,138,-148,-2.26
NA,-3746,143,-147,-2.25
NA,-3953,148,-155,-1.84
NA,-4160,153,-160,-2.2
NA,-4367,158,-151,-2.39
NA,-4448,163,-148,-2
NA,-4529,168,-150,-1.82
NA,-4609,173,-150,-1.74
NA,-4690,178,-159,-2.35
NA,-4771,183,-153,-2.01
NA,-4852,188,-161,-2.13
NA,-4933,193,-152,-1.98
NA,-5013,198,-158,-2.02
NA,-5094,203,-153,-1.43
NA,-5175,208,-154,-2.28
NA,-5317,213,-152,-1.99
NA,-5460,218,-149,-2.47
NA,-5602,223,-155,-2.25
NA,-5745,228,-157,-2.19
NA,-5887,233,-150,-2.07
NA,-6030,238,-160,-2.3
NA,-6172,243,-154,-1.95
NA,-6314,248,-158,-2.39
NA,-6457,253,-160,-2.04
NA,-6557,258,-158,-1.87
NA,-6614,263,-161,-1.76
NA,-6671,268,-163,-2.47
NA,-6728,273,-162,-2.48
NA,-6785,278,-163,-1.96
NA,-6843,283,-162,-2.12
NA,-6900,288,-162,-2.37
NA,-6957,293,-161,-2.02
NA,-7014,298,-161,-2.02
NA,-7071,303,-161,-2.31
NA,-7133,308,-162,-1.74
NA,-7199,313,-163,-2.65
NA,-7265,318,-157,-1.79
NA,-7331,323,-162,-2.06
NA,-7397,328,-155,-2.1
NA,-7463,333,-157,-2.17
NA,-7529,338,-158,-2.04
NA,-7595,343,-160,-1.9
NA,-7661,348,-153,-1.85
NA,-7727,353,-155,-1.66
NA,-7847,358,-154,-1.71
NA,-8020,363,-159,-1.73
NA,-8193,368,-148,-2.02
NA,-8366,373,-144,-1.81
NA,-8539,378,-149,-1.83
NA,-8713,383,-142,-1.3
NA,-8886,388,-143,-1.75
NA,-9059,393,-140,-1.2
NA,-9232,398,-135,-1.02
NA,-9405,403,-135,-1
NA,-9574,408,-130,-1.14
NA,-9738,413,-133,-1.55
NA,-9902,418,-130,-1.19
NA,-10065,423,-146,-1.18
NA,-10229,428,-137,-0.82
NA,-10393,433,-145,-0.8
NA,-10557,438,-141,-1.71
NA,-10721,443,-139,-0.98
NA,-10884,448,-140,-1.53
NA,-11048,453,-153,-1.33
NA,-11188,458,-138,-1.25
NA,-11304,463,-149,-1.27
NA,-11420,468,-141,-1.06
NA,-11535,473,-149,-1.16
NA,-11651,478,-138,-1
NA,-11767,483,-142,-0.95
NA,-11883,488,-145,-1.38
NA,-11999,493,-139,-1.22
NA,-12114,498,-140,-1.61
NA,-12230,503,-140,-0.69
NA,-12439,508,-143,-1.09
NA,-12740,513,-136,-1.08
NA,-13041,518,-139,-1.08
NA,-13342,523,-135,-0.55
NA,-13643,528,-131,-0.61
NA,-13945,533,-131,-0.55
NA,-14246,538,-127,-0.62
NA,-14547,543,-129,-0.28
NA,-14848,548,-124,-0.21
NA,-15149,553,-123,-0.26
NA,-15750,558,-125,-0.22
NA,-16649,563,NA,0.19
NA,-17548,568,-125,-0.19
