d18O (permil),year (AD),depth (cm),d18O (permil) [2-1],year (AD) [2-1],depth (cm) [2-1],d18O (permil) [3-1],year (AD) [3-1],depth (cm) [3-1]
NA,1992.6,0,NA,1762,NA,NA,974.14,150
1.17,1987.1,1,-1.43,1755.9,NA,NA,966.46,151
1.95,1981.6,2,-1.12,1749.9,NA,-0.57,958.78,152
0.12,1976.1,3,NA,1743.8,NA,NA,951.08,153
1.47,1970.5,4,NA,1737.7,NA,-1.05,943.36,154
1.11,1965,5,NA,1731.6,NA,NA,935.64,155
0.97,1959.4,6,NA,1725.5,NA,NA,927.9,156
0.69,1953.8,7,NA,1719.4,NA,-0.75,920.16,157
1.02,1948.2,8,NA,1713.2,NA,NA,912.39,158
1.21,1942.6,9,1.91,1707.1,NA,-0.33,904.62,159
1.11,1937,10,NA,1700.9,NA,NA,896.84,160
-1.37,1931.4,11,NA,1694.7,NA,-0.75,889.04,161
-1.48,1925.7,12,1.92,1688.5,NA,NA,881.23,162
0.38,1920.1,13,NA,1682.3,NA,-0.24,873.41,163
0.68,1914.4,14,NA,1676.1,NA,-0.7,865.57,164
0.13,1908.7,15,NA,1669.9,NA,-0.49,857.72,165
1.22,1903,16,NA,1663.6,NA,NA,849.86,166
1.34,1897.3,17,NA,1657.3,NA,-0.42,841.99,167
2.48,1891.5,18,2.37,1651.1,NA,-0.53,834.11,168
5.05,1885.8,19,NA,1644.8,NA,-0.48,826.21,169
0.5,1880,20,NA,1638.5,NA,-0.58,818.3,170
-0.21,1874.3,21,NA,1632.1,NA,-0.23,810.38,171
1.6,1868.5,22,-0.49,1625.8,NA,-0.18,802.45,172
0.35,1862.7,23,2.71,1619.5,NA,NA,794.5,173
-0.23,1856.9,24,NA,1613.1,NA,-0.59,786.54,174
-0.23,1851,25,NA,1606.7,NA,-0.48,778.57,175
2.52,1845.2,26,NA,1600.3,NA,-0.04,770.59,176
1.96,1839.3,27,NA,1593.9,NA,-0.98,762.59,177
1.47,1833.5,28,NA,1587.5,NA,-0.53,754.59,178
0.02,1827.6,29,NA,1581.1,NA,-0.83,746.57,179
1.75,1821.7,30,NA,1574.7,NA,-0.47,738.53,180
0.76,1815.8,31,-1.66,1568.2,NA,-1.36,730.49,181
1.09,1809.9,32,NA,1561.7,NA,-0.83,722.43,182
1.4,1803.9,33,NA,1555.2,NA,NA,714.36,183
-1.23,1798,34,NA,1548.7,NA,-0.39,706.28,184
1.92,1792,35,NA,1539,NA,NA,698.19,185
0.87,1786,36,NA,1535.7,NA,-0.29,690.08,186
1.86,1780,37,NA,1529.2,NA,NA,681.96,187
1.02,1774,38,NA,1522.6,NA,-0.36,673.83,188
3.3,1768,39,-0.08,1516.1,NA,-0.44,665.69,189
0.75,1762,40,NA,1509.5,NA,-0.61,657.53,190
3.78,1755.9,41,NA,1502.9,NA,-0.29,649.36,191
