dD (permil),year (AD),depth (cm)
-19.464,1881.184,NA
-19.605,1732.834,NA
-12.6542,1589.96,NA
-15.0563,1545.29,NA
-13.752,1461.886,NA
-13.0143,1344.959,NA
-16.1091,1264.119,NA
-14.7536,1143.6,NA
-20.1087,908.2652,NA
-23.3441,727.208,NA
-12.321,690.142,NA
-21.6326,583.7,NA
-23.3824,555.91,NA
-14.71,506.18,NA
-12.7309,474.88,NA
-17.5986,287.172,NA
-20.5929,86.467,NA
-27.1536,-110.414,NA
-29.3913,-158.924,NA
-21.8308,-207.103,NA
-26.7689,-371.706,NA
-33.007,-640.14,NA
-28.693,-656.908,NA
-30.5181,-972.232,NA
-30.421,-1172.7,NA
-34.0452,-1435.05,NA
-38.3202,-1559.5,NA
-35.5108,-1786.5,NA
-37.3824,-2046.8,NA
-36.1692,-2057.85,NA
-40.2247,-2328.45,NA
-40.0476,-2599.75,NA
-40.6549,-2838.58,NA
-38.4437,-2905.78,NA
-38.0614,-2997.8,NA
-38.8223,-3265.3,NA
-33.4007,-3459.61,NA
-29.5988,-3618.4,NA
-28.2807,-3765,NA
-21.2662,-3911.6,NA
-26.2024,-4087.5,NA
-30.2115,-4322,NA
-33.3231,-4544.78,NA
-26.5993,-4883,NA
-28.4569,-4961.39,NA
-26.1265,-5017.68,NA
-36.7929,-5181.9,NA
-31.9188,-5365.4,NA
-38.6423,-5599.6,NA
-26.5338,-5853.15,NA
-33.3656,-6012.3,NA
-30.3124,-6227.56,NA
-31.9858,-6382.1,NA
-39.6086,-6506.5,NA
-23.3412,-6652.25,NA
-39.0991,-6736.85,NA
-36.5318,-6756.4,NA
-32.1955,-6943.9,NA
-43.3474,-7131.4,NA
-38.7362,-7409.29,NA
-44.3898,-7763.98,NA
-41.1351,-7886.6,NA
-38.61,-8144.45,NA
-34.6429,-8402.3,NA
-43.8965,-8601.78,NA
-34.9984,-8797.3,NA
-29.4411,-9024.43,NA
-37.5443,-9054.05,NA
-30.8319,-9172.5,NA
-27.942,-9368.1,NA
-23.5293,-9544,NA
-21.628,-9622.33,NA
-20.3264,-9719.9,NA
-21.0285,-10008.6,NA
-23.4338,-10251.3,NA
-24.4087,-10772.3,NA
-21.0263,-10819.1,NA
-23.6732,-11056.2,NA
-34.4162,-11386.9,NA
-32.5662,-11482,NA
-27.2124,-11632.5,NA
-30.8297,-11741.9,NA
-31.4272,-11878.8,NA
-25.412,-12064.5,NA
-29.377,-12136.8,NA
-28.5732,-12423.7,NA
-29.6078,-12451.3,NA
-32.9009,-12621.2,NA
-25.8177,-12769.8,NA
-23.5879,-12854.8,NA
-21.44,-12908.4,NA
-23.4294,-12912.3,NA
-19.5035,-12975.5,NA
-22.5074,-13054.1,NA
-23.1431,-13081.2,NA
-20.699,-13090.9,NA
-15.860900000000001,-13134.2,NA
-18.4583,-13139,NA
-17.1494,-13143.4,NA
-14.4055,-13209,NA
-16.944,-13224.7,NA
-13.4787,-13312.2,NA
-15.4888,-13321.7,NA
-17.0941,-13435.9,NA
-20.3427,-13465.8,NA
-17.7585,-13488.2,NA
-15.4932,-13585.4,NA
-14.5203,-13662.6,NA
-13.8298,-13752.2,NA
-12.4054,-13813.6,NA
-13.5619,-13826.4,NA
-12.3261,-13841.9,NA
-17.0322,-13854.5,NA
-18.2713,-13916.4,NA
-13.3751,-13958.9,NA
-14.8964,-14106.7,NA
-13.6059,-14123.3,NA
-13.701,-14272.4,NA
-14.1289,-14375.8,NA
-13.9288,-14464.6,NA
-12.8793,-14520.3,NA
-14.1741,-14582.9,NA
-14.1097,-14685.7,NA
-12.9696,-14754.1,NA
-12.7834,-14863.6,NA
-10.7099,-15123.2,NA
-12.8919,-15298.6,NA
-12.2582,-15476.8,NA
-16.5001,-15626.1,NA
-18.7302,-15654.1,NA
-21.8733,-15852.4,NA
-22.1458,-16072.5,NA
-19.7941,-16409.4,NA
-22.7734,-16572.2,NA
-20.2025,-16759.4,NA
-21.1725,-17107.3,NA
-24.5164,-17517.4,NA
-23.1473,-17920.7,NA
-25.7538,-18116.4,NA
-23.4641,-18143.8,NA
-22.1868,-18159.7,NA
-23.0857,-18180.9,NA
-23.1758,-18236.8,NA
-20.8404,-18559.3,NA
-20.6458,-18866.9,NA
-25.0146,-19076,NA
