d18O (permil),year (AD),depth (cm),Mg_Ca (mmol/mol),temperature (degC)
1.553,1504,1,NA,NA
1.813,1432.1,5,NA,NA
1.595,1414.2,6,NA,NA
1.579,1396.2,7,1.28,9
1.691,1360.3,9,NA,NA
NA,1342.3,10,1.038,6.9
1.583,1324.3,11,1.177,8.2
1.734,1288.4,13,NA,NA
1.483,1252.5,15,NA,NA
1.502,1216.5,17,1.255,8.1
1.568,1180.6,19,1.003,6.6
1.535,1144.7,21,NA,NA
1.362,1072.8,25,NA,NA
1.802,1036.9,27,NA,NA
1.787,1000.9,29,NA,NA
1.607,965,31,1.001,6.6
1.517,906.9,33,1.182,8.2
1.716,848.9,35,NA,NA
1.441,819.8,36,NA,NA
1.517,790.8,37,1.126,7.7
NA,732.7,39,1.176,8.2
1.238,674.6,41,NA,NA
1.537,558.5,45,NA,NA
NA,500.4,47,1.713,10.7
1.483,442.4,49,1.274,9
1.53,384.3,51,1.509,10.7
NA,326.2,53,0.948,6
1.563,268.1,55,NA,NA
1.5,210.1,57,1.098,7.5
1.656,152,59,1.11,7.7
1.537,51.7,61,NA,NA
1.805,-98.8,64,NA,NA
1.731,-149,65,NA,NA
1.7,-199.2,66,NA,NA
1.552,-249.3,67,1.117,7.6
1.65,-349.7,69,1.167,8.1
NA,-450,71,1.185,8.2
NA,-550.3,73,1.179,8.2
1.541,-650.7,75,NA,NA
1.506,-751,77,1.226,8.6
1.579,-851.3,79,1.395,9.9
1.262,-951.7,81,NA,NA
1.269,-1152.3,85,NA,NA
1.446,-1252.7,87,1.313,9.3
1.665,-1353,89,1.057,7.3
1.593,-1453.3,91,1.307,9.2
1.698,-1553.7,93,1.051,7
1.651,-1654,95,NA,NA
1.682,-1686.9,96,NA,NA
1.705,-1719.7,97,1.004,6.6
1.522,-1785.4,99,1.217,8.5
1.488,-1851.1,101,NA,NA
1.562,-1916.9,103,1.259,8.8
1.504,-1982.6,105,NA,NA
1.639,-2048.3,107,1.258,8.8
1.825,-2114,109,1.464,10.7
1.545,-2179.7,111,1.409,10
1.64,-2245.4,113,1.103,8.1
1.322,-2311.1,115,1.603,10.6
1.643,-2376.9,117,NA,NA
1.64,-2442.6,119,1.265,8.9
1.565,-2508.3,121,NA,NA
1.683,-2574,123,1.416,9.3
1.43,-2651.5,125,NA,NA
1.59,-2729.1,127,1.18,8.4
1.6,-2806.6,129,1.259,8.8
NA,-2884.2,131,1.245,8.7
1.609,-2961.8,133,1.361,9.6
1.652,-3039.3,135,NA,NA
1.715,-3078.1,136,NA,NA
NA,-3116.9,137,1.301,9.2
1.57,-3194.4,139,1.239,8.7
1.637,-3272,141,NA,NA
1.305,-3427,145,1.524,9.6
1.538,-3504.6,147,1.079,7.4
1.582,-3582.1,149,1.208,8.4
1.628,-3659.7,151,1.43,9.2
NA,-3737.2,153,1.094,7.4
1.639,-3814.8,155,1.283,9
1.601,-3853.6,156,NA,NA
1.577,-3892.4,157,1.186,8.2
1.596,-3969.9,159,1.176,8.2
1.569,-4125,163,1.288,9.1
1.627,-4204.7,165,1.257,8.8
1.482,-4244.5,166,NA,NA
1.541,-4284.4,167,1.299,9.2
NA,-4364.1,169,1.22,8.5
1.527,-4443.8,171,NA,NA
1.522,-4523.4,173,1.155,8
1.404,-4603.1,175,1.168,8.1
1.767,-4682.8,177,1.217,8.5
1.442,-4762.5,179,1.149,7.9
1.504,-4921.9,183,1.201,8.4
1.289,-5001.6,185,1.247,8.7
1.472,-5081.2,187,1.096,7.5
1.572,-5160.9,189,1.073,7.2
1.628,-5240.6,191,NA,NA
1.344,-5320.3,193,1.161,8
1.607,-5400,195,1.072,7.2
1.339,-5425.4,196,NA,NA
1.435,-5450.7,197,NA,NA
1.664,-5501.4,199,1.009,6.6
1.425,-5602.8,203,1.252,8.8
1.677,-5653.5,205,NA,NA
1.506,-5704.2,207,1.235,8.6
1.527,-5754.9,209,NA,NA
1.34,-5805.6,211,1.172,8.1
1.21,-5856.3,213,1.1,8.1
1.49,-5907,215,1.016,7.5
1.525,-5987.6,217,1.113,7.5
1.522,-6068.1,219,1.013,6.7
1.584,-6229.3,223,1.001,6
1.431,-6309.9,225,0.876,5.6
1.471,-6350.1,226,NA,NA
1.557,-6390.4,227,1.003,6.6
1.5,-6471,229,1.15,7.9
1.471,-6551.6,231,1.122,7.5
1.583,-6632.1,233,1.024,7.4
1.718,-6712.7,235,1.08,7.6
1.626,-6793.3,237,0.996,6.8
1.523,-6873.9,239,1.203,7.7
1.586,-7035,243,1.284,8.2
1.606,-7115.6,245,1.106,7.6
1.602,-7196.1,247,1.031,6.8
1.561,-7276.7,249,0.943,6
1.57,-7357.3,251,0.934,5.9
1.572,-7437.9,253,0.98,6.3
1.844,-7458,253.5,NA,NA
1.652,-7517.7,255,1.079,7.3
1.694,-7557.5,256,NA,NA
1.611,-7597.3,257,0.943,5.9
1.626,-7676.9,259,1.008,6.6
1.723,-7836.1,263,1.281,8
1.777,-7915.7,265,NA,NA
1.8,-7995.3,267,0.961,6.1
1.705,-8074.9,269,0.848,7.3
1.704,-8154.5,271,NA,NA
1.953,-8234.1,273,1.045,7
2.008,-8254,273.5,NA,NA
1.676,-8313.7,275,NA,NA
NA,-8393.3,277,1.05,7
1.675,-8472.9,279,1.087,7.4
1.649,-8652,283.5,NA,NA
1.775,-8711.7,285,NA,NA
1.765,-8950.5,291,NA,NA
2.155,-9050,293.5,NA,NA
1.663,-9149.5,296,NA,NA
