d18O (permil),year (AD),d18O (permil) [1-2],year (AD) [1-2],d18O (permil) [1-3],year (AD) [1-3],d18O (permil) [1-4],year (AD) [1-4],d18O (permil) [1-5],year (AD) [1-5],d18O (permil) [1-6],year (AD) [1-6],d18O (permil) [1-7],year (AD) [1-7],d18O (permil) [1-8],year (AD) [1-8],d18O (permil) [1-9],year (AD) [1-9],d18O (permil) [1-10],year (AD) [1-10],d18O (permil) [1-11],year (AD) [1-11],d18O (permil) [1-12],year (AD) [1-12],depth (cm) [1-12]
-5.27,1998.37,-4.68,928.08,-4.631,1149.08,-4.79,1317.17,-4.86,1398.68,-4.61,1405.1569,-4.64,1411.9262,-4.865,1326.65,-4.63,1635.02,-5.14,1653.63,-4.98,1664.96,-5.23,1886.08,NA
-5.42,1998.29,-4.62,928.175,-4.724,1149.2225,-4.73,1317.29,-4.9,1398.747167,-4.64,1405.280175,-4.64,1412.0046,-4.765,1326.75825,-4.55,1635.083,-5.13,1653.65,-4.8,1665.0215,-5.3,1886.19,NA
-5.49,1998.2,-4.65,928.27,-4.709,1149.365,-4.66,1317.41,-5,1398.814333,-4.7,1405.40345,-4.62,1412.083,-4.805,1326.8665,-4.65,1635.146,-5.13,1653.686083,-4.68,1665.083,-5.42,1886.31,NA
-5.5,1998.13,-4.56,928.365,-4.707,1149.5075,-4.66,1317.53,-4.92,1398.8815,-4.77,1405.526725,-4.62,1412.1775,-4.665,1326.97475,-4.59,1635.209,-5.16,1653.722167,-4.74,1665.164,-5.42,1886.42,NA
-5.44,1998.04,-4.58,928.46,-4.912,1149.65,-4.78,1317.65,-4.91,1398.948667,-4.86,1405.65,-4.68,1412.272,-4.595,1327.083,-4.74,1635.272,-5.28,1653.75825,-4.7,1665.245,-5.57,1886.54,NA
-5.48,1997.96,-4.42,928.555,-4.83,1149.722167,-4.69,1317.722167,-4.85,1399.015833,-4.85,1405.704125,-4.77,1412.3665,-4.735,1327.1775,-4.79,1635.335,-4.99,1653.794333,-4.74,1665.326,-5.48,1886.65,NA
-5.52,1997.88,-4.59,928.65,-4.778,1149.794333,-4.7,1317.794333,-4.74,1399.083,-4.82,1405.75825,-4.78,1412.461,-4.815,1327.272,-4.9,1635.398,-4.73,1653.830417,-4.84,1665.407,-5.41,1886.7,NA
-5.71,1997.79,-4.56,928.75825,-4.835,1149.8665,-4.85,1317.8665,-4.81,1399.164,-4.81,1405.812375,-4.78,1412.5555,-4.675,1327.3665,-4.88,1635.461,-4.63,1653.8665,-4.83,1665.488,-5.5,1886.76,NA
-5.75,1997.71,-4.41,928.8665,-4.714,1149.938667,-4.84,1317.938667,-4.9,1399.245,-4.74,1405.8665,-4.89,1412.65,-4.655,1327.461,-4.82,1635.524,-4.94,1653.902583,-4.82,1665.569,-5.47,1886.81,NA
-5.65,1997.62,-4.57,928.97475,-4.565,1150.010833,-4.81,1318.010833,-5.1,1399.326,-4.67,1405.920625,-4.89,1412.711857,-4.745,1327.5555,-5.01,1635.587,-4.76,1653.938667,-4.9,1665.65,-5.48,1886.87,NA
-5.54,1997.54,-4.41,929.083,-4.561,1150.083,-4.59,1318.083,-4.93,1399.407,-4.48,1405.97475,-4.88,1412.773714,-4.865,1327.65,-5.04,1635.65,-4.63,1653.97475,-4.81,1665.698111,-5.7,1886.92,NA
-5.44,1997.46,-4.45,929.1775,-4.635,1150.146,-4.76,1318.153875,-5.02,1399.488,-4.46,1406.028875,-4.79,1412.835571,-4.845,1327.794333,-4.96,1635.704125,-4.6,1654.010833,-4.82,1665.746222,-5.71,1886.97,NA
-5.42,1997.37,-4.67,929.272,-4.749,1150.209,-4.69,1318.22475,-4.96,1399.569,-4.35,1406.083,-4.85,1412.897429,-5.005,1327.938667,-4.9,1635.75825,-4.53,1654.046917,-4.83,1665.794333,-5.75,1887.03,NA
-5.31,1997.29,-4.61,929.3665,-4.725,1150.272,-4.78,1318.295625,-5.03,1399.65,-4.4,1406.1964,-4.93,1412.959286,-4.885,1328.083,-4.76,1635.812375,-4.43,1654.083,-4.78,1665.842444,-5.7,1887.08,NA
