d18O (permil),year (AD),d13C (permil),d18O (permil)
-3.13,1497,-7.98,-3.13
-3.21,1487,-7.21,-3.21
-3.13,1477,-7.29,-3.13
-3.06,1472,-8.01,-3.06
-2.99,1467,-7.14,-2.99
-3.11,1461,-7.05,-3.11
-3.09,1456,-6.7,-3.09
-2.99,1451,-6.86,-2.99
-2.9,1446,-7.46,-2.9
-3.06,1436,-7.09,-3.06
-3.34,1436,-8.03,-3.34
-2.95,1426,-7.61,-2.95
-3.47,1421,-8.52,-3.47
-3.39,1416,-7.24,-3.39
-3.29,1406,-7.35,-3.29
-3.19,1401,-6.49,-3.19
-3.2,1396,-6.95,-3.2
-3.14,1385,-6.66,-3.14
-3.35,1380,-7.91,-3.35
-3.21,1375,-7.27,-3.21
-3.04,1370,-6.03,-3.04
-3.11,1365,-6.89,-3.11
-3.23,1360,-5.99,-3.23
-3.48,1350,-6.9,-3.48
-3.19,1345,-6.45,-3.19
-3.14,1330,-6.71,-3.14
-3.54,1320,-7.42,-3.54
-3.16,1309,-7.27,-3.16
-3,1304,-6.78,-3
-3.1,1299,-7.16,-3.1
-3.22,1295,-7.95,-3.22
-3.24,1294,-8.02,-3.24
-3.07,1289,-7.19,-3.07
-3.08,1279,-6.74,-3.08
-3.13,1274,-7.05,-3.13
-3.16,1269,-7.32,-3.16
-3.2,1259,-7.95,-3.2
-3.26,1254,-6.35,-3.26
-3.45,1243,-8.46,-3.45
-3.33,1233,-7.75,-3.33
-3.22,1228,-7.06,-3.22
-3.44,1218,-7.94,-3.44
-3.28,1203,-6.76,-3.28
-3.11,1180,-5.58,-3.11
-3.24,1143,-7.88,-3.24
-3.44,1122,-8.29,-3.44
-3.09,1064,-7.43,-3.09
-3.14,1007,-7.02,-3.14
-3.28,980,-7.77,-3.28
-3.58,949,-8.25,-3.58
-3.3,909,-7.74,-3.3
-3.34,891,-7.78,-3.34
-3.15,834,-6.32,-3.15
-3.31,833,-7.72,-3.31
-3.51,776,-7.67,-3.51
-3.32,718,-6.71,-3.32
-3.21,661,-7.76,-3.21
-3.31,637,-7.71,-3.31
