dD (permil),year (AD),depth (cm),dD (permil),dD (permil),dD (permil)
-203.0685,1642,5,-193.5882,-198.2727,-190.7049
-200.0563,1121,10,-198.5624,-201.5602,-197.1082
-204.5818,600,15,-199.4738,-204.5722,-195.9983
-204.5443,184,20,-197.4611,-205.1769,-194.3896
-207.8046,56,55,-195.8706,-206.214,-211.7475
-205.3189,-242,60,-198.6054,-207.3659,-195.9483
-205.3541,-553,65,-197.7627,-204.587,-207.4306
-203.0985,-876,70,-196.1535,-202.5826,-192.1129
-205.8565,-1187,75,-199.2988,-206.4161,-200.5707
-202.3275,-1466,80,-198.0071,-204.6989,-199.6886
-202.982,-1714,85,-193.4177,-199.6103,-194.2672
-207.1327,-1953,90,-196.9919,-211.6766,-194.0369
-205.1255,-2207,95,-194.1003,-206.114,-192.5077
-202.8339,-2498,100,-195.8045,-202.6926,-189.9578
-208.5681,-2850,105,-197.6241,-204.0085,-185.9047
-205.7105,-3261,110,-193.1814,-204.7344,-187.4958
-202.589,-3707,115,-192.0905,-203.9345,-186.3516
-207.1607,-4164,120,-192.6502,-204.203,-182.2117
-204.0277,-4606,125,-193.6455,-204.9581,-187.5834
-200.4293,-5021,130,-193.1602,-200.3943,-184.3085
-202.6802,-5757,140,-189.8049,-203.3039,-180.8443
-208.2796,-6070,145,-185.9147,-199.8578,-178.5357
-213.8393,-6346,150,-189.4078,-203.3661,-180.3186
-203.4959,-6610,155,-183.6667,-203.7767,-172.4595
