Age (BP),d2HC25 (permil),stdevC25 (permil),d2HC27 (permil),stdevC27 (permil),d2HC29 (permil),stdevC29 (permil),d2HC31 (permil),stdevC31 (permil),year (AD)
-42.1,-171,3.7,-188,3.6,-181,3.8,-181,3.9,1992.1
-22.1,-168,3.6,-182,3.6,-174,3.6,-173,3.7,1972.1
-2.1,-171,3.8,-182,3.9,-177,3.8,-181,4.2,1952.1
38.2,-159,3.9,-179,3.7,-183,3.8,-179,4.2,1911.8
58.2,-171,3.8,-173,3.7,-173,4.1,-166,4.3,1891.8
98.4,-175,3.7,-181,3.7,-176,3.8,-169,3.8,1851.6
118.4,-178,3.8,-180,3.7,-175,3.9,-175,3.9,1831.6
138.5,-176,3.8,-182,3.7,-180,3.8,-181,3.9,1811.5
158.1,-182,3.7,-181,3.7,-176,3.8,-181,3.9,1791.9
178.3,-175,3.7,-179,3.6,-173,3.7,-173,3.8,1771.7
198.1,-182,3.8,-183,3.7,-178,3.8,-181,3.9,1751.9
238.4,-179,3.8,-181,3.7,-180,3.8,-180,3.9,1711.6
258.5,-180,3.8,-184,3.7,-178,3.8,-182,3.9,1691.5
278.8,-178,3.7,-183,3.6,-179,3.7,-180,3.8,1671.2
339.4,-178,4,-180,3.7,-179,4.1,-177,4.3,1610.6
377.2,-180,3.8,-183,3.7,-181,3.8,-182,3.9,1572.8
415.1,-179,3.8,-182,3.7,-180,3.8,-184,3.9,1534.9
453,-180,3.8,-182,3.7,-182,3.8,-186,3.9,1497
490.9,-180,3.8,-181,3.7,-181,3.8,-184,3.9,1459.1
529,-177,3.7,-177,3.7,NA,NA,NA,NA,1421
593.1,-182,4,-183,3.7,-184,3.8,-186,3.9,1356.9
657.4,-175,3.8,-181,3.7,-187,4.1,-188,4.2,1292.6
722.1,-180,4,-184,3.9,-184,4.1,-188,4.2,1227.9
786.6,-179,3.8,-183,3.7,-185,3.8,-187,3.9,1163.4
851.2,-179,3.8,-183,3.7,-181,3.8,-185,3.9,1098.8
927.7,-179,4,-183,3.9,-184,4.1,-187,4.2,1022.3
1004.4,-182,4,-187,3.9,-185,4.1,-185,4.2,945.6
1081.7,-179,3.8,-185,3.7,-185,3.8,-186,3.9,868.3
1158.4,-177,4,-185,4,-186,3,-187,3,791.6
1235.6,-176,4,-184,3.9,-182,4.1,-184,4.2,714.4
1367.4,-179,3.8,-185,3.7,-185,3.8,-188,3.9,582.6
1433.2,-179,3.8,-182,3.7,-183,3.8,-185,3.9,516.8
1499.7,-181,4,-186,3.9,-184,4.1,-187,4.2,450.3
1566,-183,3.8,-186,3.7,-185,3.8,-187,3.9,384
1589.4,-181,3.8,-184,3.7,-184,3.8,-188,3.9,360.6
1613.1,-182,3.7,-186,3.6,-187,4.1,-188,3.9,336.9
1636.5,-175,4,-182,4,-181,3,-183,3,313.5
1682.4,-181,3.8,-188,3.7,-194,4.1,-194,4.2,267.6
1784.8,-177,3.8,-186,3.7,-201,3.8,NA,NA,165.2
1832.3,-178,3,-186,3,-187,3,-188,3,117.7
1900.6,-169,3.8,-177,3.9,-190,4.1,-193,4.2,49.4000000000001
1977.9,-174,3,-183,3,-186,3,-186,3,-27.9000000000001
2012.8,-177,4,-184,3.9,-195,4.1,-195,4.2,-62.8
2267.3,-177,3,-185,3,-184,3,-186,3,-317.3
2713.4,-171,4,-177,4,-180,3,-180,3,-763.4
2981,-177,3,-183,3,-185,3,-186,3,-1031
3477.1,-169,3,-181,3,-182,3,-184,3,-1527.1
3863.2,-171,3,-182,4,-176,4,-173,3,-1913.2
4334.7,-168,3,-185,4,-185,3,-182,3,-2384.7
4538.7,-177,3,-186,3,-193,3,-196,3,-2588.7
4663.8,-172,3,-181,3,-189,3,-189,3,-2713.8
4776.9,-167,3,-177,3,-184,3,-184,3,-2826.9
4814.5,-170,3,-180,3,-190,3,-196,3,-2864.5
4887.7,-169,3,-180,3,-186,3,-188,3,-2937.7
4962.3,-174,3,-179,3,-190,3,-197,3,-3012.3
7532.2,-156,3,-169,3,-178,3,-188,3,-5582.2
7782.9,-168,3,-179,3,-193,3,-191,3,-5832.9
7867.2,-164,3,-174,3,-196,3,-188,3,-5917.2
8122.5,-169,3,-181,3,-201,3,-190,3,-6172.5
8475.6,-168,3,-180,3,-204,3,-197,3,-6525.6
9076.7,-165,3,-178,3,-186,3,-196,3,-7126.7
9325.8,-166,3,-181,3,-189,3,-200,3,-7375.8
9429.1,-161,3,-181,3,-196,3,-196,3,-7479.1
9450,-158,3,-178,3,-191,3,-191,3,-7500
9503.4,-157,3,-178,3,-185,3,-189,3,-7553.4
9567.4,-158,3,-181,3,-190,3,-195,3,-7617.4
9629.9,-163,3,-184,3,-196,3,-192,3,-7679.9
10305.6,-172,3,-187,3,-198,3,-188,3,-8355.6
10530,-170,3,-189,3,-199,3,-191,3,-8580
10752.5,-172,3,-188,3,-202,3,-195,3,-8802.5
11501.2,-176,3,-198,3,-212,3,-194,3,-9551.2
12249.2,-180,3,-229,3,-223,3,-203,3,-10299.2
12845.8,-206,3,-216,3,-209,3,-212,3,-10895.8
