d18O (permil),year (AD)
27.48,2012
28.97,2011
27.96,2010
28.39,2009
28.99,2008
28.49,2007
29.03,2006
28.91,2005
29.2,2004
29.06,2003
29,2002
29.36,2001
29.33,2000
29.88,1999
30.09,1998
28.91,1997
29.3,1996
29.62,1995
29.31,1994
30.19,1993
29.97,1992
29.02,1991
30.7,1990
28.09,1989
29.45,1988
28.93,1987
28.14,1986
28.73,1985
30.2,1984
29.02,1983
28.47,1982
29.46,1981
28.11,1980
28.8,1979
28.41,1978
28.93,1977
30.05,1976
29.74,1975
28.5,1974
28.72,1973
28.62,1972
28.74,1971
28.06,1970
28.26,1969
28.61,1968
28.54,1967
28.4,1966
28.79,1965
28.66,1964
28.47,1963
28.48,1962
29.49,1961
28.54,1960
28.96,1959
28.02,1958
28.89,1957
28.3,1956
29,1955
28.91,1954
27.65,1953
28.72,1952
28.05,1951
28.82,1950
29.75,1949
29,1948
28.38,1947
29.23,1946
28.55,1945
28.71,1944
29.97,1943
28.01,1942
28.7,1941
29.94,1940
29.73,1939
28.81,1938
28.63,1937
28.49,1936
29.52,1935
29.13,1934
29.46,1933
27.94,1932
28.34,1931
27.75,1930
28.68,1929
28.97,1928
26.71,1927
28,1926
29.54,1925
30.17,1924
30.17,1923
28.49,1922
29.55,1921
28.82,1920
28.84,1919
29.53,1918
29.33,1917
29.62,1916
28.92,1915
28.43,1914
29.02,1913
28.29,1912
29.37,1911
29.71,1910
28.62,1909
28.64,1908
29.63,1907
29.54,1906
28.68,1905
29.46,1904
28.96,1903
29.63,1902
29.67,1901
29.4,1900
30.18,1899
30.26,1898
29.19,1897
29.22,1896
28.96,1895
28.82,1894
29.85,1893
29.78,1892
29.17,1891
28.94,1890
29.08,1889
28.25,1888
29.09,1887
29.25,1886
29.02,1885
29.58,1884
28.82,1883
29.19,1882
27.48,1881
28.88,1880
28.56,1879
28.29,1878
27.09,1877
28.98,1876
28.1,1875
28.35,1874
28.01,1873
29.43,1872
28.4,1871
28.4,1870
28.12,1869
29.53,1868
29.37,1867
29.18,1866
28.72,1865
29.81,1864
28.95,1863
27.72,1862
27.19,1861
27.9,1860
29.66,1859
29.71,1858
27.99,1857
28.18,1856
28.96,1855
28.14,1854
28.14,1853
28.7,1852
29.28,1851
29.3,1850
