d18O (permil),year (AD),depth (cm)
1.59,-262,237
1.51,-267,238
1.36,-272,239
1.37,-277,240
1.22,-283,241
1.42,-288,242
1.73,-293,243
1.42,-299,244
1.38,-310,246
1.24,-316,247
1.31,-321,248
1.53,-327,249
1.5,-333,250
1.18,-338,251
1.04,-344,252
1.37,-350,253
1.51,-356,254
1.23,-362,255
1.02,-368,256
1.49,-375,257
1.29,-381,258
1.3,-387,259
1.16,-394,260
1.38,-400,261
1.11,-407,262
0.99,-414,263
1.53,-421,264
1.53,-428,265
1.66,-435,266
1.94,-442,267
1.82,-449,268
1.68,-464,270
1.89,-472,271
1.85,-480,272
1.98,-488,273
1.93,-496,274
1.62,-504,275
1.36,-512,276
1.73,-521,277
1.39,-529,278
1.73,-538,279
1.58,-547,280
1.75,-556,281
1.96,-565,282
2.42,-575,283
2.13,-584,284
2.14,-594,285
2.26,-604,286
2.16,-614,287
1.96,-624,288
2.11,-635,289
2.24,-646,290
1.94,-657,291
1.51,-668,292
2.07,-679,293
2.08,-690,294
2.27,-702,295
1.73,-714,296
1.93,-726,297
1.89,-738,298
2.58,-751,299
2.26,-764,300
2.37,-777,301
2.17,-790,302
2.64,-804,303
2.36,-818,304
2.27,-832,305
2.56,-846,306
2.52,-860,307
2.6,-875,308
2.61,-890,309
2.65,-906,310
2.34,-921,311
2.49,-937,312
2.81,-954,313
2.55,-1022,317
1.89,-1039,318
2.41,-1057,319
2.13,-1076,320
2.38,-1094,321
2.01,-1113,322
2.45,-1133,323
2.38,-1153,324
2.5,-1173,325
2.46,-1256,329
2.98,-1278,330
2.52,-1300,331
2.98,-1323,332
2.43,-1346,333
3.1,-1369,334
2.41,-1393,335
2.94,-1417,336
2.47,-1442,337
2.41,-1467,338
2.38,-1518,340
2.37,-1545,341
2.5,-1571,342
2.31,-1598,343
2.44,-1626,344
2.35,-1682,346
2.26,-1741,348
