d18O (permil),year (AD),depth (cm),year (AD),d18O (permil),year (AD)
-4.8011,1994.5,NA,1994.5,-4.8011,1994.5
-4.725,1994.33,NA,1994.33,-4.725,1994.33
-4.6994,1994.17,NA,1994.17,-4.6994,1994.17
-4.86,1994,NA,1994,-4.86,1994
-5.0886,1993.83,NA,1993.83,-5.0886,1993.83
-5.0901,1993.67,NA,1993.67,-5.0901,1993.67
-4.8369,1993.5,NA,1993.5,-4.8369,1993.5
-4.8693,1993.33,NA,1993.33,-4.8693,1993.33
-4.7955,1993.17,NA,1993.17,-4.7955,1993.17
-4.7162,1993,NA,1993,-4.7162,1993
-4.6206,1992.83,NA,1992.83,-4.6206,1992.83
-4.635,1992.67,NA,1992.67,-4.635,1992.67
-4.9788,1992.5,NA,1992.5,-4.9788,1992.5
-5.1378,1992.33,NA,1992.33,-5.1378,1992.33
-4.8519,1992.17,NA,1992.17,-4.8519,1992.17
-4.8808,1992,NA,1992,-4.8808,1992
-4.9745,1991.83,NA,1991.83,-4.9745,1991.83
-5.0925,1991.67,NA,1991.67,-5.0925,1991.67
-5.0708,1991.5,NA,1991.5,-5.0708,1991.5
-5.05,1991.33,NA,1991.33,-5.05,1991.33
-5.1622,1991.17,NA,1991.17,-5.1622,1991.17
-5.1529,1991,NA,1991,-5.1529,1991
-5.0177,1990.83,NA,1990.83,-5.0177,1990.83
-4.8676,1990.67,NA,1990.67,-4.8676,1990.67
-4.8089,1990.5,NA,1990.5,-4.8089,1990.5
-5.0184,1990.33,NA,1990.33,-5.0184,1990.33
-5.0487,1990.17,NA,1990.17,-5.0487,1990.17
-4.7776,1990,NA,1990,-4.7776,1990
-4.6312,1989.83,NA,1989.83,-4.6312,1989.83
-4.59,1989.67,NA,1989.67,-4.59,1989.67
-4.5604,1989.5,NA,1989.5,-4.5604,1989.5
-4.5465,1989.33,NA,1989.33,-4.5465,1989.33
-4.507,1989.17,NA,1989.17,-4.507,1989.17
-4.4884,1989,NA,1989,-4.4884,1989
-4.4836,1988.83,NA,1988.83,-4.4836,1988.83
-4.4698,1988.67,NA,1988.67,-4.4698,1988.67
-4.4972,1988.5,NA,1988.5,-4.4972,1988.5
-4.6805,1988.33,NA,1988.33,-4.6805,1988.33
-4.8781,1988.17,NA,1988.17,-4.8781,1988.17
-5.039,1988,NA,1988,-5.039,1988
-5.1861,1987.83,NA,1987.83,-5.1861,1987.83
-5.3044,1987.67,NA,1987.67,-5.3044,1987.67
-5.2768,1987.5,NA,1987.5,-5.2768,1987.5
-5.0971,1987.33,NA,1987.33,-5.0971,1987.33
-5.0598,1987.17,NA,1987.17,-5.0598,1987.17
-5.0715,1987,NA,1987,-5.0715,1987
-4.9652,1986.83,NA,1986.83,-4.9652,1986.83
-4.8349,1986.67,NA,1986.67,-4.8349,1986.67
-4.7257,1986.5,NA,1986.5,-4.7257,1986.5
-4.681,1986.33,NA,1986.33,-4.681,1986.33
-4.6785,1986.17,NA,1986.17,-4.6785,1986.17
-4.7651,1986,NA,1986,-4.7651,1986
-4.7498,1985.83,NA,1985.83,-4.7498,1985.83
-4.6833,1985.67,NA,1985.67,-4.6833,1985.67
-4.6965,1985.5,NA,1985.5,-4.6965,1985.5
-4.6608,1985.33,NA,1985.33,-4.6608,1985.33
-4.6277,1985.17,NA,1985.17,-4.6277,1985.17
-4.708,1985,NA,1985,-4.708,1985
-4.7536,1984.83,NA,1984.83,-4.7536,1984.83
-4.7654,1984.67,NA,1984.67,-4.7654,1984.67
-4.7924,1984.5,NA,1984.5,-4.7924,1984.5
-4.7071,1984.33,NA,1984.33,-4.7071,1984.33
-4.5836,1984.17,NA,1984.17,-4.5836,1984.17
-4.561,1984,NA,1984,-4.561,1984
-4.7001,1983.83,NA,1983.83,-4.7001,1983.83
-4.7477,1983.67,NA,1983.67,-4.7477,1983.67
-4.8652,1983.5,NA,1983.5,-4.8652,1983.5
-4.8342,1983.33,NA,1983.33,-4.8342,1983.33
-4.7811,1983.17,NA,1983.17,-4.7811,1983.17
-5.0879,1983,NA,1983,-5.0879,1983
-5.2398,1982.83,NA,1982.83,-5.2398,1982.83
-5.164,1982.67,NA,1982.67,-5.164,1982.67
-4.9915,1982.5,NA,1982.5,-4.9915,1982.5
-4.8571,1982.33,NA,1982.33,-4.8571,1982.33
-4.8504,1982.17,NA,1982.17,-4.8504,1982.17
-4.8136,1982,NA,1982,-4.8136,1982
-4.8207,1981.83,NA,1981.83,-4.8207,1981.83
-4.8066,1981.67,NA,1981.67,-4.8066,1981.67
-4.9627,1981.5,NA,1981.5,-4.9627,1981.5
-5.0471,1981.33,NA,1981.33,-5.0471,1981.33
-5.0138,1981.17,NA,1981.17,-5.0138,1981.17
-4.988,1981,NA,1981,-4.988,1981
-5.0527,1980.83,NA,1980.83,-5.0527,1980.83
-5.0259,1980.67,NA,1980.67,-5.0259,1980.67
-4.9733,1980.5,NA,1980.5,-4.9733,1980.5
-4.8792,1980.33,NA,1980.33,-4.8792,1980.33
-4.8576,1980.17,NA,1980.17,-4.8576,1980.17
-4.8572,1980,NA,1980,-4.8572,1980
-4.8284,1979.83,NA,1979.83,-4.8284,1979.83
-4.7721,1979.67,NA,1979.67,-4.7721,1979.67
-4.7026,1979.5,NA,1979.5,-4.7026,1979.5
-4.7382,1979.33,NA,1979.33,-4.7382,1979.33
-4.8101,1979.17,NA,1979.17,-4.8101,1979.17
-4.7165,1979,NA,1979,-4.7165,1979
-4.6437,1978.83,NA,1978.83,-4.6437,1978.83
-4.623,1978.67,NA,1978.67,-4.623,1978.67
-4.6255,1978.5,NA,1978.5,-4.6255,1978.5
-4.7784,1978.33,NA,1978.33,-4.7784,1978.33
-5.0657,1978.17,NA,1978.17,-5.0657,1978.17
-5.0258,1978,NA,1978,-5.0258,1978
-4.9577,1977.83,NA,1977.83,-4.9577,1977.83
-4.8377,1977.67,NA,1977.67,-4.8377,1977.67
-4.7331,1977.5,NA,1977.5,-4.7331,1977.5
-4.792,1977.33,NA,1977.33,-4.792,1977.33
-4.8717,1977.17,NA,1977.17,-4.8717,1977.17
-4.9546,1977,NA,1977,-4.9546,1977
-4.989,1976.83,NA,1976.83,-4.989,1976.83
-4.9778,1976.67,NA,1976.67,-4.9778,1976.67
-4.8621,1976.5,NA,1976.5,-4.8621,1976.5
