dD (permil),year (AD)
-245.287640449438,2006
-199.6953125,2005
-181.505263157895,2004
-224.039436619718,2003
-202.883333333333,2002
-224.085714285714,2001
-213.227118644068,2000
-225.358974358974,1999
-197.659375,1998
-204.481756756757,1997
-217.39693877551,1996
-221.887755102041,1995
-218.141176470588,1994
-212.395652173913,1993
-173.55,1992
-185.745833333333,1991
-183.019607843137,1990
-212.74224137931,1989
-223.51724137931,1988
-219.392957746479,1987
-216.613333333333,1986
-211.677777777778,1985
-213.512244897959,1984
-210.753125,1983
-173.288888888889,1982
-200.584337349398,1981
-209.275,1980
-179.493617021277,1979
-187.422340425532,1978
-181.036065573771,1977
-206.51,1976
-215.114,1975
-195.661538461539,1974
-210.62987012987,1973
-189.7225,1972
-201.885416666667,1971
-198.575490196078,1970
-196.225373134328,1969
-176.988372093023,1968
-189.170555555556,1967
-197.176595744681,1966
-182.038888888889,1965
-219.488636363636,1964
-219.860377358491,1963
-186.825,1962
-198.488888888889,1961
-189.504347826087,1960
-186.758823529412,1959
-185.943396226415,1958
-210.142666666667,1957
-197.262,1956
-196.294444444444,1955
-203.321428571429,1954
-206.931,1953
-216.991666666667,1952
-195.666666666667,1951
-201.3390625,1950
-226.279310344828,1949
-208.694285714286,1948
-219.432142857143,1947
-206.914705882353,1946
-210.330909090909,1945
-207.048387096774,1944
-180.512,1943
-213.728070175439,1942
-208.962790697674,1941
-192.982,1940
-213.768292682927,1939
-194.065853658537,1938
-196.025531914894,1937
-205.852,1936
-192.132142857143,1935
-225.178571428571,1934
-220.26,1933
-215.079487179487,1932
-193.951428571428,1931
-198.989130434783,1930
-216.955319148936,1929
-232.67,1928
-178.691176470588,1927
-197.961224489796,1926
-212.583333333333,1925
-192.21935483871,1924
-189.326923076923,1923
-179.876470588235,1922
-210.4875,1921
-188.7,1920
-196.466666666667,1919
-203.654,1918
-209.866666666667,1917
-199.9625,1916
-208.728888888889,1915
-221.778260869565,1914
-210.659677419355,1913
-183.987272727273,1912
-209.071428571429,1911
-168.626086956522,1910
-201.112195121951,1909
-192.693548387097,1908
-204.068292682927,1907
-206.225714285714,1906
-216.903703703704,1905
-213.024,1904
-216.04375,1903
-198.649180327869,1902
-179.021052631579,1901
-211.231428571429,1900
-203.373913043478,1899
-198.803225806452,1898
-211.410638297872,1897
-218.961904761905,1896
-206.590322580645,1895
-184.671111111111,1894
-187.191304347826,1893
-210.876451612903,1892
-201.167857142857,1891
-211.565625,1890
-215.670731707317,1889
-205.98275862069,1888
-211.855555555556,1887
-208.134375,1886
-197.143243243243,1885
-177.576470588235,1884
-198.051282051282,1883
-195.947368421053,1882
