Mg_Ca (mmol/mol),year (AD),temperature (degC),d18O (permil),depth (cm),d18O (permil),temperature (degC) [2-1],year (AD) [2-1],Mg_Ca (mmol/mol) [2-1]
5.2,1949,29.06,1.22,0.5,-1.58,29.06,1949,5.2
4.95,1844.19,28.52,1.1,2,-1.6,28.52,1844.19,4.95
4.91,1756.84,28.42,1.31,3.25,-1.37,28.42,1756.84,4.91
4.75,1721.91,28.06,1.11,3.75,-1.49,28.06,1721.91,4.75
4.95,1686.97,28.53,1.32,4.25,-1.37,28.53,1686.97,4.95
4.24,1652.03,26.8,1.05,4.75,-1.3,26.8,1652.03,4.24
4.44,1617.09,27.31,0.93,5.25,-1.53,27.31,1617.09,4.44
5.03,1582.16,28.7,1.28,5.75,-1.45,28.7,1582.16,5.03
4.53,1547.22,27.52,0.99,6.25,-1.5,27.52,1547.22,4.53
4.22,1512.28,26.76,0.71,6.75,-1.63,26.76,1512.28,4.22
4.37,1477.34,27.13,0.73,7.25,-1.69,27.13,1477.34,4.37
5.29,1442.41,29.25,1.1,7.75,-1.74,29.25,1442.41,5.29
4.35,1407.47,27.09,0.69,8.25,-1.72,27.09,1407.47,4.35
4.92,1385.08,28.45,1.01,8.75,-1.48,28.45,1385.08,4.92
4.61,1375.25,27.74,0.87,9.25,-1.67,27.74,1375.25,4.61
4.48,1365.42,27.42,0.99,9.75,-1.49,27.42,1365.42,4.48
NA,1355.58,NA,NA,10.25,-1.67,27.47,1345.75,4.5
4.5,1345.75,27.47,0.81,10.75,-1.66,27.69,1335.92,4.59
4.59,1335.92,27.69,0.86,11.25,-1.58,28.29,1326.08,4.85
4.85,1326.08,28.29,1.07,11.75,-1.61,26.38,1316.25,4.08
4.08,1316.25,26.38,0.66,12.25,-1.82,27.35,1306.42,4.46
4.46,1306.42,27.35,0.64,12.75,-1.66,28.06,1296.58,4.75
4.75,1296.58,28.06,0.94,13.25,-1.72,28.29,1286.75,4.85
4.85,1286.75,28.29,0.93,13.75,-1.46,27.82,1276.92,4.65
4.65,1276.92,27.82,1.1,14.25,-1.74,28.3,1267.08,4.85
4.85,1267.08,28.3,0.92,14.75,-1.76,26.99,1257.25,4.31
4.31,1257.25,26.99,0.63,15.25,-1.76,27.25,1247.42,4.41
4.41,1247.42,27.25,0.68,15.75,-1.41,27.59,1237.58,4.55
4.55,1237.58,27.59,1.09,16.25,-1.56,27.11,1217.92,4.36
NA,1227.75,NA,NA,16.75,-1.62,27.21,1208.08,4.4
4.36,1217.92,27.11,0.86,17.25,-1.53,27.06,1198.25,4.34
4.4,1208.08,27.21,0.81,17.75,-1.52,27.32,1188.42,4.44
4.34,1198.25,27.06,0.88,18.25,-1.42,27.15,1178.58,4.37
4.44,1188.42,27.32,0.93,18.75,-1.84,28.25,1168.75,4.83
4.37,1178.58,27.15,1,19.25,-1.48,26.86,1158.92,4.26
4.83,1168.75,28.25,0.8,19.75,-1.71,27.56,1142.79,4.54
4.26,1158.92,26.86,0.88,20.25,-1.64,27.77,1120.37,4.63
4.54,1142.79,27.56,0.79,20.75,-1.68,28.4,1097.95,4.89
4.63,1120.37,27.77,0.9,21.25,-1.62,26.29,1075.53,4.05
4.89,1097.95,28.4,0.99,21.75,-1.66,28.16,1053.12,4.79
4.05,1075.53,26.29,0.62,22.25,-1.68,26.57,1030.7,4.15
4.79,1053.12,28.16,0.96,22.75,-1.68,26.38,1008.28,4.08
4.15,1030.7,26.57,0.62,23.25,-1.63,27.01,985.86,4.32
4.08,1008.28,26.38,0.59,23.75,-1.83,27.8,963.44,4.64
4.32,985.86,27.01,0.76,24.25,-1.66,26.45,941.02,4.11
4.64,963.44,27.8,0.72,24.75,-1.55,26.64,918.6,4.18
4.11,941.02,26.45,0.62,25.25,-1.51,27.11,896.19,4.36
4.18,918.6,26.64,0.77,25.75,-1.69,26.33,873.77,4.06
4.36,896.19,27.11,0.9,26.25,-1.66,28.79,851.35,5.07
4.06,873.77,26.33,0.57,26.75,-1.64,26.49,828.93,4.12
5.07,851.35,28.79,1.09,27.25,-1.59,26.64,806.51,4.18
4.12,828.93,26.49,0.65,27.75,-1.53,27.05,784.09,4.34
4.18,806.51,26.64,0.73,28.25,-1.43,26.32,761.67,4.06
4.34,784.09,27.05,0.87,28.75,-1.82,28.18,739.26,4.8
4.06,761.67,26.32,0.82,29.25,-1.63,26.83,716.84,4.25
4.8,739.26,28.18,0.98,29.75,-1.81,26.87,694.42,4.27
4.25,716.84,26.83,0.73,30.25,-1.52,27.22,672,4.4
4.27,694.42,26.87,0.55,30.75,-1.47,26.89,665.42,4.27
4.4,672,27.22,0.91,31.25,-1.57,27.09,658.84,4.35
4.27,665.42,26.89,0.9,31.75,-1.63,NA,NA,NA
4.35,658.84,27.09,0.84,32.25,-1.68,NA,NA,NA
NA,652.26,NA,NA,32.75,-1.54,NA,NA,NA
NA,645.68,NA,NA,33.25,-1.65,NA,NA,NA
NA,639.11,NA,NA,33.75,-1.55,NA,NA,NA
NA,632.53,NA,NA,34.25,-1.56,NA,NA,NA
NA,625.95,NA,NA,34.75,-1.65,NA,NA,NA
NA,619.37,NA,NA,35.25,-1.62,NA,NA,NA
NA,612.79,NA,NA,35.75,-1.53,NA,NA,NA
NA,606.21,NA,NA,36.25,-1.69,NA,NA,NA
NA,599.63,NA,NA,36.75,-1.44,NA,NA,NA
NA,593.05,NA,NA,37.25,-1.65,NA,NA,NA
NA,586.47,NA,NA,37.75,-1.66,NA,NA,NA
NA,579.89,NA,NA,38.25,-1.64,NA,NA,NA
NA,573.32,NA,NA,38.75,-1.59,NA,NA,NA
NA,566.74,NA,NA,39.25,-1.44,NA,NA,NA
NA,560.16,NA,NA,39.75,-1.91,NA,NA,NA
NA,553.58,NA,NA,40.25,-1.82,NA,NA,NA
NA,547,NA,NA,40.75,-1.72,NA,NA,NA
NA,515.96,NA,NA,41.25,-1.57,NA,NA,NA
NA,484.93,NA,NA,41.75,-1.68,NA,NA,NA
NA,453.89,NA,NA,42.25,-1.61,NA,NA,NA
NA,422.86,NA,NA,42.75,-1.8,NA,NA,NA
NA,391.82,NA,NA,43.25,-1.57,NA,NA,NA
NA,360.79,NA,NA,43.75,-1.59,NA,NA,NA
NA,329.75,NA,NA,44.25,-1.71,NA,NA,NA
NA,298.71,NA,NA,44.75,-1.52,NA,NA,NA
NA,267.68,NA,NA,45.25,-1.62,NA,NA,NA
NA,236.64,NA,NA,45.75,-1.69,NA,NA,NA
NA,205.61,NA,NA,46.25,-1.71,NA,NA,NA
NA,174.57,NA,NA,46.75,-1.73,NA,NA,NA
NA,143.54,NA,NA,47.25,-1.71,NA,NA,NA
NA,112.5,NA,NA,47.75,-1.65,NA,NA,NA
NA,81.46,NA,NA,48.25,-1.51,NA,NA,NA
NA,50.43,NA,NA,48.75,-1.5,NA,NA,NA
NA,19.39,NA,NA,49.25,-1.67,NA,NA,NA
NA,-11.64,NA,NA,49.75,-1.34,NA,NA,NA
NA,-42.68,NA,NA,50.25,-1.57,NA,NA,NA
NA,-73.71,NA,NA,50.75,-1.82,NA,NA,NA
NA,-104.75,NA,NA,51.25,-1.32,NA,NA,NA
NA,-135.79,NA,NA,51.75,-1.53,NA,NA,NA
NA,-166.82,NA,NA,52.25,-1.66,NA,NA,NA
NA,-197.86,NA,NA,52.75,-1.61,NA,NA,NA
NA,-228.89,NA,NA,53.25,-1.7,NA,NA,NA
NA,-259.93,NA,NA,53.75,-1.48,NA,NA,NA
NA,-290.96,NA,NA,54.25,-1.65,NA,NA,NA
NA,-322,NA,NA,54.75,-1.56,NA,NA,NA
NA,-330.75,NA,NA,55.25,-1.59,NA,NA,NA
NA,-339.49,NA,NA,55.75,-1.61,NA,NA,NA
NA,-348.24,NA,NA,56.25,-1.43,NA,NA,NA
NA,-356.98,NA,NA,56.75,-1.46,NA,NA,NA
NA,-365.73,NA,NA,57.25,-1.58,NA,NA,NA
NA,-374.47,NA,NA,57.75,-1.44,NA,NA,NA
NA,-383.22,NA,NA,58.25,-1.5,NA,NA,NA
NA,-391.97,NA,NA,58.75,-1.67,NA,NA,NA
NA,-400.71,NA,NA,59.25,-1.58,NA,NA,NA
NA,-409.46,NA,NA,59.75,-1.48,NA,NA,NA
NA,-418.2,NA,NA,60.25,-1.97,NA,NA,NA
NA,-426.95,NA,NA,60.75,-1.82,NA,NA,NA
NA,-435.69,NA,NA,61.25,-1.52,NA,NA,NA
NA,-444.44,NA,NA,61.75,-1.78,NA,NA,NA
NA,-453.19,NA,NA,62.25,-1.78,NA,NA,NA
NA,-461.93,NA,NA,62.75,-1.8,NA,NA,NA
NA,-470.68,NA,NA,63.25,-1.88,NA,NA,NA
NA,-479.42,NA,NA,63.75,-1.73,NA,NA,NA
NA,-488.17,NA,NA,64.25,-1.64,NA,NA,NA
NA,-496.92,NA,NA,64.75,-1.74,NA,NA,NA
NA,-505.66,NA,NA,65.25,-1.66,NA,NA,NA
NA,-514.41,NA,NA,65.75,-1.71,NA,NA,NA
NA,-523.15,NA,NA,66.25,-1.57,NA,NA,NA
NA,-531.9,NA,NA,66.75,-1.55,NA,NA,NA
NA,-540.64,NA,NA,67.25,-1.85,NA,NA,NA
NA,-549.39,NA,NA,67.75,-1.75,NA,NA,NA
NA,-558.14,NA,NA,68.25,-1.69,NA,NA,NA
NA,-566.88,NA,NA,68.75,-1.7,NA,NA,NA
NA,-575.63,NA,NA,69.25,-1.76,NA,NA,NA
NA,-583.88,NA,NA,69.75,-1.8,NA,NA,NA
NA,-591.64,NA,NA,70.25,-1.71,NA,NA,NA
NA,-599.41,NA,NA,70.75,-1.77,NA,NA,NA
NA,-607.17,NA,NA,71.25,-1.66,NA,NA,NA
NA,-614.93,NA,NA,71.75,-1.76,NA,NA,NA
NA,-622.69,NA,NA,72.25,-1.54,NA,NA,NA
NA,-630.46,NA,NA,72.75,-1.68,NA,NA,NA
NA,-638.22,NA,NA,73.25,-1.62,NA,NA,NA
NA,-645.98,NA,NA,73.75,-1.73,NA,NA,NA
NA,-653.75,NA,NA,74.25,-1.51,NA,NA,NA
NA,-661.51,NA,NA,74.75,-1.71,NA,NA,NA
NA,-669.27,NA,NA,75.25,-1.59,NA,NA,NA
NA,-677.03,NA,NA,75.75,-1.62,NA,NA,NA
NA,-684.8,NA,NA,76.25,-1.73,NA,NA,NA
NA,-692.56,NA,NA,76.75,-1.64,NA,NA,NA
NA,-700.32,NA,NA,77.25,-1.75,NA,NA,NA
NA,-708.08,NA,NA,77.75,-1.71,NA,NA,NA
NA,-715.85,NA,NA,78.25,-1.53,NA,NA,NA
NA,-723.61,NA,NA,78.75,-1.81,NA,NA,NA
NA,-731.37,NA,NA,79.25,-1.35,NA,NA,NA
NA,-739.14,NA,NA,79.75,-1.69,NA,NA,NA
NA,-746.9,NA,NA,80.25,-1.63,NA,NA,NA
NA,-754.66,NA,NA,80.75,-1.72,NA,NA,NA
NA,-762.42,NA,NA,81.25,-1.75,NA,NA,NA
NA,-770.19,NA,NA,81.75,-1.66,NA,NA,NA
NA,-777.95,NA,NA,82.25,-1.6,NA,NA,NA
NA,-785.71,NA,NA,82.75,-1.8,NA,NA,NA
NA,-793.47,NA,NA,83.25,-1.68,NA,NA,NA
NA,-801.24,NA,NA,83.75,-1.72,NA,NA,NA
NA,-809,NA,NA,84.25,-1.82,NA,NA,NA
NA,-828.31,NA,NA,84.75,-1.74,NA,NA,NA
NA,-847.62,NA,NA,85.25,-1.92,NA,NA,NA
NA,-866.93,NA,NA,85.75,-1.77,NA,NA,NA
NA,-886.25,NA,NA,86.25,-1.87,NA,NA,NA
NA,-905.56,NA,NA,86.75,-1.81,NA,NA,NA
NA,-924.87,NA,NA,87.25,-1.81,NA,NA,NA
NA,-944.18,NA,NA,87.75,-1.89,NA,NA,NA
NA,-963.49,NA,NA,88.25,-1.76,NA,NA,NA
NA,-982.8,NA,NA,88.75,-1.81,NA,NA,NA
NA,-1002.11,NA,NA,89.25,-1.57,NA,NA,NA
NA,-1021.43,NA,NA,89.75,-1.81,NA,NA,NA
NA,-1040.74,NA,NA,90.25,-1.66,NA,NA,NA
NA,-1060.05,NA,NA,90.75,-1.87,NA,NA,NA
NA,-1079.36,NA,NA,91.25,-1.58,NA,NA,NA
NA,-1098.67,NA,NA,91.75,-1.76,NA,NA,NA
NA,-1117.98,NA,NA,92.25,-1.83,NA,NA,NA
NA,-1137.3,NA,NA,92.75,-1.67,NA,NA,NA
NA,-1156.61,NA,NA,93.25,-1.72,NA,NA,NA
NA,-1175.92,NA,NA,93.75,-1.64,NA,NA,NA
NA,-1195.23,NA,NA,94.25,-1.62,NA,NA,NA
NA,-1214.54,NA,NA,94.75,-1.84,NA,NA,NA
NA,-1233.85,NA,NA,95.25,-1.61,NA,NA,NA
NA,-1253.16,NA,NA,95.75,-1.74,NA,NA,NA
NA,-1272.48,NA,NA,96.25,-1.8,NA,NA,NA
NA,-1291.79,NA,NA,96.75,-1.67,NA,NA,NA
NA,-1311.1,NA,NA,97.25,-1.55,NA,NA,NA
NA,-1330.41,NA,NA,97.75,-1.71,NA,NA,NA
NA,-1349.72,NA,NA,98.25,-1.75,NA,NA,NA
NA,-1369.03,NA,NA,98.75,-1.83,NA,NA,NA
NA,-1388.34,NA,NA,99.25,-1.67,NA,NA,NA
NA,-1413.3,NA,NA,99.75,-1.67,NA,NA,NA
NA,-1443.9,NA,NA,100.25,-1.61,NA,NA,NA
NA,-1474.5,NA,NA,100.75,-1.7,NA,NA,NA
NA,-1505.1,NA,NA,101.25,-1.68,NA,NA,NA
NA,-1535.7,NA,NA,101.75,-1.93,NA,NA,NA
NA,-1566.3,NA,NA,102.25,-1.67,NA,NA,NA
NA,-1596.9,NA,NA,102.75,-1.7,NA,NA,NA
NA,-1627.5,NA,NA,103.25,-1.9,NA,NA,NA
NA,-1658.1,NA,NA,103.75,-1.87,NA,NA,NA
NA,-1688.7,NA,NA,104.25,-1.63,NA,NA,NA
NA,-1719.3,NA,NA,104.75,-1.73,NA,NA,NA
NA,-1749.9,NA,NA,105.25,-1.71,NA,NA,NA
NA,-1780.5,NA,NA,105.75,-1.68,NA,NA,NA
