d18O (permil),year (AD),depth (cm),d13C (‰)
-4.59,1993,0,-2.22
-5.64,1963,2,-0.06
-8.45,1952,4,-1.4
-6.82,1941,6,0.01
-7.57,1929,8,-0.07
-9.28,1917,10,-0.36
-7.51,1908,12.6,-0.08
-6.66,1894,13.7,0.59
-6.13,1889,14.05,0.08
-7.97,1882,14.45,0.84
-8.2,1876,14.9,-0.34
-8.71,1872,15.25,0.21
-8.24,1865,15.6,-0.15
-6.85,1859,16,0.6
-7.3,1854,16.35,0.4
-6.45,1848,16.7,0.97
-6.8,1843,17.05,0.86
-6.38,1834,17.45,0.55
-7.23,1831,17.8,0.24
-6.52,1824,18.1,0.46
-7.33,1818,18.45,1.06
-6.4,1811,18.8,0.77
-6.78,1806,19.15,0.86
-6.87,1800,19.45,0.67
-7.37,1794,19.75,0.63
-6.87,1787,20.1,0.66
-8.68,1783,20.4,0.01
-7.71,1779,20.6,0.77
-6.77,1769,20.95,0.39
-6.49,1761,21.4,1.04
-7.32,1755,21.75,0.54
-6.14,1749,22.05,1.11
-6.05,1742,22.35,0.65
-6.86,1736,22.65,0.53
-7.53,1732,22.9,-0.3
-6.49,1723,23.2,0.76
-6.69,1717,23.55,0.96
-6.77,1708,23.9,0.86
-6.26,1699,24.3,0.62
-6.7,1688,24.8,0.6
-6.53,1679,25.2,0.64
-7.01,1665,25.7,0.88
-8.01,1658,26.15,0.64
-7.62,1649,26.5,-0.17
-6.16,1642,26.85,0.94
-6.01,1632,27.2,1.06
-6.48,1625,27.55,1.06
-6.31,1620,27.8,0.84
-6.26,1612,28.05,1.04
-6.47,1605,28.35,1.09
-6.17,1597,28.65,0.92
-6.6,1590,28.95,0.61
-6.75,1580,29.4,0.62
-6.68,1567,29.75,0.55
-5.8,1562,30.1,0.85
-6.94,1551,30.4,0.75
-6.43,1544,30.75,0.68
-6.76,1533,31.1,0.65
-7.58,1522,31.5,0.45
-8.4,1512,31.9,1.11
-8.38,1498,32.35,0.68
-9.13,1485,32.85,0.67
-7.61,1471,33.35,0.28
-8.51,1460,33.8,-0.01
-7.83,1446,34.25,0.28
-6.87,1432,34.75,0.54
-7.05,1423,35.15,0.59
-6.94,1392,36,0.86
-6.58,1389,36.45,1.24
-7.07,1377,36.7,0.78
-9.18,1371,37,-0.45
-6.5,1356,37.35,0.65
-8.78,1345,37.8,-0.45
-8.61,1336,38.15,0.32
-7.68,1327,38.45,0.65
-9.88,1306,38.95,-0.25
-9.22,1303,39.35,-0.04
-9.88,1290,39.6,0.43
-7.15,1281,39.95,0.8
-8.04,1272,40.25,0.86
-7.38,1263,40.55,0.98
-6.99,1257,40.8,0.78
-6.7,1241,41.15,0.96
-7.14,1229,41.6,0.65
-6.76,1220,41.95,0.4
-6.71,1210,42.25,0.47
-8.32,1204,42.5,0.09
-6.12,1188,42.85,0.77
-6.14,1172,43.35,0.74
-7.02,1166,43.7,0.73
-6.08,1153,44,0.91
-6.71,1137,44.45,0.65
-6.66,1128,44.85,0.28
-7.23,1121,45.1,0.86
-6.68,1105,45.45,0.84
-7.38,1099,45.8,0.7
-6.61,1082,46.15,1.04
-8.1,1076,46.5,0.35
-9.45,1066,46.75,-0.69
-7.9,1056,47.05,0.35
-8.53,1043,47.4,-0.26
-8.81,1033,47.75,0.15
-8.31,1023,48.05,0.38
-9.18,1014,48.35,0.52
-8.47,1007,48.6,0.3
-8.92,997,48.85,0.83
-8,990,49.1,1.1
-8.34,982,49.325,0.16
-7.09,974,49.575,0.41
-7.09,967,49.8,0.92
-7.6,957,50.05,0.72
-7.33,944,50.4,1
-7.17,937,50.7,0.83
-8.79,930,50.9,0.47
-7.47,920,51.15,0.73
-8.24,907,51.5,0.85
-10.04,897,51.85,-0.38
-9.94,887,52.15,-0.44
-7.6,877,52.45,-0.22
-8.06,863,52.8,0.93
-7.08,843,53.3,1
-7.21,829,53.8,1.13
-7.23,819,54.15,1.3
-6.58,805,54.5,1.7
-6.64,799,54.8,1.68
-6.91,788,55.05,1.8
-6.13,778,55.35,2.03
-6.6,764,55.7,1.51
-6.51,751,56.1,1.68
-6.23,741,56.45,1.49
-6.55,724,56.85,1.24
-8.2,717,57.2,0.78
-7.09,706,57.45,1.13
-7.28,700,57.7,1.13
-7.32,693,57.9,1.05
-7.59,682,58.15,1.08
-7.1,672,58.45,0.93
-7.92,662,58.75,0.89
-6.98,648,59.1,1.13
-6.77,638,59.45,0.92
-6.94,628,59.75,0.73
-7.5,614,60.1,0.94
-8.68,593,60.6,0.54
-7.74,587,61,0.38
-9.52,-38,79.85,0.41
-10.52,-66,80.9,0.59
-9.24,-72,81.1,0.6
-9.59,-101,82.05,1.34
-9.35,-110,82.35,0.81
-9.43,-119,82.65,1.26
-8.98,-130,83,1.7
-10.06,-136,83.3,1.42
-9.83,-142,83.5,0.68
-9.27,-154,83.8,1.34
-8.28,-156,84.05,1.18
-9.02,-171,84.35,1.25
-9.73,-179,84.75,0.94
-9.28,-188,85.05,1.4
-8.85,-196,85.35,1.23
-8.38,-202,85.6,1.38
-8.62,-210,85.85,1.07
-9.44,-221,86.2,0.85
-8.31,-235,86.65,1.36
-7.8,-243,87.05,1.47
-8.32,-248,87.3,1.38
-8,-253,87.5,1.34
-8.38,-264,87.8,0.9
-9.14,-272,88.15,1.21
-8.7,-280,88.45,1.14
-8.75,-287,88.725,0.46
-8.12,-301,89.3,1.19
-9.23,-311,89.6,1.46
-8.33,-319,89.95,1.11
-8.71,-326,90.25,1.13
-8.65,-336,90.6,1.24
-8.28,-341,90.9,1.11
-8.47,-349,91.15,1.28
-9,-359,91.5,1.49
-8.69,-369,91.9,1.38
-8.5,-378,92.3,1.38
-8.52,-388,92.7,1.21
-7.51,-397,93.1,1.34
-7.62,-407,93.5,1.41
-7.9,-413,93.85,1.29
-8.01,-420,94.15,1.28
-8.08,-427,94.45,1.28
-8.7,-432,94.7,1.09
-8.64,-436,94.9,1.13
-9.79,-443,95.15,0.85
-8.42,-449,95.45,1.4
-8.32,-456,95.75,1.61
-7.67,-462,96.05,1.5
-7.71,-467,96.3,1.49
-7.55,-473,96.55,1.44
-8.24,-477,96.8,1.21
-8,-486,97.1,1.54
-7.77,-494,97.5,1.13
-8.33,-504,97.95,0.79
-8.75,-508,98.3,0.73
-8.1,-514,98.55,1.26
-8.41,-800,112.45,1.14
-8.26,-876,115.45,1.61
-9.24,-939,117.95,1.33
-10.39,-990,119.95,0.58
-8.99,-1091,123.95,0.7
-10.69,-1154,126.45,-0.66
-9.55,-1205,128.45,0.89
-9.61,-1293,131.95,1.02
-9.2,-1357,134.45,1.01
-9.84,-1420,136.95,0.8
-9.27,-1470,138.95,1.24
-9.58,-1521,140.95,1.35
-9.5,-1572,142.95,1.13
-8.66,-1622,144.95,2.12
-8.56,-1723,148.95,1.78
-10.25,-1787,151.45,0.96
-9.15,-1850,153.95,1.69
-8.72,-1901,155.95,1.78
-9.08,-1964,158.45,1.62
-8.8,-2014,160.45,1.36
-9.15,-2078,162.95,2.21
-8.9,-2166,166.45,-1.18
-9.49,-2242,169.45,-1.64
-9.02,-2293,171.45,1.61
-9.14,-2369,174.45,0.93
-9.46,-2457,177.95,1.27
-10.33,-2558,181.95,0.32
-9.91,-2660,185.95,1.33
-9.46,-2723,188.45,1.34
-9.86,-2812,191.95,1.86
-10.1,-2862,193.95,2.13
-9.16,-2925,196.45,2.5
-9.66,-3014,199.95,2.23
-9.99,-3065,201.95,1.83
-9.79,-3128,204.45,1.72
-9.54,-3191,206.95,1.41
-9.14,-3280,210.45,1.95
-9.59,-3330,212.45,1.24
-10.13,-3368,213.95,1.21
-9.84,-3419,215.95,1.86
-8.96,-3469,217.95,2.16
-9.13,-3533,220.45,2.08
-9.4,-3596,222.95,2.32
-8.52,-3672,225.95,2.17
-8.64,-3735,228.45,1.85
-9.18,-3786,230.45,2.44
-10.01,-3950,236.95,1.36
-8.37,-4026,239.95,1.67
-9.42,-4127,243.95,2.16
-9.94,-4191,246.45,1.97
-9.01,-4254,248.95,2.32
-10.96,-4418,255.45,0.65
-10.36,-4482,257.95,1.23
-9.79,-4570,261.45,1.78
-9.69,-4633,263.95,1.81
-10.12,-4703,266.7,1.52
-9.54,-4798,270.45,2.15
-9.94,-4848,272.45,2.14
-9.59,-4912,274.95,2.42
-10.01,-5013,278.95,2.21
-10.04,-5089,281.95,1.96
-10.53,-5139,283.95,1.9
-10.46,-5582,301.45,2.14
-11.2,-5671,304.95,1.44
-10.49,-5721,306.95,2.08
-10.62,-5785,309.45,1.74
-10.48,-5873,312.95,1.77
-10.91,-5924,314.95,1.62
-10.91,-6000,317.95,1.37
-11.5,-6114,322.45,1.2
-11.6,-6177,324.95,1.25
-11.66,-6228,326.95,0.75
-11.75,-6430,334.95,-1.06
-11.91,-6670,344.45,-0.38
-11.35,-6898,353.45,0.4
-12.66,-7120,362.2,0.19
-13.38,-7252,367.45,0.44
