d18O (permil),year (AD),d18O (permil) [1-2],year (AD) [1-2],depthice (m) [1-2],depthwe (m) [1-2]
-40.7,1992,-40.7,1992,0.33,0.1
-37.4,1991,-37.4,1991,0.68,0.21
-38.1,1990,-38.1,1990,1.03,0.31
-37.5,1989,-37.5,1989,1.36,0.42
-37.1,1988,-37.1,1988,1.7,0.52
-36.4,1987,-36.4,1987,2.02,0.63
-37.5,1986,-37.5,1986,2.35,0.73
-34.4,1985,-34.4,1985,2.66,0.84
-33.2,1984,-33.2,1984,2.97,0.94
-35.7,1983,-35.7,1983,3.26,1.05
-37,1982,-37,1982,3.56,1.15
-36.5,1981,-36.5,1981,3.85,1.26
-35.9,1980,-35.9,1980,4.16,1.36
-40.2,1979,-40.2,1979,4.44,1.47
-38.6,1978,-38.6,1978,4.72,1.57
-35.4,1977,-35.4,1977,4.99,1.68
-34.8,1976,-34.8,1976,5.27,1.78
-36.4,1975,-36.4,1975,5.54,1.89
-37,1974,-37,1974,5.82,1.99
-36.9,1973,-36.9,1973,6.07,2.09
-37.2,1972,-37.2,1972,6.35,2.2
-36.3,1971,-36.3,1971,6.62,2.3
-37.3,1970,-37.3,1970,6.88,2.41
-34.6,1969,-34.6,1969,7.19,2.51
-36.3,1968,-36.3,1968,7.46,2.62
-36.2,1967,-36.2,1967,7.71,2.72
-38.4,1966,-38.4,1966,7.96,2.83
-34.3,1965,-34.3,1965,8.19,2.93
-34.8,1964,-34.8,1964,8.44,3.04
-34,1963,-34,1963,8.69,3.14
-34.9,1962,-34.9,1962,8.92,3.25
-36.2,1961,-36.2,1961,9.16,3.35
-36.9,1960,-36.9,1960,9.39,3.46
-35.5,1959,-35.5,1959,9.67,3.56
-34.2,1958,-34.2,1958,9.89,3.67
-33.2,1957,-33.2,1957,10.12,3.77
-33.3,1956,-33.3,1956,10.35,3.88
-34,1955,-34,1955,10.58,3.98
-36.1,1954,-36.1,1954,10.8,4.08
-36.6,1953,-36.6,1953,11.02,4.19
-35.5,1952,-35.5,1952,11.25,4.29
-37.4,1951,-37.4,1951,11.46,4.4
-38.2,1950,-38.2,1950,11.68,4.5
-37.7,1949,-37.7,1949,11.89,4.61
-36.8,1948,-36.8,1948,12.12,4.71
-36.1,1947,-36.1,1947,12.33,4.82
-36.6,1946,-36.6,1946,12.54,4.92
-36.1,1945,-36.1,1945,12.75,5.03
-36,1944,-36,1944,12.97,5.13
-37.1,1943,-37.1,1943,13.18,5.24
-35.8,1942,-35.8,1942,13.4,5.34
-33.5,1941,-33.5,1941,13.6,5.45
-33.8,1940,-33.8,1940,13.81,5.55
-33.7,1939,-33.7,1939,14.01,5.66
-35.9,1938,-35.9,1938,14.22,5.76
-37.7,1937,-37.7,1937,14.41,5.87
-37.2,1936,-37.2,1936,14.59,5.97
-35.2,1935,-35.2,1935,14.79,6.07
-35.2,1934,-35.2,1934,14.99,6.18
-34.6,1933,-34.6,1933,15.19,6.28
-34.7,1932,-34.7,1932,15.39,6.39
-34.4,1931,-34.4,1931,15.59,6.49
-34.4,1930,-34.4,1930,15.78,6.6
-34.6,1929,-34.6,1929,15.97,6.7
-34.1,1928,-34.1,1928,16.17,6.81
-35.3,1927,-35.3,1927,16.36,6.91
-35.7,1926,-35.7,1926,16.56,7.02
-35,1925,-35,1925,16.74,7.12
-35.8,1924,-35.8,1924,16.94,7.23
-34.9,1923,-34.9,1923,17.13,7.33
-34.1,1922,-34.1,1922,17.33,7.44
-36,1921,-36,1921,17.5,7.54
-37.4,1920,-37.4,1920,17.71,7.65
-36.7,1919,-36.7,1919,17.89,7.75
-36.6,1918,-36.6,1918,18.08,7.86
-36.6,1917,-36.6,1917,18.27,7.96
-35.3,1916,-35.3,1916,18.45,8.07
-35.8,1915,-35.8,1915,18.64,8.17
-35.7,1914,-35.7,1914,18.82,8.27
-34.5,1913,-34.5,1913,19.01,8.38
-33.2,1912,-33.2,1912,19.19,8.48
-35.2,1911,-35.2,1911,19.38,8.59
-37.6,1910,-37.6,1910,19.57,8.7
-38,1909,-38,1909,19.75,8.81
-37.2,1908,-37.2,1908,19.94,8.92
-36.4,1907,-36.4,1907,20.04,9.03
-37.3,1906,-37.3,1906,20.23,9.14
-37.1,1905,-37.1,1905,20.41,9.24
-36.2,1904,-36.2,1904,20.6,9.35
-34.5,1903,-34.5,1903,20.79,9.46
-34.5,1902,-34.5,1902,20.96,9.57
-35.6,1901,-35.6,1901,21.14,9.68
-36.9,1900,-36.9,1900,21.32,9.79
-36.3,1899,-36.3,1899,21.5,9.9
-35.9,1898,-35.9,1898,21.68,10
-36.1,1897,-36.1,1897,21.86,10.11
-37.2,1896,-37.2,1896,22.06,10.22
-37,1895,-37,1895,22.24,10.33
-35.2,1894,-35.2,1894,22.42,10.44
-34.6,1893,-34.6,1893,22.6,10.55
-34.4,1892,-34.4,1892,22.78,10.66
-34.3,1891,-34.3,1891,22.95,10.76
-33.1,1890,-33.1,1890,23.13,10.87
-31.8,1889,-31.8,1889,23.31,10.98
-33,1888,-33,1888,23.66,11.09
-34.8,1887,-34.8,1887,24.11,11.2
-34.9,1886,-34.9,1886,24.28,11.31
-33.7,1885,-33.7,1885,24.46,11.42
-33,1884,-33,1884,24.63,11.52
-34.2,1883,-34.2,1883,24.8,11.63
-35.1,1882,-35.1,1882,24.98,11.74
-35.2,1881,-35.2,1881,25.15,11.85
-34.9,1880,-34.9,1880,25.32,11.96
-32.9,1879,-32.9,1879,25.49,12.07
-32.5,1878,-32.5,1878,25.66,12.18
-34.6,1877,-34.6,1877,25.83,12.29
-37,1876,-37,1876,26,12.39
-36.6,1875,-36.6,1875,26.17,12.5
-34.8,1874,-34.8,1874,26.34,12.61
-34.7,1873,-34.7,1873,26.51,12.72
-36.5,1872,-36.5,1872,26.68,12.83
-38.3,1871,-38.3,1871,26.85,12.94
-35.8,1870,-35.8,1870,27.11,13.05
-32.5,1869,-32.5,1869,27.27,13.15
-33,1868,-33,1868,27.44,13.26
-36.6,1867,-36.6,1867,27.61,13.37
-37.9,1866,-37.9,1866,27.77,13.48
-36.8,1865,-36.8,1865,27.94,13.59
-36.5,1864,-36.5,1864,28.11,13.7
