dD (permil),year (AD),depth (m),dD (permil) [1-2],year (AD) [1-2],depth (m) [1-2]
-258.06,1985,2.55,-204.03,1986.7942,1.1105
-256.06,1984,3.2,-212.57,1986.7519,1.1435
-282.71,1983,3.88,-221.11,1986.7096,1.1765
-285.05,1982,4.23,-236.64,1986.6673,1.2095
-273.57,1981,4.82,-252.64,1986.625,1.2425
-274.71,1980,5.34,-264.41,1986.5827,1.2755
-292.09,1979,5.67,-276.17,1986.5404,1.3085
-278.6,1978,6.22,-283.42,1986.4981,1.3415
-259.46,1977,6.86,-289.84,1986.4558,1.3745
-272.93,1976,7.26,-292.31,1986.4135,1.4075
-261.7,1975,7.83,-294.82,1986.3712,1.4405
-267.65,1974,8.22,-300,1986.3289,1.4735
-269.29,1973,8.69,-306.58,1986.2866,1.5065
-271.61,1972,9.07,-318.81,1986.2443,1.5395
-277.24,1971,9.53,-326.21,1986.202,1.5725
-265.19,1970,9.98,-325.7,1986.1597,1.6055
-269.06,1969,10.27,-319.1,1986.1174,1.6385
-256.37,1968,10.76,-307.73,1986.0751,1.6715
-265.62,1967,11.25,-293.27,1986.0327,1.7045
-259.34,1966,11.57,-277.75,1985.9851,1.7375
-270.22,1965,11.97,-269.36,1985.9191,1.7705
-262.73,1964,12.52,-261.05,1985.8531,1.8035
-268.3,1963,12.91,-248.55,1985.7871,1.8365
-254.97,1962,13.3,-239.21,1985.7211,1.8694
-253.68,1961,13.72,-237.67,1985.6551,1.9024
-271.76,1960,14.07,-241.75,1985.5891,1.9354
-256.87,1959,14.53,-252.19,1985.5231,1.9684
-267.23,1958,14.98,-269.12,1985.4571,2.0014
-276.36,1957,15.36,-289.53,1985.3911,2.0344
-283.28,1956,15.81,-304.51,1985.3251,2.0674
-269.69,1955,16.29,-318.1,1985.2591,2.1004
-277.43,1954,16.66,-312.31,1985.1931,2.1334
-264.03,1953,17.14,-303.59,1985.1272,2.1664
-263.36,1952,17.61,-282.98,1985.0612,2.1994
-271.32,1951,17.94,-269.2,1984.9964,2.2324
