d18O (permil),year (AD),depth (mm),d18O (permil) [2-1],year (AD) [2-1],depth (mm) [2-1],d18O (permil) [3-1],year (AD) [3-1],depth (mm) [3-1]
-6.28,1913,0.5,-6.18,1872,0.5,-6.47,1974,0.5
-6.24,1848,1.5,-6.09,1819,1.5,-6.47,1914,1.5
-6.15,1783,2.5,-6.02,1766,2.5,-6.58,1854,2.5
-5.96,1718,3.5,-6.24,1713,3.5,-6.36,1794,3.5
-6.14,1653,4.5,-6.27,1660,4.5,-6.2,1734,4.5
-6.06,1588,5.5,-6.34,1607,5.5,-6.08,1674,5.5
-6.12,1523,6.5,-6.18,1553,6.5,-6.09,1614,6.5
-6.04,1458,7.5,-6.1,1500,7.5,-6.05,1555,7.5
-5.89,1393,8.5,-6.09,1447,8.5,-6.08,660,8.5
-6.02,1328,9.5,-5.93,1394,9.5,-6.02,634,9.5
-5.87,1262,10.5,-5.98,1341,10.5,-6.15,607,10.5
-5.95,1115,11.5,-6.14,1288,11.5,-6.12,581,11.5
-6.04,1070,12.5,-5.98,1235,12.5,-6.08,555,12.5
-6.17,1026,13.5,-6.21,1182,13.5,-6.09,529,13.5
-6.09,981,14.5,-6.05,1129,14.5,-6.16,503,14.5
-6.06,936,15.5,-6.06,1076,15.5,-6.16,477,15.5
-6.09,892,16.5,-6.04,1023,16.5,-6.15,451,16.5
-6.15,847,17.5,-6.18,970,17.5,-6.01,425,17.5
-6.08,803,18.5,-6.38,917,18.5,-5.94,399,18.5
-6.07,758,19.5,-6.26,864,19.5,-5.88,373,19.5
-6.04,712,20.5,-6.33,810,20.5,-6.08,347,20.5
-6.14,666,21.5,-6.17,757,21.5,-6.1,321,21.5
-6.01,619,22.5,-6.21,704,22.5,-6.25,294,22.5
-5.87,572,23.5,-6.18,651,23.5,-6.08,268,23.5
-5.99,526,24.5,-6.31,598,24.5,-6.1,242,24.5
-5.92,479,25.5,-6.09,-259,85.5,-6.11,217,25.5
-5.88,432,26.5,-6.15,-276,86.5,-5.93,194,26.5
-5.95,386,27.5,-6.01,-312,87.5,-6.03,170,27.5
-6.14,339,28.5,-5.75,-366,88.5,-6.07,146,28.5
-6.11,292,29.5,-5.68,-421,89.5,-6.06,122,29.5
-6.15,246,30.5,-5.86,-475,90.5,-6.11,99,30.5
-6.11,199,31.5,-5.97,-529,91.5,-6.3,75,31.5
-5.88,152,32.5,-6.1,-584,92.5,-6.1,51,32.5
-6.12,106,33.5,-6.01,-638,93.5,-6.1,28,33.5
-6.13,59,34.5,-5.99,-680,94.5,-6.15,4,34.5
-6.17,12,35.5,-6.15,-710,95.5,-6.1,-20,35.5
-5.87,-34,36.5,-5.89,-740,96.5,-6.41,-650,36.5
-6.04,-81,37.5,-5.93,-770,97.5,-6.17,-717,37.5
-6.26,-128,38.5,-5.9,-800,98.5,-6.07,-784,38.5
-6.14,-174,39.5,-6.04,-831,99.5,-6.24,-851,39.5
-6.26,-221,40.5,-6.15,-861,100.5,-6.1,-918,40.5
-6.23,-255,41.5,-6.08,-891,101.5,-6.03,-985,41.5
-6.1,-290,42.5,-6.05,-921,102.5,-6,-1052,42.5
-6.11,-324,43.5,-6.03,-951,103.5,-6.04,-1119,43.5
-6.33,-358,44.5,-5.81,-981,104.5,-6.07,-1186,44.5
-6.15,-393,45.5,-5.94,-1015,105.5,-5.88,-1252,45.5
-6.11,-427,46.5,-5.9,-1052,106.5,-6.2,-1319,46.5
-6.14,-462,47.5,-6.05,-1090,107.5,-5.97,-1386,47.5
-6.22,-496,48.5,-5.99,-1127,108.5,-6.02,-1453,48.5
-6.27,-530,49.5,-5.95,-1164,109.5,-6.08,-1520,49.5
-6.11,-565,50.5,-6.04,-1202,110.5,-5.94,-1587,50.5
-6.16,-599,51.5,-5.9,-1239,111.5,-6.2,-1636,51.5
-5.96,-633,52.5,-6.1,-1277,112.5,-6.07,-1667,52.5
-5.98,-668,53.5,-6.03,-1314,113.5,-6.1,-1698,53.5
-6.09,-702,54.5,-6.05,-1352,114.5,-6.02,-1729,54.5
-6.08,-737,55.5,-6.18,-1389,115.5,-6,-1759,55.5
-6.2,-771,56.5,-5.92,-1427,116.5,-5.92,-1790,56.5
-6.13,-805,57.5,-6.02,-1464,117.5,-5.99,-1821,57.5
