d18O (permil),year start (AD),d18O (permil) [1-2],year start (AD) [1-2],d18O (permil) [1-3],year start (AD) [1-3]
-12.2,1994.5,-14.24,1997,-15.19,1994.5
-12.05,1984.5,-16.14,1992,-13.81,1984.5
-13.05,1974.5,-13.49,1987,-15.22,1974.5
-12.97,1964.5,-14.13,1982,-14.64,1964.5
-13.53,1954.5,-15.55,1977,-13.95,1954.5
-14.23,1944.5,-14.89,1972,-14.96,1944.5
-13.11,1934.5,-13.99,1967,-14.77,1934.5
-11.4,1924.5,-15.29,1962,-13.69,1924.5
-12.9,1914.5,-14.42,1957,-15.7,1914.5
-15.39,1904.5,-13.48,1952,-16.59,1904.5
-15.3,1894.5,-14.72,1947,-15.71,1894.5
-13.53,1884.5,-15.2,1942,-16.19,1884.5
-13.34,1874.5,-14.84,1937,-13.7,1874.5
-14.33,1864.5,-14.71,1932,-14.98,1864.5
-15.02,1854.5,-13.97,1927,-14.75,1854.5
-14.74,1844.5,-13.41,1922,-16.12,1844.5
-13.87,1834.5,-14.33,1917,-14.1,1834.5
-15.87,1824.5,-17.06,1912,-14.87,1824.5
-16.91,1814.5,-16.4,1907,-16,1814.5
-15.63,1804.5,-16.78,1902,-14.92,1804.5
-14,1794.5,-14.98,1897,-15.49,1794.5
-14.25,1784.5,-16.45,1892,-14.55,1784.5
-14.56,1774.5,-16.05,1887,-15.56,1774.5
-14.58,1764.5,-16.34,1882,-15.18,1764.5
-15.25,1754.5,-13.46,1877,-15.77,1754.5
-15.43,1744.5,-13.94,1872,-15.72,1744.5
-15.18,1734.5,-15.81,1867,-15.53,1734.5
-15.28,1724.5,-14.14,1862,-14.91,1724.5
-15.29,1714.5,-14.73,1857,-14.2,1714.5
-13.95,1704.5,-14.77,1852,-14.35,1704.5
-14.61,1694.5,-16.03,1847,-15.42,1694.5
-15.44,1684.5,-16.22,1842,-14.62,1684.5
-14.11,1674.5,-14.54,1837,-15.11,1674.5
-14.59,1664.5,-13.66,1832,-15.43,1664.5
-13.04,1654.5,-15.27,1827,-15.07,1654.5
-11.86,1644.5,-14.47,1822,-15.73,1644.5
-13.93,1634.5,-16.3,1817,-15.23,1634.5
-15.23,1624.5,-15.7,1812,-16.22,1624.5
-14.25,1614.5,-15.09,1807,-15.19,1614.5
-14.07,1604.5,-14.75,1802,-15.31,1604.5
-16.3,1594.5,-15.11,1797,-15.84,1594.5
-15.48,1584.5,-15.88,1792,-14.52,1584.5
