dD (permil),year (AD)
-239.676131,1991.18995
-236.241906,1991.145
-233.010262,1991.1
-233.862065,1991.055
-240.526005,1991.00505
-250.282676,1990.95005
-259.326457,1990.89
-271.921187,1990.83
-286.443327,1990.76995
-295.030819,1990.705
-294.98355,1990.64005
-290.979252,1990.58
-283.475534,1990.51995
-274.191143,1990.46
-262.072722,1990.4001
-255.779592,1990.34005
-250.704768,1990.28
-245.530589,1990.21995
-239.312699,1990.16
-234.646871,1990.10005
-234.511825,1990.035
-240.215576,1989.98005
-248.265264,1989.93505
-256.608194,1989.89005
-262.579143,1989.85005
-267.33661,1989.80505
-271.276085,1989.76005
-270.972233,1989.72005
-271.480583,1989.68005
-273.660606,1989.63505
-276.721321,1989.59005
-278.464375,1989.55005
-280.121578,1989.50505
-281.665922,1989.46005
-279.968205,1989.42005
-275.1191,1989.37505
-268.05621,1989.33005
-260.79461,1989.29005
-252.906013,1989.24505
-246.294562,1989.20005
-242.548973,1989.16005
-241.479218,1989.11505
-246.748894,1989.07005
-251.689637,1989.03005
-258.32231,1988.98505
-261.897162,1988.93005
-262.90904,1988.87505
-258.762173,1988.82005
-256.337138,1988.76505
-257.267989,1988.71005
-260.243817,1988.65505
-264.15339,1988.60505
-263.566906,1988.55005
-258.671499,1988.49495
-253.770305,1988.445
-248.719596,1988.39005
-240.830999,1988.33495
-235.005706,1988.285
-230.018662,1988.23505
-224.691109,1988.18
-219.078032,1988.12505
-214.573293,1988.07505
-216.809264,1988.025
-223.295316,1987.97505
-235.889291,1987.92505
-250.226321,1987.875
-258.715871,1987.82505
-262.469177,1987.77505
-259.650581,1987.72
-252.844278,1987.66505
-249.069751,1987.61505
-245.791999,1987.565
-248.546931,1987.51505
-251.831435,1987.46505
-253.692172,1987.415
-257.43969,1987.36505
-261.43751,1987.31505
-264.507967,1987.265
-263.230217,1987.21505
-260.119258,1987.16505
-252.525086,1987.115
-242.899049,1987.06505
-234.836208,1987.01005
-231.741642,1986.93
-252.148754,1986.845
-246.690535,1986.78
-243.161663,1986.72
-240.918684,1986.66
-243.887064,1986.595
-247.0588,1986.53
-250.717173,1986.47
-252.446199,1986.41
-248.806037,1986.345
-245.288294,1986.28
-240.268149,1986.22
-236.486347,1986.16
-258.238284,1986.095
-257.160805,1986.03
-258.697604,1985.98
-259.883338,1985.935
-259.847928,1985.89
-261.004321,1985.85
-262.282121,1985.805
-265.578299,1985.76
-267.63411,1985.72
-271.672888,1985.675
-274.14755,1985.63
-274.207242,1985.59
-274.486476,1985.545
-276.041486,1985.5
-278.694211,1985.455
-277.913781,1985.41
-275.332799,1985.37
-270.47008,1985.325
-263.4065,1985.28
-255.737355,1985.24
-248.555493,1985.195
-243.111471,1985.15
-237.85751,1985.11
-236.587744,1985.065
-231.190227,1985.02
-234.15133,1984.98
-234.665908,1984.935
-239.715655,1984.89
-244.770457,1984.85
-250.022396,1984.805
-261.215749,1984.76
-269.814978,1984.72
-283.667156,1984.675
-286.654544,1984.63
-295.924039,1984.59
-296.389081,1984.545
-294.223604,1984.5
-289.270909,1984.455
-282.163858,1984.41
-276.240641,1984.37
-266.626409,1984.325
-256.348986,1984.28
-247.59508,1984.24
-240.971268,1984.195
-234.071464,1984.15
-230.683975,1984.11
-230.255474,1984.065
-227.564486,1984.02
-225.471384,1983.98
-224.131436,1983.94
-219.671998,1983.9
-218.785757,1983.865
-219.656875,1983.83
-224.924919,1983.79
-229.576929,1983.75
-238.547224,1983.71
-245.394169,1983.67
-256.13997,1983.635
-261.020851,1983.6
-264.382317,1983.56
-266.020704,1983.52
-271.711199,1983.48
-272.630712,1983.44
-266.595399,1983.4
-267.460468,1983.365
-264.684788,1983.33
-254.585267,1983.29
-230.057859,1983.25
-232.8043,1983.21
-229.825964,1983.17
-235.575946,1983.135
-235.825989,1983.1
-240.814751,1983.06
-242.019596,1983.02
-247.909723,1982.98
-252.722043,1982.945
-256.467648,1982.91
-260.658893,1982.875
-268.366874,1982.84
-277.148627,1982.805
-280.253644,1982.77
-287.496022,1982.73
-289.368367,1982.695
-290.630828,1982.66
-293.091711,1982.625
-291.544251,1982.59
-288.590113,1982.555
-285.967686,1982.52
-281.874239,1982.48
-273.961587,1982.445
-272.588366,1982.41
-265.695043,1982.375
-261.981702,1982.34
-259.408678,1982.305
-258.148381,1982.27
-254.817398,1982.23
-244.813261,1982.195
-252.468327,1982.16
-241.239338,1982.125
-244.892546,1982.09
