d18O (permil),year (AD),depth (cm),d18O (permil),year (AD),depth (cm)
-0.31,1911.8,0.5,-0.53,1903,0.5
-0.34,1835.5,1.5,-0.37,1809,1.5
-0.36,1759.1,2.5,-0.36,1714,2.5
-0.27,1682.7,3.5,-0.33,1620,3.5
-0.14,1606.4,4.5,-0.42,1526,4.5
-0.16,1530,5.5,-0.64,1517,5.5
-0.57,1485,6.5,-0.43,1508,6.5
-0.44,1475,7.5,-0.8,1499,7.5
-0.55,1474,8.5,-0.71,1490,8.5
-0.43,1473,9.5,-0.84,1481,9.5
-0.57,1472,10.5,-0.37,1331,10.5
-0.34,1381.7,11.5,-0.48,1249,11.5
-0.42,1291.3,12.5,-0.48,1167,12.5
-0.39,1201,13.5,-0.43,1084,13.5
-0.52,1141,14.5,-0.59,1053,14.5
-0.45,1081,15.5,-0.84,1022,15.5
-0.63,1021,16.5,-0.54,991,16.5
-0.63,977.6,17.5,-0.77,961,17.5
-0.41,950.8,18.5,-0.68,930,18.5
-0.47,924,19.5,-0.48,898,19.5
-0.56,897.1,20.5,-0.43,867,20.5
-0.47,870.3,21.5,-0.84,836,21.5
-0.49,843.5,22.5,-0.53,804,22.5
-0.65,816.7,23.5,-0.7,773,23.5
-0.59,789.9,24.5,-0.53,760,24.5
-0.36,763,25.5,-0.39,747,25.5
-0.4,736.2,26.5,-0.45,734,26.5
-0.33,709.4,27.5,-0.31,722,27.5
-0.28,654.6,28.5,-0.34,709,28.5
-0.45,571.9,29.5,-0.37,696,29.5
-0.31,489.2,30.5,-0.28,468,30.5
-0.24,406.5,31.5,-0.25,241,31.5
-0.28,323.7,32.5,-0.32,13,32.5
-0.17,241,33.5,-0.53,-112,33.5
-0.48,77.7,34.5,-0.48,-238,34.5
-0.58,-85.7,35.5,-0.46,-363,35.5
-0.42,-249,36.5,-0.5,-488,36.5
-0.35,-412.3,37.5,-0.64,-614,37.5
-0.93,-575.7,38.5,-0.41,-739,38.5
-0.36,-739,39.5,-0.45,-769,39.5
-0.4,-746,40.5,-0.45,-798,40.5
-0.5,-753,41.5,-0.67,-828,41.5
-0.41,-760,42.5,-0.67,-858,42.5
-0.8,-767,43.5,-0.66,-887,43.5
-0.55,-774,44.5,-0.59,-917,44.5
-0.64,-781,45.5,NA,NA,NA
-0.65,-896.3,46.5,NA,NA,NA
-0.96,-1011.7,47.5,NA,NA,NA
-0.58,-1127,48.5,NA,NA,NA
-0.91,-1146,49.5,NA,NA,NA
-0.7,-1165,50.5,NA,NA,NA
