d18O (permil),year (AD),depth (cm),LaminaThickenss (mm)
-5.453,2004,NA,NA
-5.314,1996,NA,NA
-5.135,1987,NA,NA
-4.646,1979,NA,NA
-5.051,1970,NA,NA
-4.983,1961,NA,NA
-4.601,1952,NA,NA
-5.661,1943,NA,NA
-5.676,1934,NA,NA
-5.728,1924,NA,NA
-5.828,1915,NA,NA
-6.049,1905,NA,NA
-5.932,1896,NA,NA
-5.126,1886,NA,NA
-5.867,1876,NA,NA
-5.744,1866,NA,NA
-5.586,1856,NA,NA
-5.698,1846,NA,NA
-5.545,1836,NA,NA
-5.621,1826,NA,NA
-5.674,1816,NA,NA
-6.033,1806,NA,NA
-5.827,1795,NA,NA
-5.823,1785,NA,NA
-5.648,1775,NA,NA
-5.879,1764,NA,NA
-5.72,1754,NA,NA
-5.969,1743,NA,NA
-5.964,1733,NA,NA
-5.737,1722,NA,NA
-5.712,1712,NA,NA
-5.699,1701,NA,NA
-5.889,1691,NA,NA
-5.36,1680,NA,NA
-5.653,1670,NA,NA
-5.562,1659,NA,NA
-5.22,1649,NA,NA
-5.142,1638,NA,NA
-5.133,1628,NA,NA
-4.688,1617,NA,NA
-4.764,1607,NA,NA
-4.547,1596,NA,NA
-4.988,1586,NA,NA
-4.857,1576,NA,NA
-4.929,1565,NA,NA
-4.551,1555,NA,NA
-4.98,1544,NA,NA
-4.72,1534,NA,NA
-4.848,1524,NA,NA
-4.523,1513,NA,NA
-4.624,1503,NA,NA
-4.248,1493,NA,NA
-4.397,1483,NA,NA
-4.564,1472,NA,NA
-4.874,1462,NA,NA
-4.755,1452,NA,NA
-5.077,1442,NA,NA
-4.962,1432,NA,NA
-5.192,1422,NA,NA
-5.081,1412,NA,NA
-5.422,1402,NA,NA
-5.026,1392,NA,NA
-5.327,1382,NA,NA
-5.277,1372,NA,NA
-5.421,1362,NA,NA
-5.388,1352,NA,NA
-5.621,1342,NA,NA
-5.521,1332,NA,NA
-5.277,1323,NA,NA
-4.701,1313,NA,NA
-5.427,1303,NA,NA
-5.426,1293,NA,NA
-5.475,1284,NA,NA
-5.456,1274,NA,NA
-4.773,1265,NA,NA
-4.362,1255,NA,NA
-5.116,1245,NA,NA
-4.976,1236,NA,NA
-5.198,1226,NA,NA
-4.604,1217,NA,NA
-5.381,1207,NA,NA
-4.521,1198,NA,NA
-4.96,1189,NA,NA
-4.888,1179,NA,NA
-5.339,1170,NA,NA
-4.528,1161,NA,NA
-4.865,1151,NA,NA
NA,1142,NA,NA
-5.249,1133,NA,NA
-4.692,1123,NA,NA
-5.33,1114,NA,NA
-4.582,1105,NA,NA
-5.209,1096,NA,NA
-4.533,1087,NA,NA
-5.305,1077,NA,NA
-4.206,1068,NA,NA
-4.463,1059,NA,NA
-5.266,1050,NA,NA
-4.635,1041,NA,NA
-5.056,1032,NA,NA
-5.034,1023,NA,NA
-5.037,1014,NA,NA
-5.146,1004,NA,NA
-4.639,995,NA,NA
-5.303,986,NA,NA
-5.102,977,NA,NA
-4.981,968,NA,NA
-5.292,959,NA,NA
-5.141,950,NA,NA
NA,941,NA,NA
-5.339,932,NA,NA
-5.251,923,NA,NA
-4.906,914,NA,NA
-5.188,905,NA,NA
NA,896,NA,NA
NA,886,NA,NA
-4.712,877,NA,NA
-4.888,868,NA,NA
-5.349,859,NA,NA
-5.635,850,NA,NA
-5.721,841,NA,NA
-5.601,832,NA,NA
-5.463,823,NA,NA
-5.636,814,NA,NA
-5.895,804,NA,NA
NA,795,NA,NA
-5.825,786,NA,NA
-5.844,777,NA,NA
-5.729,768,NA,NA
-5.954,758,NA,NA
NA,749,NA,NA
-5.521,740,NA,NA
-5.503,731,NA,NA
-4.99,721,NA,NA
-4.635,712,NA,NA
-5.521,703,NA,NA
-5.658,693,NA,NA
-5.392,684,NA,NA
-5.619,675,NA,NA
-5.774,665,NA,NA
-5.586,656,NA,NA
-5.225,647,NA,NA
-4.96,637,NA,NA
-5.64,628,NA,NA
-5.847,618,NA,NA
-5.704,609,NA,NA
-5.419,599,NA,NA
-5.434,590,NA,NA
-5.305,580,NA,NA
-5.203,570,NA,NA
-4.956,561,NA,NA
-4.759,551,NA,NA
-4.936,542,NA,NA
