year (AD),depth (cm),d18O (permil),d18O (permil)
1970,NA,-36.68,-26.92
1969,NA,-39.01,-30.03
1968,NA,-41.85,-31.69
1967,NA,-37.78,-33.58
1966,NA,-38.41,-32.62
1965,NA,-36.98,-32.71
1964,NA,-37.4,-32.96
1963,NA,-38.35,-33.11
1962,NA,-37.82,-30.88
1961,NA,-36.42,-33.48
1960,NA,-37.53,-33.22
1959,NA,-37.05,-32.62
1958,NA,-41.77,-30.73
1957,NA,-40.26,-35.95
1956,NA,-38.03,-36.08
1955,NA,-40.12,-35.72
1954,NA,-38.6,-34.24
1953,NA,-38.69,-27.17
1952,NA,-42.14,-35.64
1951,NA,-37.87,-32.35
1950,NA,-38.13,-31.58
1949,NA,-41.37,-37.37
1948,NA,-35.8,-34.49
1947,NA,-36.61,-29.11
1946,NA,-33.88,-31.66
1945,NA,-37.13,-31.24
1944,NA,-41.15,-33.07
1943,NA,-36.84,-31.94
1942,NA,-36.84,-33.87
1941,NA,-39.26,-29.87
1940,NA,-34.74,-30.53
1939,NA,-37.18,-32.82
1938,NA,-37.24,-32.61
1937,NA,-36.79,-32.4
1936,NA,-38.89,-32.82
1935,NA,-34.55,-30.25
1934,NA,-34.89,-29.53
1933,NA,-40.1,-28.81
1932,NA,-36.79,-31.88
1931,NA,-39.01,-30
1930,NA,-38.98,-30.94
1929,NA,-35.45,-32.27
1928,NA,-38.37,-33.14
1927,NA,-37.57,-28.4
1926,NA,-35.98,-32.97
1925,NA,-37.66,-33.98
1924,NA,-41.33,-34.42
1923,NA,-38.83,-30.02
1922,NA,-37.65,-30.62
1921,NA,-39.22,-35.92
1920,NA,-37.08,-33.22
1919,NA,-38.42,-33.28
1918,NA,-40.76,-31.65
1917,NA,-35.68,-31.66
1916,NA,-34.74,-27.83
1915,NA,-41.13,-34.55
1914,NA,-39.35,-33.42
1913,NA,-41.2,-31.5
1912,NA,-35.99,-30.46
1911,NA,-38.82,-33.18
1910,NA,-41.71,-31.35
1909,NA,-36.48,-33.24
1908,NA,-38.45,-28.1
1907,NA,-40.9,-32.57
1906,NA,-40.49,-33.23
1905,NA,-38.63,-31.77
1904,NA,-40.08,-32.06
1903,NA,-40.97,-32.72
1902,NA,-41,-29.16
1901,NA,-38.19,-31.47
1900,NA,-41.65,-34.32
1899,NA,-38.19,-31.59
1898,NA,-37.53,-30.7
1897,NA,-38.53,-32.59
1896,NA,-37.4,-32.58
1895,NA,-38.42,-26.78
1894,NA,-38.64,-27.89
1893,NA,-34.6,-28.41
1892,NA,-39.57,-33.55
1891,NA,-39.41,-33.23
1890,NA,-41.33,-34.58
1889,NA,-39.2,-29.2
1888,NA,-41.16,-31.76
1887,NA,-40.5,-35.53
1886,NA,-35.78,-35.06
1885,NA,-35.32,-29.7
1884,NA,-36.6,-31.05
1883,NA,-38.03,-33.03
1882,NA,-36.62,-34.76
1881,NA,-37.68,-31.07
1880,NA,-38.14,-32.35
1879,NA,-33.63,-33.96
1878,NA,-38.17,-32.82
1877,NA,-36.73,-35.56
1876,NA,-36.44,-31.98
1875,NA,-38.39,-32.72
1874,NA,-39.15,-32.36
1873,NA,-37.42,-32.21
1872,NA,-37.04,-33.8
1871,NA,-37.7,-31.11
1870,NA,-41.67,-30.39
1869,NA,-41.56,-35.51
1868,NA,-36.83,-31.06
1867,NA,-37.21,-30.23
1866,NA,-41.59,-33.87
1865,NA,-38.81,-32.34
1864,NA,-39.22,-31.57
1863,NA,-37.14,-34.25
1862,NA,-38.32,-32.32
1861,NA,-38.18,-31.41
1860,NA,-40.71,-30.75
1859,NA,-39.78,-32.55
1858,NA,-38.2,-29.59
1857,NA,-39.8,-29.98
1856,NA,-39.11,-30.15
1855,NA,-38.4,-31.51
1854,NA,-40.59,-32.27
1853,NA,-36.26,-31.18
1852,NA,-36.83,-29.76
1851,NA,-37.37,-32.49
1850,NA,-37.04,-33.8
1849,NA,-39.01,-36.5
1848,NA,-38.28,-33.93
1847,NA,-41.08,-28.45
1846,NA,-38.23,-31.35
1845,NA,-36.64,-30.99
1844,NA,-38.68,-33.34
1843,NA,-36.17,-34.82
1842,NA,-36.7,-35.52
1841,NA,-38.5,-30.2
1840,NA,-40.41,-30.58
1839,NA,-40.97,-36.03
1838,NA,-39.42,-33.74
1837,NA,-41.39,-30.88
1836,NA,-38.82,-32.62
1835,NA,-42.49,-32.78
1834,NA,-41.03,-32.17
1833,NA,-41.38,-28.83
1832,NA,-36.68,-33.83
1831,NA,-37.12,-30.27
1830,NA,-36.23,-34.22
1829,NA,-35.99,-36.31
1828,NA,-35.32,-32.59
1827,NA,-39.49,-32.51
1826,NA,-43.61,-30.31
1825,NA,-42.23,-31.56
1824,NA,-39.16,-34.58
1823,NA,-37.16,-33.42
1822,NA,-35.87,-31.81
1821,NA,-38.69,-35.81
1820,NA,-41.95,-30.46
1819,NA,-40.69,-30.16
1818,NA,-37.13,-32.22
1817,NA,-40.9,-30.49
1816,NA,-38.64,-31.69
1815,NA,-39.12,-31.23
1814,NA,-43.26,-29.51
1813,NA,-38.08,-31.87
1812,NA,-37.05,-32.99
1811,NA,-34.75,-30.44
1810,NA,-36.82,-31.47
1809,NA,-36.81,-30.46
1808,NA,-35.32,-30.65
1807,NA,-36.75,-35.38
1806,NA,-36.56,-35.76
1805,NA,-36.46,-31.38
1804,NA,-37.77,-33.23
1803,NA,-38.12,-34.27
1802,NA,-39.67,-38.81
1801,NA,-38.69,-33.79
1800,NA,-36.39,-31.26
1799,NA,-36.94,-35.16
1798,NA,-37.96,-35.45
1797,NA,-39.73,-32.18
1796,NA,-39.13,-33.22
1795,NA,-37.35,-35.15
1794,NA,-39.45,-32.31
1793,NA,-35.97,-34.43
1792,NA,-34.27,-33.33
1791,NA,-39.22,-31.92
1790,NA,-38.31,-35.47
1789,NA,-35.89,-34.69
1788,NA,-36.93,-31.63
1787,NA,-37.2,-33.29
1786,NA,-36.81,-30.39
1785,NA,-36.49,-31.41
1784,NA,-36.52,-32.96
1783,NA,-39.12,-35.89
1782,NA,-35.68,-34.78
1781,NA,-38.84,-33.41
1780,NA,-35.23,-33.3
1779,NA,-39.04,-32.91
1778,NA,-38.78,-38.87
