year (AD),depth (cm),d18O (permil),d18O (permil),d18O (permil),d18O (permil),core (unitless)
2000,0,0.86,0.87,NA,0.31,POS287_06-1B
1997,0.01,0.88,0.88,NA,0.51,POS287_06-1B
1994,0.02,0.78,0.87,NA,0.62,POS287_06-1B
1991,0.03,0.85,0.95,NA,-0.33,POS287_06-1B
1988,0.04,0.74,0.91,NA,0.57,POS287_06-1B
1985,0.05,0.88,0.91,NA,0.5,POS287_06-1B
1982,0.06,0.75,1.07,NA,0.54,POS287_06-1B
1979,0.07,0.84,1.09,NA,0.59,POS287_06-1B
1976,0.08,NA,0.97,0.86,0.6,POS287_06-1B
1973,0.09,NA,0.77,0.86,0.56,POS287_06-1B
1971,0.1,NA,0.95,0.77,0.38,POS287_06-1B
1968,0.11,NA,0.81,0.85,0.62,POS287_06-1B
1965,0.12,NA,1.03,0.87,0.59,POS287_06-1B
1962,0.13,NA,1.02,0.64,0.56,POS287_06-1B
1959,0.14,NA,1.11,0.95,0.53,POS287_06-1B
1956,0.15,NA,0.97,0.75,0.66,POS287_06-1B
1953,0.16,NA,0.73,0.79,0.69,POS287_06-1B
1950,0.17,NA,0.96,0.9,0.74,POS287_06-1B
2000,0,NA,1.22,NA,0.68,POS287_06-3G
1991,0.05,NA,0.92,1.04,0.73,POS287_06-3G
1991,0.05,NA,0.95,NA,NA,POS287_06-3G
1981,0.1,NA,0.99,1.01,0.65,POS287_06-3G
1972,0.15,NA,1.25,0.99,0.7,POS287_06-3G
1963,0.2,NA,1.1,1.08,0.51,POS287_06-3G
1954,0.25,NA,1.03,1.49,0.46,POS287_06-3G
1944,0.3,NA,1.09,1.83,0.4,POS287_06-3G
1935,0.35,NA,0.98,1.35,0.46,POS287_06-3G
1933,0.36,NA,NA,NA,0.4,POS287_06-3G
1926,0.4,NA,0.91,1.19,0.49,POS287_06-3G
1917,0.45,NA,0.91,NA,0.5,POS287_06-3G
1916,0.45,NA,NA,1.64,NA,POS287_06-3G
1907,0.5,NA,0.92,1.62,0.45,POS287_06-3G
1898,0.55,NA,1.08,1.56,0.52,POS287_06-3G
1889,0.6,NA,1.11,1.41,0.58,POS287_06-3G
1880,0.65,NA,0.91,NA,0.54,POS287_06-3G
1879,0.65,NA,NA,0.92,NA,POS287_06-3G
1870,0.7,NA,0.75,1.25,0.65,POS287_06-3G
1861,0.75,NA,0.75,1.08,0.44,POS287_06-3G
1856,0.78,NA,1.05,NA,0.35,POS287_06-3G
1855,0.78,NA,NA,0.71,NA,POS287_06-3G
1852,0.8,NA,0.23,0.9,0.66,POS287_06-3G
1850,0.81,NA,1.1,0.74,0.72,POS287_06-3G
1843,0.85,NA,0.97,NA,0.77,POS287_06-3G
1842,0.85,NA,NA,0.92,NA,POS287_06-3G
1833,0.9,NA,0.97,1.55,0.71,POS287_06-3G
1824,0.95,NA,0.89,1.11,0.45,POS287_06-3G
1815,1,NA,0.91,0.72,0.65,POS287_06-3G
1813,1.01,NA,0.94,0.72,0.63,POS287_06-3G
1812,1.05,NA,1.07,NA,NA,POS287_06-3G
1806,1.05,NA,NA,1.13,NA,POS287_06-3G
1796,1.1,NA,0.86,0.7,0.44,POS287_06-3G
1794,1.11,NA,0.89,0.7,0.68,POS287_06-3G
1787,1.15,NA,1.05,1.39,0.57,POS287_06-3G
1778,1.2,NA,NA,0.92,0.59,POS287_06-3G
1776,1.21,NA,NA,NA,0.25,POS287_06-3G
1769,1.25,NA,NA,NA,0.62,POS287_06-3G
1768,1.25,NA,NA,0.78,NA,POS287_06-3G
1759,1.3,NA,0.43,0.51,NA,POS287_06-3G
1757,1.31,NA,1.12,1.26,0.54,POS287_06-3G
1750,1.35,NA,NA,0.89,0.84,POS287_06-3G
1748,1.36,NA,NA,0.73,0.43,POS287_06-3G
1746,1.37,NA,0.74,0.64,NA,POS287_06-3G
1731,1.45,NA,0.83,0.83,0.9,POS287_06-3G
1722,1.5,NA,NA,0.85,0.63,POS287_06-3G
1720,1.51,NA,0.99,0.63,1.08,POS287_06-3G
1713,1.55,NA,1.05,0.9,0.84,POS287_06-3G
1704,1.6,NA,1.06,0.81,0.63,POS287_06-3G
1694,1.65,NA,0.89,0.56,0.76,POS287_06-3G
1685,1.7,NA,0.97,0.83,NA,POS287_06-3G
1676,1.75,NA,0.99,0.73,0.31,POS287_06-3G
1667,1.8,NA,0.91,NA,0.74,POS287_06-3G
1666,1.8,NA,NA,0.83,NA,POS287_06-3G
1665,1.81,NA,1,0.74,0.63,POS287_06-3G
1657,1.85,NA,NA,0.55,0.85,POS287_06-3G
1656,1.86,NA,0.84,NA,0.68,POS287_06-3G
1655,1.86,NA,NA,0.58,NA,POS287_06-3G
1654,1.87,NA,0.35,0.61,0.13,POS287_06-3G
