year (AD),dD (permil)
1987,-206.967040265948
1986,-215.459100283116
1985,-205.613680019348
1984,-210.401612775906
1983,-198.018731854135
1982,-222.551473392348
1981,-215.076349791637
1980,-216.694651693932
1979,-218.51478503272
1978,-207.421287623422
1977,-223.25159866973
1976,-234.989123420364
1975,-221.46265710081
1974,-219.49868608232
1973,-232.712555746478
1972,-223.011360184136
1971,-220.500036187855
1970,-228.457980314689
1969,-219.791311249735
1968,-212.652415465309
1967,-200.559213161981
1966,-211.27937580985
1965,-224.821179605417
1964,-222.095197693468
1963,-222.317441690816
1962,-217.398600817705
1961,-215.761925523302
1960,-223.386146454074
1959,-223.169082073341
1958,-229.425119754274
1957,-224.564918670857
1956,-217.63617953706
1955,-212.282406065191
1954,-218.32313320408
1953,-226.657955187913
1952,-222.564692546252
1951,-214.581204676698
1950,-213.584959610298
1949,-210.971061842474
1948,-223.875506847144
1947,-206.603880683577
1946,-227.444983679895
1945,-217.900562410914
1944,-220.377475691008
1943,-215.952902849635
1942,-220.583065402506
1941,-219.974664454432
1940,-218.188339817696
1939,-221.165808128173
1938,-224.124126697601
1937,-241.468687153536
1936,-244.834244907837
1935,-230.089991889354
1934,-230.400999228637
1933,-226.626199528871
1932,-228.612382014993
1931,-225.484011511216
1930,-212.766932181647
1929,-219.09187529425
1928,-231.455029749704
1927,-215.61003155445
1926,-221.939778485105
1925,-220.560882647868
1924,-222.331739230255
1923,-206.19735053517
1922,-221.086663903696
1921,-218.72839923835
1920,-215.797551732245
1919,-237.225178150122
1918,-240.149546492096
1917,-242.993035724005
1916,-226.283224109429
1915,-220.52601933286
1914,-232.525972984244
1913,-218.817120452654
1912,-220.840103686299
1911,-222.717649931307
1910,-235.38350056259
1909,-242.198218737133
1908,-221.509425263656
1907,-229.742726641435
1906,-233.614560099977
1905,-229.868930245305
1904,-224.732416272037
1903,-225.265921493526
1902,-229.234533654519
1901,-221.612631825102
1900,-223.97135724895
1899,-226.980045883763
1898,-245.637227393012
1897,-229.923921664557
1896,-223.168953707535
1895,-207.392343468403
1894,-220.137621207821
1893,NA
1892,-225.502124006065
1891,-240.055650774882
1890,-235.89186870083
1889,-216.372474146465
1888,-220.654498544773
1887,-226.443670636766
1886,-223.503324807841
1885,-225.782502958898
1884,-222.602942603322
1883,-230.48912874975
1882,-223.47882650957
1881,-235.599527865988
1880,-224.990344726367
1879,-205.466374364762
1878,-216.463173914619
1877,-214.034121848841
1876,-234.37615838409
1875,-235.379540768303
1874,-221.34469665292
1873,-227.347330964744
1872,-220.782075945546
1871,-205.369962470656
1870,-213.964115515988
1869,-216.808285057516
1868,-210.569312777402
1867,-219.9030543561
1866,-228.374230419296
1865,-220.15179437371
1864,-217.314692103454
1863,-215.137904014517
1862,-186.992931735369
1861,-202.506676832743
1860,-209.613923572943
1859,-210.209973427274
1858,-223.396544913324
1857,-211.817570267729
1856,-211.479941932167
1855,-214.812045008384
1854,-223.713094374957
1853,-217.788055150797
1852,-224.753139771881
1851,-228.653647980391
1850,-226.533301387803
1849,-229.483133102316
1848,-230.216193654571
1847,-226.487930491623
1846,-213.440890374136
1845,-221.033854299227
1844,-219.584870130763
1843,-219.74565954973
1842,-244.01987182420999
1841,-244.271547462995
1840,-237.930024109472
1839,-230.124258483177
1838,-210.614982707208
1837,-215.565786324053
1836,-219.591596282518
1835,-219.752658795952
1834,-222.739429040817
1833,-221.584176910857
1832,-216.52894042664
1831,-212.248719566179
1830,-218.540285958367
1829,-221.688324628833
1828,-219.732569112877
1827,-220.002410528583
1826,-205.102500017005
1825,-224.168597598034
1824,-218.76720029824
1823,-222.066121623456
1822,-236.419010433341
1821,-228.647365466969
1820,-204.004921166776
1819,-203.975528550861
1818,-216.383191314564
1817,-227.984650355233
1816,-237.997266712045
1815,-225.800626215488
1814,-219.619188844154
1813,-226.192341008222
1812,-226.774391771976
1811,-225.017115144851
1810,-223.565478261799
1809,-228.344291313879
1808,-228.823119497616
1807,-225.710658444363
1806,-237.684363525737
1805,-228.950196480755
1804,-231.939169718851
1803,-229.261719128149
1802,-215.615046495743
1801,-222.132075917153
1800,-222.658403670559
1799,-212.775056731215
1798,-215.236245581857
1797,-221.663686054872
1796,-232.900665222279
1795,-217.270992587618
1794,-227.812763368761
1793,-232.578358497911
1792,-225.939206526361
1791,-222.879279559457
1790,-233.188183675411
1789,-227.34082998763
1788,-228.885206848856
1787,-232.664567804774
1786,-226.161183407824
1785,-223.175079366837
1784,-221.771884707274
1783,-221.271336251504
1782,-222.97606555878
1781,-234.757125241029
1780,-237.011883699697
1779,-230.54823565206
1778,-223.471251681933
1777,-220.016789988168
1776,-227.731180534082
1775,-221.959432194243
1774,-237.948165387544
1773,-228.869961572581
1772,-234.392578665478
1771,-223.701718354013
1770,-227.036513440344
1769,-231.076451084817
1768,-230.975377422178
1767,-225.446112946188
1766,-216.227119176291
1765,-219.300447375562
1764,-220.870885480915
1763,-219.022896575478
1762,-223.109095533962
1761,-235.005266655922
1760,-229.381446063888
1759,-217.905809015807
1758,-220.654749260876
1757,-227.124330470491
