year (AD) [1-1],d18O (permil) [1-1],year (AD) [1-2],d18O (permil) [1-2],year (AD) [1-3],d18O (permil) [1-3],year (AD) [1-4],d18O (permil) [1-4],year (AD) [1-5],d18O (permil) [1-5],year (AD) [1-6],d18O (permil) [1-6],year (AD) [1-7],d18O (permil) [1-7],year (AD) [1-8],d18O (permil) [1-8],year (AD) [1-9],d18O (permil) [1-9],year (AD) [1-10],d18O (permil) [1-10],year (AD) [1-11],d18O (permil) [1-11],year (AD) [1-12],depth (cm) [1-12],d18O (permil) [1-12]
1998.37,-5.27,928.08,-4.68,1149.08,-4.631,1317.17,-4.79,1398.68,-4.86,1405.1569,-4.61,1411.9262,-4.64,1326.65,-4.865,1635.02,-4.63,1653.63,-5.14,1664.96,-4.98,1886.08,NA,-5.23
1998.29,-5.42,928.175,-4.62,1149.2225,-4.724,1317.29,-4.73,1398.747167,-4.9,1405.280175,-4.64,1412.0046,-4.64,1326.75825,-4.765,1635.083,-4.55,1653.65,-5.13,1665.0215,-4.8,1886.19,NA,-5.3
1998.2,-5.49,928.27,-4.65,1149.365,-4.709,1317.41,-4.66,1398.814333,-5,1405.40345,-4.7,1412.083,-4.62,1326.8665,-4.805,1635.146,-4.65,1653.686083,-5.13,1665.083,-4.68,1886.31,NA,-5.42
1998.13,-5.5,928.365,-4.56,1149.5075,-4.707,1317.53,-4.66,1398.8815,-4.92,1405.526725,-4.77,1412.1775,-4.62,1326.97475,-4.665,1635.209,-4.59,1653.722167,-5.16,1665.164,-4.74,1886.42,NA,-5.42
1998.04,-5.44,928.46,-4.58,1149.65,-4.912,1317.65,-4.78,1398.948667,-4.91,1405.65,-4.86,1412.272,-4.68,1327.083,-4.595,1635.272,-4.74,1653.75825,-5.28,1665.245,-4.7,1886.54,NA,-5.57
1997.96,-5.48,928.555,-4.42,1149.722167,-4.83,1317.722167,-4.69,1399.015833,-4.85,1405.704125,-4.85,1412.3665,-4.77,1327.1775,-4.735,1635.335,-4.79,1653.794333,-4.99,1665.326,-4.74,1886.65,NA,-5.48
1997.88,-5.52,928.65,-4.59,1149.794333,-4.778,1317.794333,-4.7,1399.083,-4.74,1405.75825,-4.82,1412.461,-4.78,1327.272,-4.815,1635.398,-4.9,1653.830417,-4.73,1665.407,-4.84,1886.7,NA,-5.41
1997.79,-5.71,928.75825,-4.56,1149.8665,-4.835,1317.8665,-4.85,1399.164,-4.81,1405.812375,-4.81,1412.5555,-4.78,1327.3665,-4.675,1635.461,-4.88,1653.8665,-4.63,1665.488,-4.83,1886.76,NA,-5.5
1997.71,-5.75,928.8665,-4.41,1149.938667,-4.714,1317.938667,-4.84,1399.245,-4.9,1405.8665,-4.74,1412.65,-4.89,1327.461,-4.655,1635.524,-4.82,1653.902583,-4.94,1665.569,-4.82,1886.81,NA,-5.47
1997.62,-5.65,928.97475,-4.57,1150.010833,-4.565,1318.010833,-4.81,1399.326,-5.1,1405.920625,-4.67,1412.711857,-4.89,1327.5555,-4.745,1635.587,-5.01,1653.938667,-4.76,1665.65,-4.9,1886.87,NA,-5.48
1997.54,-5.54,929.083,-4.41,1150.083,-4.561,1318.083,-4.59,1399.407,-4.93,1405.97475,-4.48,1412.773714,-4.88,1327.65,-4.865,1635.65,-5.04,1653.97475,-4.63,1665.698111,-4.81,1886.92,NA,-5.7
1997.46,-5.44,929.1775,-4.45,1150.146,-4.635,1318.153875,-4.76,1399.488,-5.02,1406.028875,-4.46,1412.835571,-4.79,1327.794333,-4.845,1635.704125,-4.96,1654.010833,-4.6,1665.746222,-4.82,1886.97,NA,-5.71
1997.37,-5.42,929.272,-4.67,1150.209,-4.749,1318.22475,-4.69,1399.569,-4.96,1406.083,-4.35,1412.897429,-4.85,1327.938667,-5.005,1635.75825,-4.9,1654.046917,-4.53,1665.794333,-4.83,1887.03,NA,-5.75
1997.29,-5.31,929.3665,-4.61,1150.272,-4.725,1318.295625,-4.78,1399.65,-5.03,1406.1964,-4.4,1412.959286,-4.93,1328.083,-4.885,1635.812375,-4.76,1654.083,-4.43,1665.842444,-4.78,1887.08,NA,-5.7
