year (AD),depth (cm),d18O (permil)
1553,2,-1.272
1462,6,-1.263
1370,10,-1.033
1278,14,-1.033
1187,18,-0.406
1095,22,-0.059
1003,26,-1.916
912,30,-3.789
820,34,-2.648
728,38,-1.257
637,42,-2.027
545,46,-2.166
453,50,0.298
348,54,-1.029
229,58,-1.156
110,62,-1.538
-10,66,-2.587
-129,70,-1.3
-385,74,-1.516
-545,78,-3.313
-565,82,-7.751
-687,86,-9.109
-809,90,-2.08
-932,94,-4.512
-1054,98,-2.167
-1176,102,-1.756
-1298,106,-2.708
-1420,110,-1.588
-1542,114,-1.284
-1665,118,-2.79
-1787,122,-2.98
-1909,126,-3.461
-2031,130,-3.696
-2153,134,-5.398
-2276,138,-5.947
-2420,142,-2.519
-2718,146,-0.308
-3017,150,-1.358
-3315,154,-0.056
-3613,158,-2.181
-3912,162,-2.268
-4210,166,-1.249
-4315,170,-0.842
-4420,174,-2.217
-4525,178,-3.93
-4630,182,-4.302
-4735,186,-3.386
-4840,190,-6.224
-4945,194,-5.916
-5050,198,-4.52
-5155,202,-6.417
-5260,206,-5.154
-5365,210,-7.245
-5547,218,-6.388
-5657,223,-5.697
-5766,229,-6.081
-5864,234,-6.273
-5920,240,-4.991
-5976,245,-7.859
-6032,251,-6.803
-6087,257,-5.271
-6143,262,-5.355
-6199,268,-6.92
-6255,273,-7.781
-6311,279,-7.405
-6366,284,-7.3
-6422,290,-6.2
-6475,295,-6.013
-6529,301,-6.338
-6583,306,-8.276
-6636,311,-7.528
-6690,317,-8.081
-6744,322,-7.528
