year (AD),Sample ID (unitless),d18O (per mil),Sr/Ca (mmol/mol),d18Osw (per mil)
2010.58,1,-4.85,8.86,0
2010.42,2,-4.89,8.82,0.1
2010.25,3,-4.94,8.81,0.11
2010.08,4,-4.98,8.78,0.15
2009.92,5,-4.86,8.86,-0.02
2009.75,6,-4.73,8.96,-0.26
2009.5,7,-4.95,8.9,-0.26
2009.25,8,-4.97,8.83,-0.02
2009,9,-5.03,8.78,0.1
2008.79,10,NA,8.83,NA
2008.58,11,-4.69,8.84,0.23
2008.38,12,-4.78,8.86,0.08
2008.17,13,-5.12,8.79,-0.01
2008.03,14,-4.97,8.8,0.09
2007.89,15,-4.71,8.9,-0.01
2007.75,16,-4.6,9,-0.26
2007.56,17,-4.56,8.92,0.08
2007.36,18,-4.72,8.82,0.28
2007.17,19,-4.83,8.74,0.45
2007,20,-4.85,8.78,0.29
2006.83,21,-4.96,8.82,0.03
2006.67,22,-4.44,8.85,0.46
2006.5,23,-4.72,8.87,0.1
2006.33,24,-4.89,8.75,0.37
2006.17,25,-4.97,8.75,0.29
2005.99,26,-4.8,8.74,0.47
2005.81,27,-4.55,8.81,0.48
2005.63,28,-4.7,8.83,0.27
2005.44,29,-4.7,8.82,0.29
2005.26,30,-4.83,8.76,0.37
2005.08,31,-4.91,8.72,0.46
2004.93,32,-4.98,8.74,0.29
2004.77,33,-5.02,8.78,0.13
2004.62,34,-4.76,8.82,0.22
2004.46,35,-4.73,8.83,0.24
2004.31,36,-4.78,8.78,0.36
2004.15,37,-4.98,8.73,0.36
2004,38,-5.01,8.69,0.46
2003.94,39,-4.98,8.72,0.38
2003.88,40,-5.02,8.71,0.38
2003.81,41,-4.73,8.83,0.24
2003.75,42,-4.64,8.83,0.33
2003.63,43,-4.72,8.79,0.38
2003.5,44,-5,8.77,0.16
2003.38,45,-5.2,8.72,0.17
2003.25,46,-5.14,8.66,0.46
2003.05,47,-4.66,8.88,0.12
2002.85,48,-4.89,8.83,0.06
2002.65,49,-4.95,8.85,-0.05
2002.45,50,-4.96,8.74,0.33
2002.25,51,-4.87,8.75,0.37
2002.1,52,-5.02,8.77,0.13
2001.94,53,-4.97,8.77,0.23
2001.79,54,-4.67,8.81,0.36
2001.63,55,-4.57,8.79,0.54
2001.48,56,-4.96,8.81,0.05
2001.32,57,-4.92,8.76,0.31
2001.17,58,-5.2,8.76,0.01
2001,59,-4.86,8.78,0.28
2000.83,60,-4.87,8.89,-0.16
2000.67,61,-4.77,8.88,-0.01
2000.5,62,-4.84,8.79,0.27
2000.33,63,-4.99,8.79,0.13
2000.17,64,-4.9,8.78,0.24
2000.01,65,-4.81,8.78,0.32
1999.86,66,-4.8,8.78,0.33
1999.71,67,-4.8,8.8,0.26
1999.56,68,-4.68,8.85,0.22
1999.4,69,-4.86,8.8,0.21
1999.25,70,-5,8.68,0.52
1999.07,71,-4.78,8.75,0.48
1998.89,72,-4.49,8.82,0.51
1998.71,73,-4.53,8.86,0.33
1998.53,74,-4.55,8.83,0.4
1998.35,75,-4.84,8.77,0.32
1998.17,76,-4.85,8.76,0.38
1998.04,77,-4.9,8.75,0.33
1997.9,78,-4.89,8.81,0.15
1997.77,79,-4.77,8.8,0.31
1997.64,80,-4.78,8.77,0.39
1997.51,81,-4.66,8.76,0.57
1997.38,82,-4.76,8.76,0.46
1997.25,83,-4.85,8.73,0.48
1997,84,-5,8.74,0.27
1996.75,85,-4.77,8.92,-0.14
1996.5,86,-4.64,8.8,0.44
1996.25,87,-4.83,8.74,0.47
1996.13,88,-4.84,8.8,0.21
1996.02,89,-4.57,8.8,0.51
1995.9,90,-4.5,8.84,0.4
1995.78,91,-4.53,8.89,0.2
1995.67,92,-4.58,8.89,0.17
1995.57,93,-4.58,8.88,0.18
1995.47,94,-4.48,8.88,0.3
1995.37,95,-4.76,8.82,0.23
1995.27,96,-4.81,8.79,0.3
1995.17,97,-4.78,8.78,0.35
1995.02,98,-4.77,8.8,0.3
1994.88,99,-4.66,8.8,0.42
1994.74,100,-4.72,8.8,0.35
1994.6,101,-4.74,8.83,0.21
1994.45,102,-4.7,8.82,0.3
1994.31,103,-4.81,8.74,0.49
1994.17,104,-4.88,8.73,0.44
1994.04,105,-4.7,8.78,0.43
1993.9,106,-4.46,8.83,0.5
1993.77,107,-4.58,8.85,0.31
1993.64,108,-4.27,8.81,0.74
1993.51,109,-4.96,8.75,0.27
1993.38,110,-5,8.74,0.28
1993.25,111,-5.11,8.71,0.29
1993.14,112,-4.67,8.78,0.47
1993.03,113,-4.62,8.81,0.42
1992.93,114,-4.56,8.81,0.47
1992.82,115,-4.93,8.82,0.05
1992.71,116,-4.78,8.81,0.26
1992.6,117,-4.62,8.86,0.22
1992.49,118,-4.5,8.89,0.25
1992.38,119,-4.33,8.94,0.24
1992.28,120,-4.55,8.83,0.41
1992.17,121,-4.66,8.83,0.31
1992,122,-4.7,8.84,0.23
1991.83,123,-4.48,8.87,0.32
1991.67,124,-4.84,8.84,0.1
1991.5,125,NA,8.83,NA
1991.33,126,NA,8.83,NA
1991.17,127,-4.81,8.81,0.23
1991.04,128,NA,8.84,NA
1990.92,129,NA,8.82,NA
1990.79,130,NA,8.86,NA
1990.67,131,-4.7,8.85,0.19
1990.54,132,-4.39,8.89,0.35
1990.42,133,-4.66,8.84,0.27
1990.29,134,-4.78,8.79,0.32
1990.17,135,-4.88,8.75,0.36
1990,136,-4.72,8.79,0.39
1989.83,137,-4.8,8.87,0.01
1989.67,138,-4.55,8.86,0.28
1989.5,139,-4.48,8.86,0.38
1989.33,140,-4.69,8.8,0.39
1989.17,141,-4.81,8.81,0.21
1989.09,142,-4.92,8.8,0.16
1989.01,143,-4.77,8.79,0.35
1988.94,144,NA,8.87,NA
1988.86,145,-4.49,8.9,0.21
1988.78,146,-4.51,8.91,0.15
1988.71,147,-4.48,8.91,0.19
1988.63,148,-4.43,8.92,0.18
1988.56,149,-4.35,8.95,0.16
1988.48,150,-4.59,8.92,0.03
1988.4,151,-4.52,8.91,0.15
1988.33,152,-4.71,8.86,0.13
1988.25,153,-4.85,8.77,0.32
1988.13,154,-4.8,8.83,0.17
1988.01,155,-4.48,8.9,0.2
1987.89,156,-4.64,8.9,0.06
1987.77,157,-4.48,8.91,0.17
1987.65,158,-4.54,8.94,0.02
1987.53,159,-4.54,8.93,0.04
1987.41,160,-4.75,8.86,0.11
1987.29,161,-4.64,8.85,0.24
1987.17,162,-4.59,8.86,0.27
1987.08,163,-4.75,8.85,0.14
1986.98,164,-4.6,8.85,0.29
1986.89,165,-4.53,8.9,0.18
1986.8,166,-4.62,8.9,0.08
1986.71,167,-4.67,8.87,0.16
1986.62,168,-4.66,8.88,0.13
1986.53,169,-4.75,8.92,-0.13
1986.44,170,NA,8.93,NA
1986.35,171,-4.79,8.89,-0.07
1986.26,172,-4.77,8.88,0
1986.17,173,-4.89,8.83,0.07
