year (AD),depth (cm),d18O (permil)
NA,0,-5.24
NA,1.6,-5.46
NA,3.2,-5.26
NA,4.8,-5.55
NA,6.4,-5.47
NA,8,-5.49
NA,9.6,-5.37
NA,11.2,-5.44
NA,12.8,-5.24
NA,14.4,NA
NA,16,-5.04
NA,17.6,-5.19
NA,19.2,-5.01
NA,20.8,-5.26
NA,22.4,-5.3
NA,24,-5.48
NA,25.6,-5.61
NA,27.2,-5.42
NA,28.8,-5.65
NA,30.4,-5.63
NA,32,-5.43
NA,33.6,-5.54
NA,35.2,-5.54
NA,36.8,-5.37
NA,38.4,-5.37
NA,40,-5.68
NA,41.6,-5.33
NA,43.2,-5.44
NA,44.8,-5.71
NA,46.4,-5.73
NA,48,-5.63
NA,49.6,-5.45
NA,51.2,-5.46
NA,52.8,-5.27
NA,54.4,-5.22
NA,56,-5.34
NA,57.6,-5.3
NA,59.2,-5.62
NA,60.8,-5.58
NA,62.4,-5.65
NA,64,-5.52
NA,65.6,-5.51
NA,67.2,-5.37
NA,68.8,-5.56
NA,70.4,-5.46
NA,72,-5.42
NA,73.6,-5.17
NA,75.2,-5.34
NA,76.8,-5.35
NA,78.4,-5.63
NA,80,-5.56
NA,81.6,-5.6
NA,83.2,-5.64
NA,84.8,NA
NA,86.4,-5.61
NA,88,-5.43
NA,89.6,-5.39
NA,91.2,-5.33
NA,92.8,-5.31
NA,94.4,-5.37
NA,96,-5.78
NA,97.6,-5.68
NA,99.2,-5.88
NA,100.8,-5.6
NA,102.4,-5.89
NA,104,-5.55
NA,105.6,-5.68
NA,107.2,NA
NA,108.8,-5.31
NA,110.4,-5.26
NA,112,-5.27
NA,115.2,-5.53
NA,118.4,-5.66
NA,121.6,-5.2
NA,124.8,-5.13
NA,128,-5.13
NA,131.2,-5.63
NA,134.4,-5.8
NA,137.6,-5.65
NA,140.8,-5.73
NA,144,-5.58
NA,147.2,-5.24
NA,150.4,-5.55
NA,153.6,-5.8
NA,156.8,-5.47
NA,160,-5.46
NA,163.2,-5.29
NA,166.4,-5.37
NA,169.6,-5.76
NA,172.8,-5.6
NA,176,-5.56
NA,179.2,-5.3
NA,181.6,-5.65
NA,184.8,-5.54
NA,188,-5.47
NA,191.2,-5.33
NA,194.4,-5.61
NA,197.6,-5.53
NA,200.8,-5.31
NA,204,-5.34
NA,207.2,-5.43
NA,210.4,-5.18
NA,213.6,-5.73
NA,216.8,-5.68
NA,220,-5.71
NA,223.2,-5.55
NA,226.4,-5.25
NA,229.6,-5.31
NA,232.8,-5.62
NA,236,-5.83
NA,239.2,-5.62
NA,242.4,-5.3
NA,245.6,-5.36
NA,248.8,-5.2
NA,252,-5.33
NA,255.2,-5.62
NA,258.4,-5.54
NA,261.6,-5.36
NA,264.8,-5.2
NA,268,-5.34
NA,271.2,-5.39
NA,274.4,-5.1
NA,277.6,NA
NA,280.8,-5.08
NA,284,-5.65
NA,287.2,-5.43
NA,290.4,-5.5
NA,293.6,-5.57
NA,296.8,-5.44
NA,300,-5.09
NA,303.2,-4.93
NA,306.4,-4.99
NA,309.6,-5.42
NA,312.8,-5.51
NA,316,-5.72
NA,319.2,-5.55
NA,322.4,-5.4
NA,325.6,-5.61
NA,328.8,-5.69
NA,332,NA
NA,335.2,-5.41
NA,338.4,-5.47
NA,341.6,-5.42
NA,344.8,-5.45
NA,348,-5.65
NA,351.2,-5.75
NA,354.4,-5.69
NA,357.6,-5.82
NA,360.8,-5.03
NA,364,-5.07
NA,367.2,-5.64
NA,370.4,-5.32
NA,373.6,-5.68
NA,376.8,-5.12
NA,380,-4.98
NA,383.2,-5.1
NA,386.4,-5.58
NA,389.6,-5.64
NA,392.8,-5.41
NA,396,-5.45
NA,399.2,-5.42
NA,402.4,-5.56
NA,405.6,-5.45
NA,408.8,-5.5
NA,412,-5.42
NA,415.2,-5.16
NA,418.4,-4.83
NA,421.6,-5.54
NA,424.8,-5.53
NA,428,-5.9
NA,431.2,-5.66
NA,434.4,-5.19
NA,437.6,-5
NA,440.8,-5.38
NA,444,-5.45
NA,447.2,-5.25
NA,450.4,-5.02
NA,453.6,-4.96
NA,456.8,-5.21
NA,460,-5.55
NA,463.2,-5.39
NA,466.4,-5.43
NA,469.6,-5.36
NA,472.8,-5.23
NA,476,-5.24
NA,479.2,-5.17
NA,482.4,-5.17
NA,485.6,-5.04
NA,488.8,-5.11
NA,492,-5.1
NA,495.2,-5.41
NA,498.4,-5.42
NA,501.6,-5.35
NA,504.8,-5.39
NA,508,-5.56
NA,511.2,-5.62
NA,514.4,-5.32
NA,517.6,-5.29
NA,520.8,-5.61
NA,524,-5.68
NA,527.2,NA
NA,530.4,-5.49
NA,533.6,-5.37
NA,536.8,-5.39
NA,540,-5.65
NA,543.2,-5.6
NA,546.4,-5.51
NA,549.6,-5.32
NA,552.8,-5.36
NA,556,-5.21
NA,559.2,-5.36
NA,562.4,-5.71
NA,565.6,NA
NA,568.8,-5.69
NA,572,-5.48
NA,575.2,-5.27
NA,578.4,-5.32
NA,581.6,-5.6
NA,584.8,-5.51
NA,588,-5.62
NA,591.2,-5.3
NA,594.4,-5.12
NA,597.6,-5.15
NA,600.8,-5.79
NA,604,-5.61
NA,607.2,-5.61
NA,610.4,-5.49
NA,613.6,-5.29
NA,616.8,-5.82
NA,620,-5.56
NA,623.2,-5.63
NA,623.2,-5.34
NA,626.4,NA
NA,629.6,-5.59
NA,632.8,-5.63
NA,636,-5.49
NA,639.2,NA
NA,642.4,-5.18
NA,645.6,-5.34
NA,648.8,-5.54
NA,652,-5.46
NA,655.2,-5.28
NA,658.4,-5.13
NA,661.6,-5.24
NA,677.6,-5.42
NA,680.8,-5.16
NA,684,-5.34
NA,687.2,-5.6
NA,690.4,-5.59
NA,693.6,-5.49
NA,696.8,-5.51
NA,700,-5.31
NA,703.2,-5.38
NA,706.4,-5.71
NA,709.6,-5.65
NA,712.8,-5.82
NA,716,-5.35
NA,719.2,NA
NA,722.4,NA
NA,725.6,-5.42
NA,728.8,-5.57
NA,732,-5.64
NA,735.2,-5.63
NA,738.4,-5.51
NA,741.6,-5.39
NA,744.8,-5.41
NA,748,-5.25
NA,751.2,-5.23
NA,754.4,-5.03
NA,757.6,-5.23
NA,760.8,-5.13
NA,764,NA
NA,767.2,NA
NA,770.4,NA
NA,773.6,NA
NA,776.8,NA
NA,780,NA
NA,783.2,-5.22
