year (AD),depth (cm),dD (permil),dD (permil),dD (permil),dD (permil)
1950,0,−121,−131,−121,−127
1652,50,−121,−130,−121,−125
1191,100,−123,−138,−123,−127
926,120,−125,−140,−125,−135
793,130,NA,NA,NA,NA
528,150,−127,−138,−127,−132
263,170,−124,−135,−124,−123
-134,200,−131,−134,−131,−130
-267,210,−153,−147,−153,−140
-399,220,−125,−129,−125,−126
-427,250,−129,−117,−129,−132
-446,270,−125,−124,−125,−134
-474,300,−113,−122,−113,−131
-510,310,−121,−131,−121,−125
-636,330,−139,−133,−139,−126
-761,350,−115,−123,−115,−129
-824,360,−159,−153,−159,−146
-887,370,−124,−135,−124,−136
-1075,400,−137,−148,−137,−138
-1200,420,−140,−148,−140,−137
-1451,460,−120,−145,−120,−121
-1577,480,−112,−127,−112,−110
-1702,500,−110,−116,−110,−116
-1828,520,−121,−129,−121,−145
-1953,540,−124,−135,−124,−145
-2204,580,−131,−143,−131,−142
-2392,610,−139,−142,−139,−140
-11792,620,NA,NA,NA,NA
-11792,640,−135,−129,−135,−172
