year (AD),depth (cm),d18O (permil),d18O (permil),core ()
1990,0,-1.156,-0.91,PL07-71 BC
1989,0.1,NA,-0.937,PL07-71 BC
1988,0.2,NA,-0.872,PL07-71 BC
1987,0.3,-1.767,NA,PL07-71 BC
1985,0.4,-0.889,-0.606,PL07-71 BC
1984,0.5,NA,-0.693,PL07-71 BC
1983,0.6,-1.345,-0.828,PL07-71 BC
1982.25,0.7,-1.402,-0.614,PL07-71 BC
1981.5,0.8,-1.413,-1.205,PL07-71 BC
1981,0.9,-1.37,-1.167,PL07-71 BC
1980.3,1,-1.459,-1.233,PL07-71 BC
1979.25,1.1,-1.758,-0.795,PL07-71 BC
1978.38,1.2,-1.582,-1.101,PL07-71 BC
1977.5,1.3,-1.032,-1.197,PL07-71 BC
1977,1.4,-1.555,-1.399,PL07-71 BC
1975.75,1.5,-1.425,-1.129,PL07-71 BC
1974.88,1.6,-1.464,-1.1,PL07-71 BC
1974.25,1.7,-1.214,-0.789,PL07-71 BC
1973.5,1.8,-1.478,-1.13,PL07-71 BC
1972.8,1.9,-1.539,-1.17,PL07-71 BC
1971.7,2,-1.141,-1.061,PL07-71 BC
1971,2.1,-1.046,-1,PL07-71 BC
1970,2.2,-1.793,-1.255,PL07-71 BC
1969.2,2.3,-1.225,-0.952,PL07-71 BC
1967.88,2.4,-1.334,-1.189,PL07-71 BC
1967.15,2.5,-1.2,-1.115,PL07-71 BC
1966.07,2.6,-1.532,-1.209,PL07-71 BC
1965.13,2.7,-1.313,-1.2,PL07-71 BC
1963.2,2.8,-1.322,-1.028,PL07-71 BC
1962.2,2.9,-1.399,-1.36,PL07-71 BC
1961.8,3,-1.573,-1.065,PL07-71 BC
1961.4,3.1,-1.327,-0.71,PL07-71 BC
1960.67,3.2,-1.427,-0.936,PL07-71 BC
1960.2,3.3,-1.267,-1.09,PL07-71 BC
1959.2,3.4,-1.523,-1.067,PL07-71 BC
1958.2,3.5,-1.593,-1.219,PL07-71 BC
1957.1,3.6,-1.253,-0.683,PL07-71 BC
1955.8,3.7,-1.831,-0.968,PL07-71 BC
1954.87,3.8,-1.281,-0.71,PL07-71 BC
1953,3.9,-1.602,-1.092,PL07-71 BC
1952,4,-1.635,-0.96,PL07-71 BC
1951.1,4.1,-1.767,-1.135,PL07-71 BC
1949.3,4.2,-1.656,-0.891,PL07-71 BC
1948.2,4.3,-1.835,-1.071,PL07-71 BC
