year (AD) [1-1],d18O (permil) [1-1],year (AD) [2-1],d18O (permil) [2-1],year (AD) [3-1],Sr_Ca (mmol/mol) [3-1],year (AD) [4-1],Sr_Ca (mmol/mol) [4-1]
1991,-0.91,1992,-0.43,1991,9.525,1992,9.479
1986,-0.79,1987,-0.39,1986,9.494,1987,9.611
1982,-0.88,1982,-0.42,1982,9.52,1982,9.534
1976,-0.82,1979,-0.45,1976,NA,1979,9.714
1975,NA,1977,-0.42,1975,9.54,1977,NA
1971,-0.72,1974,NA,1971,9.4745,1974,9.517
1967,-0.77,1972,-0.45,1967,9.509,1972,NA
1962,NA,1971,NA,1962,9.483,1971,9.731
1960,-0.91,1967,-0.37,1960,9.584,1967,NA
1957,NA,1963,-0.36,1957,9.536,1963,9.565
1954,-0.89,1957,-0.43,1954,9.267,1957,9.387
1947,-0.87,1952,-0.33,1947,9.468,1952,9.697
1940,-0.85,1950,-0.35,1940,9.618,1950,NA
1932,-0.78,1948,NA,1932,9.435,1948,9.897
1926,-0.78,1947,-0.42,1926,9.696,1947,NA
1921,-0.89,1945,NA,1921,9.604,1945,9.657
1915,-0.86,1943,-0.41,1915,9.603,1943,9.834
1909,-0.87,1939,-0.44,1909,9.728,1939,NA
1904,-0.78,1934,-0.37,1904,9.774,1934,NA
1899,-0.87,1930,-0.39,1899,9.658,1930,9.654
1893,-0.82,1928,-0.36,1893,9.665,1928,NA
1888,-0.82,1927,NA,1888,9.755,1927,9.734
1883,-0.84,1926,-0.36,1883,9.541,1926,NA
1878,-0.94,1921,-0.34,1878,9.668,1921,9.8
1873,-0.84,1918,-0.23,1873,9.702,1918,NA
1869,-0.83,1913,-0.32,1869,9.712,1913,10.062
1864,-0.815,1911,-0.48,1864,9.64,1911,9.947
1860,-0.87,1909,-0.37,1860,9.729,1909,9.719
1855,-0.91,1905,-0.35,1855,9.63,1905,9.66
1850,-0.74,1899,-0.3,1850,9.81,1899,NA
1845,-0.87,1897,NA,1845,9.727,1897,9.845
1840,-0.8,1895,-0.47,1840,9.849,1895,9.822
1834,-0.71,1891,-0.49,1834,9.761,1891,NA
1830,-0.68,1890,NA,1830,9.82,1890,9.742
1826,-0.73,1885,-0.42,1826,NA,1885,9.916
1821,-0.66,1881,-0.3,1821,9.685,1881,9.96
1817,-0.68,1875,-0.29,1817,9.902,1875,NA
1813,-0.68,1870,-0.42,1813,9.874,1870,10.097
1808,-0.65,1865,-0.32,1808,9.887,1865,9.93
1805,-0.95,1859,-0.31,1805,9.878,1859,9.861
1800,-0.73,1854,-0.33,1800,9.827,1854,9.898
1795,-0.77,1849,-0.28,1795,9.797,1849,9.932
1784,-0.61,1844,-0.38,1784,9.773,1844,NA
1780,-0.67,1843,NA,1780,9.7035,1843,9.919
1775,-0.79,1837,-0.41,1775,NA,1837,9.891
1770,-0.68,1833,-0.37,1770,NA,1833,10.131
1765,-0.71,1828,-0.4,1765,9.702,1828,9.944
1761,-0.76,1823,-0.46,1761,NA,1823,9.91
1756,-0.78,1818,-0.54,1756,9.763,1818,9.966
1754,-0.75,1813,-0.36,1754,9.751,1813,10.148
1747,-0.67,1808,-0.44,1747,9.564,1808,9.923
1744,-0.76,1802,-0.38,1744,9.735,1802,9.842
1739,-0.74,1797,-0.4,1739,9.7205,1797,10.017
1735,-0.77,1791,-0.27,1735,9.811,1791,9.969
1730,-0.79,1785,-0.36,1730,9.65,1785,9.868
1726,-0.78,1780,-0.31,1726,9.806,1780,9.87
1722,-0.84,1774,-0.4,1722,9.769,1774,9.8
1718,-0.72,1769,-0.32,1718,9.704,1769,9.865
1714,-0.78,1763,-0.4,1714,9.704,1763,9.806
1709,NA,1758,-0.42,1709,9.827,1758,9.8065
1705,-0.775,1752,-0.37,1705,9.767,1752,9.8825
1701,-0.78,1747,-0.37,1701,9.832,1747,9.855
1698,-0.8,1741,-0.43,1698,9.798,1741,9.757
1694,-0.78,1736,-0.36,1694,9.8075,1736,9.8605
1690,-0.81,1731,-0.49,1690,9.853,1731,9.909
1686,-0.81,1727,-0.4,1686,9.775,1727,NA
1682,-0.745,1726,NA,1682,9.7615,1726,9.77
1677,-0.82,1721,-0.34,1677,9.7965,1721,9.833
1674,-0.75,1715,-0.29,1674,9.826,1715,9.726
1671,-0.84,1709,-0.28,1671,9.748,1709,9.874
1667,-0.82,1703,-0.26,1667,9.5685,1703,9.627
1663,-0.77,1698,-0.23,1663,9.7595,1698,9.87
1660,-0.76,1693,-0.41,1660,9.727,1693,9.817
1656,-0.69,1687,-0.34,1656,9.79,1687,9.785
1654,-0.81,1682,-0.28,1654,9.656,1682,9.835
1650,-0.73,1676,-0.3,1650,9.797,1676,9.817
1646,-0.81,1670,-0.37,1646,9.778,1670,9.923
1643,-0.7,1665,-0.25,1643,9.782,1665,9.907
1642,NA,1661,NA,1642,9.757,1661,9.872
1639,-0.73,1660,-0.38,1639,9.758667,1660,NA
1636,-0.68,1655,-0.43,1636,9.696667,1655,9.823
1634,NA,1650,-0.35,1634,9.7335,1650,9.945
1633,-0.77,1645,-0.3,1633,9.672,1645,9.921
1631,NA,1640,-0.34,1631,9.7265,1640,9.896
1630,-0.81,1635,-0.32,1630,9.701,1635,9.919
1627,-0.77,1629,-0.34,1627,9.751,1629,9.861
1624,-0.705,1623,-0.31,1624,9.756667,1623,9.804
1622,-0.73,1617,-0.4,1622,9.5815,1617,9.859
1621,-0.81,1612,-0.33,1621,9.753,1612,9.87
1618,-0.75,1607,-0.43,1618,9.747667,1607,9.896
1616,-0.81,1601,-0.36,1616,9.776556,1601,9.847
1614,-0.74,1596,-0.38,1614,9.756,1596,9.724
1612,-0.74,1590,-0.24,1612,NA,1590,9.921
1610,-0.68,1585,-0.35,1610,9.805,1585,9.931
1609,-0.72,1579,-0.28,1609,NA,1579,9.944
1606,-0.67,1574,-0.45,1606,NA,1574,9.894
1605,-0.74,1568,-0.31,1605,9.751,1568,9.829
1603,-0.75,1564,-0.26,1603,9.787,1564,9.819
1600,-0.76,1559,-0.36,1600,9.762,1559,9.856
1597,-0.77,1554,-0.26,1597,9.742,1554,10.014
1594,-0.85,1550,-0.23,1594,9.703,1550,9.96
1591,-0.75,1545,-0.41,1591,9.666,1545,9.768
1589,-0.73,1540,-0.4,1589,9.77,1540,9.734
1585,-0.82,1534,-0.38,1585,9.738,1534,9.821
1582,-0.74,1528,-0.27,1582,9.73,1528,9.813
1580,-0.81,1522,-0.28,1580,9.74,1522,9.713
1577,-0.87,1516,-0.39,1577,9.787,1516,9.7
1575,-0.76,1509,-0.32,1575,9.761,1509,9.858
1572,-0.84,1504,-0.42,1572,9.789,1504,9.907
1570,-0.79,1498,-0.45,1570,9.784,1498,NA
1567,-0.81,1497,NA,1567,9.698,1497,9.88
1565,-0.86,1493,-0.24,1565,9.74,1493,9.772
1562,-0.81,1489,NA,1562,9.646,1489,9.745
1559,-0.76,1487,-0.39,1559,9.624,1487,NA
1555,-0.87,1482,-0.36,1555,9.592,1482,9.853
1551,-0.81,1476,-0.36,1551,9.65,1476,9.793
1548,-0.78,1471,-0.33,1548,NA,1471,9.902
1547,NA,1466,-0.4,1547,9.611,1466,NA
1546,-0.79,1463,NA,1546,NA,1463,9.671
1545,NA,1460,-0.39,1545,9.701,1460,9.85
1544,-0.88,1454,-0.33,1544,NA,1454,9.83
1542,NA,1448,-0.33,1542,9.68,1448,9.911
1541,-0.89,1441,-0.33,1541,NA,1441,9.88
1539,NA,1435,-0.41,1539,9.683,1435,NA
1537,-0.86,1431,NA,1537,9.602,1431,9.837
1535,-0.74,1427,-0.39,1535,9.667,1427,9.967
1532,-0.85,1420,-0.36,1532,9.595,1420,NA
1529,-0.84,1419,NA,1529,9.691,1419,9.833
1527,-0.8,1413,-0.4,1527,9.594,1413,9.926
1524,-0.83,1405,-0.35,1524,9.626,1405,9.88
1520,-0.87,1398,-0.41,1520,9.683,1398,9.913
1517,-0.86,1393,-0.36,1517,9.642,1393,9.92
1514,-0.82,1389,-0.33,1514,9.646,1389,9.858
1510,-0.78,NA,NA,1510,9.758,1384,9.786
1508,-0.78,NA,NA,1508,9.6665,NA,NA
1505,-0.82,NA,NA,1505,NA,NA,NA
1503,-0.88,NA,NA,1503,9.589,NA,NA
1500,-0.94,NA,NA,1500,9.658,NA,NA
1496,-0.87,NA,NA,1496,9.698,NA,NA
1493,-0.9,NA,NA,1493,9.65,NA,NA
1491,NA,NA,NA,1491,9.642,NA,NA
1490,-0.91,NA,NA,1490,9.785,NA,NA
1486,-0.87,NA,NA,1486,9.597,NA,NA
1483,-0.78,NA,NA,1483,9.569,NA,NA
1480,-0.85,NA,NA,1480,9.568,NA,NA
1477,-0.75,NA,NA,1477,9.669,NA,NA
1475,-0.81,NA,NA,1475,9.638,NA,NA
1472,-0.78,NA,NA,1472,9.577,NA,NA
1469,-0.79,NA,NA,1469,9.672,NA,NA
1466,-0.745,NA,NA,1466,9.606,NA,NA
1463,-0.78,NA,NA,1463,NA,NA,NA
1460,-0.78,NA,NA,1460,9.642,NA,NA
1457,-0.81,NA,NA,1457,9.625,NA,NA
1454,-0.8,NA,NA,1454,9.688,NA,NA
1451,-0.78,NA,NA,1451,9.699,NA,NA
1447,-0.745,NA,NA,1447,9.687,NA,NA
1445,-0.715,NA,NA,1445,9.684,NA,NA
1441,-0.67,NA,NA,1441,9.699,NA,NA
1438,-0.77,NA,NA,1438,9.67,NA,NA
1436,-0.77,NA,NA,1436,9.673,NA,NA
1433,-0.86,NA,NA,1433,9.625,NA,NA
1430,-0.73,NA,NA,1430,9.754,NA,NA
1427,-0.83,NA,NA,1427,9.638,NA,NA
1425,-0.78,NA,NA,1425,9.599,NA,NA
1421,-0.81,NA,NA,1421,9.701,NA,NA
1418,-0.73,NA,NA,1418,9.765,NA,NA
1416,-0.82,NA,NA,1416,9.698,NA,NA
1412,-0.82,NA,NA,1412,9.72,NA,NA
1409,-0.85,NA,NA,1409,9.741,NA,NA
1405,-0.76,NA,NA,1405,9.728,NA,NA
1402,-0.87,NA,NA,1402,9.682,NA,NA
1399,-0.76,NA,NA,1399,9.621,NA,NA
1395,-0.92,NA,NA,1395,9.673,NA,NA
1393,-0.79,NA,NA,1393,9.723,NA,NA
