year (AD),depth (cm),d18O (permil),TIC (%),CaCO3 (%),d13C (â€°)
1980,0.5,-0.904,2.12,17.67,3.619
1977,1.5,-0.534,1.84,15.33,3.533
1974,2.5,-0.2675,2.04,17,3.621
1971,3.5,0.665,2.12,17.67,3.917
1968,4.5,1.68,2.2,18.33,3.991
1965,5.5,2.097,2.42,20.17,3.855
1962,6.5,0.53,1.6,13.33,3.153
1959,7.5,0.866,1.69,14.08,3.225
1956,8.5,1.962,2.43,20.25,3.691
1953,9.5,3.497,2.82,23.5,4.008
1950,10.5,3.286,2.94,24.5,3.895
1947,11.5,1.831,1.95,16.25,3.376
1944,12.5,1.978,2.4,20,3.516
1941,13.5,1.842,2.32,19.33,3.466
1938,14.5,1.274,2.25,18.75,3.397
1935,15.5,2.603,2.99,24.92,3.609
1932,16.5,2.523,2.78,23.17,3.459
1929,17.5,2.844,3.04,25.33,3.426
1926,18.5,2.3435,2.78,23.17,3.234
1923,19.5,2.049,2.88,24,3.271
1920,20.5,1.988,2.9,24.17,3.206
1917,21.5,2.18,3.56,29.67,3.241
1914,22.5,2.272,3.83,31.92,3.35
1911,23.5,1.671,3.57,29.75,3.269
1907,24.5,1.429,3.63,30.25,3.362
1904,25.5,0.346,3.46,28.83,3.132
1901,26.5,-0.5065,3.68,30.67,3.058
1898,27.5,-1.542,3.53,29.42,2.896
1895,28.5,-2.284,2.74,22.83,2.76
1892,29.5,-2.611,2.21,18.42,2.738
1889,30.5,-3.337,2.01,16.75,2.412
1886,31.5,-3.835,1.65,13.75,1.653
1883,32.5,-3.199,2.07,17.25,2.223
1880,33.5,-3.724,1.78,14.83,1.584
1877,34.5,-4.026,1.3,10.83,1.222
1874,35.5,-2.636,2.13,17.75,2.67
1871,36.5,-2.431,2.75,22.92,2.678
1868,37.5,-2.626,1.93,16.08,2.783
1865,38.5,-2.822,2.51,20.92,2.667
1862,39.5,-3.942,1.82,15.17,1.85
1859,40.5,-5.124,1.21,10.08,1.5165
1856,41.5,-5.235,1.32,11,1.375
1853,42.5,-4.844,1.42,11.83,1.789
1850,43.5,-4.542,1.56,13,1.925
1847,44.5,-3.853,2.54,21.17,2.587
1844,45.5,-4.042,2.63,21.92,2.484
1841,46.5,-4.31,2.26,18.83,2.324
1838,47.5,-4.552,2.36,19.67,2.459
1835,48.5,-4.6295,2.03,16.92,2.3845
1832,49.5,-5.207,1.66,13.83,2.201
1829,50.5,-4.718,2.03,16.92,2.282
1826,51.5,-5.378,0.93,7.75,1.942
1823,52.5,-5.664,0.77,6.42,1.926
1820,53.5,-5.615,0.88,7.33,1.649
1817,54.5,-6.81,0.28,2.33,-2.263
1814,55.5,-6.642,0.51,4.25,-1.53
1811,56.5,-5.1945,1.51,12.58,1.671
1808,57.5,-4.927,1.38,11.5,1.758
1804,58.5,-4.533,1.88,15.67,2.462
1801,59.5,-5.657,1.53,12.75,1.465
1798,60.5,-4.923,1.74,14.5,2.562
1795,61.5,-5.609,1.03,8.58,1.186
1792,62.5,-5.3185,1.37,11.42,1.713
1789,63.5,-4.299,2.34,19.5,2.589
