year (AD),depth (cm),d18O (permil),d13C (permil)
-8859,NA,-9.56,-11.57
-8799,NA,-9.74,-11.54
-8769,NA,-9.99,-11.77
-8689,NA,-9.37,-11.49
-8639,NA,-8.94,-11.38
-8599,NA,-8.9,-11.27
-8539,NA,-8.92,-11.42
-8459,NA,-8.07,-10.84
-7985,NA,-8.36,-11.28
-7945,NA,-8.8,-11.87
-7895,NA,-8.46,-11.74
-7853,NA,-8.64,-12.2
-7742,NA,-9.28,-11.82
-7670,NA,-10.05,-12.23
-7621,NA,-10.32,-12.08
-7568,NA,-10.47,-12.46
-7493,NA,-9.61,-12.11
-7427,NA,-9.38,-12.48
-7356,NA,-9.92,-12.46
-7292,NA,-9.29,-12.06
-7248,NA,-9.36,-12.19
-7199,NA,-9.06,-12.09
-7130,NA,-8.91,-11.98
-7062,NA,-8.64,-11.99
-6995,NA,-8.51,-12.13
-6934,NA,-8.74,-12.08
-6889,NA,-8.77,-12.32
-6825,NA,-8.83,-12.14
-6786,NA,-8.63,-11.89
-6744,NA,-8.74,-11.99
-6694,NA,-8.91,-12.25
-6645,NA,-8.7,-12.1
-6593,NA,-8.36,-11.8
-6529,NA,-8.29,-11.7
-6458,NA,-7.85,-11.39
-6407,NA,-7.86,-11.68
-6336,NA,-8.01,-11.5
-6285,NA,-8.41,-11.06
-6204,NA,-8.32,-10.56
-5980,NA,-8.14,-11.11
-5941,NA,-7.9,-10.92
-5880,NA,-7.59,-11.13
-5832,NA,-7.35,-11.12
-5790,NA,-7.82,-11.38
-5749,NA,-7.85,-11.57
-5710,NA,-7.78,-11.47
-5682,NA,-8.1,-11.75
-5562,NA,-8.4,-11.5
-5441,NA,-8.18,-11.51
-5428,NA,-8.77,-12.04
-5414,NA,-8,-11.12
-5401,NA,-8.11,-11.53
-5383,NA,-8.39,-11.67
-5365,NA,-7.77,-11.69
-5349,NA,-7.95,-11.59
-5334,NA,-7.53,-11.69
-5315,NA,-7,-10.65
-5296,NA,-7.71,-11.67
-5277,NA,-7.88,-11.69
-5254,NA,-8.4,-11.66
-5243,NA,-8.5,-11.67
-5232,NA,-8.22,-11.43
-5220,NA,-8.95,-11.97
-5208,NA,-8.59,-11.63
-5197,NA,-9.11,-12.05
-5150,NA,-8.63,-11.88
-5134,NA,-9.33,-11.99
-5118,NA,-8.94,-11.22
-5101,NA,-9.1,-11.78
-5056,NA,-9.19,-11.76
-5038,NA,-9.03,-11.69
-5020,NA,-9.45,-12
-5002,NA,-9.74,-11.48
-4985,NA,-9.47,-11.3
-4961,NA,-10.16,-11.92
-4889,NA,-9.43,-11.75
-4819,NA,-9.01,-11.15
-4750,NA,-8.9,-11.65
-4680,NA,-9.3,-11.92
-4633,NA,-8.82,-11.85
-4586,NA,-8.71,-11.91
-4539,NA,-8.82,-11.87
-4492,NA,-8.7,-12.04
-4434,NA,-9.01,-12.06
-4375,NA,-8.95,-11.89
-4316,NA,-8.94,-11.51
-4259,NA,-9.09,-11.98
-4202,NA,-9.66,-11.82
-4144,NA,-9.7,-12.01
-4072,NA,-9.3,-11.85
-3999,NA,-9.33,-11.92
-3926,NA,-9.16,-11.96
-3830,NA,-8.87,-11.8
-3734,NA,-9.08,-11.68
-3696,NA,-9.04,-11.64
-3658,NA,-8.42,-11.61
-3620,NA,-8.57,-11.47
-3582,NA,-8.34,-11.29
-3544,NA,-8.79,-11.25
-3477,NA,-8.62,-11.19
-3343,NA,-8.68,-11.14
-3196,NA,-8.84,-11.18
-3123,NA,-8.33,-11.33
-3062,NA,-8.96,-11.36
-3001,NA,-9.18,-11.41
-2940,NA,-9.07,-11.48
-2810,NA,-9.88,-11.75
-2720,NA,-9.82,-11.16
-2596,NA,-9.65,-11.7
-2380,NA,-9.62,-11.89
-2163,NA,-9.54,-11.91
-2102,NA,-9.44,-12.1
-2041,NA,-9.14,-11.37
-1981,NA,-8.36,-10.28
-1920,NA,-8.15,-10.89
-1861,NA,-8.73,-11.34
-1802,NA,-8.66,-11.29
-1680,NA,-9.34,-11.45
-1609,NA,-8.43,-11.27
-1538,NA,-8.13,-10.39
-1480,NA,-8.72,-11.61
-1421,NA,-8.99,-11
-1363,NA,-8.73,-10.8
-1219,NA,-9.33,-10.99
-1034,NA,-8.83,-10.56
-975,NA,-9.05,-11.65
-917,NA,-8.91,-11.54
-787,NA,-8.78,-11.81
-701,NA,-8.69,-11.81
-616,NA,-8.95,-11.82
-567,NA,-8.64,-11.97
-519,NA,-8.85,-11.89
-422,NA,-8.85,-12.09
-386,NA,-8.86,-11.98
-350,NA,-8.68,-12.16
-314,NA,-8.57,-11.61
-278,NA,-8.25,-11.35
-224,NA,-8.43,-11.52
-171,NA,-8.38,-11.42
-117,NA,-7.75,-10.83
-56,NA,-7.89,-10.71
5,NA,-7.8,-11
67,NA,-8.53,-11.43
109,NA,-8.17,-11.75
194,NA,-8.28,-11.59
373,NA,-8.15,-11.44
470,NA,-8.5,-11.34
566,NA,-8.29,-11.69
650,NA,-8.24,-11.65
733,NA,-8.58,-11.23
