year (AD),depth (m),d18O (permil)
1961,NA,-27.43
1960,NA,-26.1602
1959,NA,-25.7667
1958,NA,-26.0266
1957,NA,-26.68
1956,NA,-25.6
1955,NA,-26.2027
1954,NA,-27.0639
1953,NA,-28.53
1952,NA,-28.8377
1951,NA,-28.4436
1950,NA,-27.74
1949,NA,-27.6595
1948,NA,-28.0853
1947,NA,-28.833
1946,NA,-29.1
1945,NA,-28.2292
1944,NA,-27.6464
1943,NA,-27.106
1942,NA,-25.78
1941,NA,-26.1147
1940,NA,-26.5091
1939,NA,-27.02
1938,NA,-26.9272
1937,NA,-26.9
1936,NA,-26.2058
1935,NA,-26.11
1934,NA,-26.858
1933,NA,-26.8896
1932,NA,-26.84
1931,NA,-26.852
1930,NA,-27.41
1929,NA,-27.4049
1928,NA,-26.91
1927,NA,-27.2297
1926,NA,-27.3489
1925,NA,-27.4742
1924,NA,-27.864
1923,NA,-27.8582
1922,NA,-27.6219
1921,NA,-27.6946
1920,NA,-26.9854
1919,NA,-26.83
1918,NA,-26.8532
1917,NA,-26.9517
1916,NA,-27.161
1915,NA,-27.55
1914,NA,-27.7414
1913,NA,-27.472
1912,NA,-27.5064
1911,NA,-28.62
1910,NA,-28.2588
1909,NA,-27.96
1908,NA,-27.6874
1907,NA,-27.7676
1906,NA,-27.98
1905,NA,-27.6464
1904,NA,-27.478
1903,NA,-26.91
1902,NA,-26.8722
1901,NA,-26.8
1900,NA,-26.5986
1899,NA,-26.49
1898,NA,-25.5425
1897,NA,-25.5551
1896,NA,-25.72
1895,NA,-26.4912
1894,NA,-26.98
1893,NA,-28.3331
1892,NA,-28.4731
1891,NA,-28.58
1890,NA,-28.2872
1889,NA,-28.02
1888,NA,-27.4552
1887,NA,-27.3237
1886,NA,-27.56
1885,NA,-27.8428
1884,NA,-28.47
1883,NA,-28.4282
1882,NA,-28.3307
1881,NA,-27.72
1880,NA,-27.502
1879,NA,-27.3743
1878,NA,-27.4
1877,NA,-27.5176
1876,NA,-27.58
1875,NA,-27.58
1874,NA,-27.2947
1873,NA,-27.183
1872,NA,-27.35
1871,NA,-27.7558
1870,NA,-27.9748
1869,NA,-28.05
1868,NA,-27.4616
1867,NA,-27.1804
1866,NA,-27.35
1865,NA,-27.4977
1864,NA,-27.7887
1863,NA,-29.15
1862,NA,-28.8331
1861,NA,-28.6026
1860,NA,-28.28
1859,NA,-28.768
1858,NA,-29.4049
1857,NA,-29.8271
1856,NA,-29.5383
1855,NA,-29.52
1854,NA,-29.8161
1853,NA,-29.0542
1852,NA,-28.4222
1851,NA,-28.1112
1850,NA,-27.94
1849,NA,-28.0188
1848,NA,-27.9993
1847,NA,-27.67
1846,NA,-27.6477
1845,NA,-27.5226
