year (ad),d18O LW-J1 (permil),d18O LW-J2 (permil),d18O LW-J3 (permil),d18O MW-J1 (permil),d18O MW-J2 (permil),d18O MW-J3 (permil)
1950,NA,27.56,NA,NA,26.95,NA
1951,NA,27.01,NA,NA,26.81,NA
1952,NA,27.05,NA,NA,26.74,NA
1953,27.36,27.83,NA,26.88,26.82,NA
1954,27.51,28.09,NA,27.52,26.61,NA
1955,27.21,27.5,26.55,27.68,26.65,27.2
1956,28.45,27.56,27.6,27.75,26.94,26.85
1957,28.14,27.49,27.6,28.07,26.95,27.17
1958,28.73,28.48,27.92,28.35,27.13,26.91
1959,28.26,28.81,27.85,28.37,27.46,27.21
1960,28.72,28,27.77,28.6,27.42,27.69
1961,28.33,28.26,28.57,27.85,27.41,26.96
1962,26.73,27.21,26.77,26.96,26.71,26.31
1963,27.09,26.94,26.72,28,26.67,26.92
1964,28.64,27.97,28.62,27.74,27.32,28
1965,28.56,28.63,28.35,27.63,27.39,26.88
1966,28.11,28.03,27.91,28.67,26.98,27.65
1967,27.86,28.03,28.3,27.61,NA,26.82
1968,27.59,27.21,27.74,27.73,26.33,26.28
1969,28.03,28.02,28.27,28.72,26.46,26.66
1970,29.8,28.43,29.25,27.41,26.78,27.67
1971,27.86,28.22,28.34,28.13,26.74,26.52
1972,28.76,28.01,28.83,28.24,27.06,27.43
1973,27.7,NA,27.68,28.49,26.87,27.21
1974,28.35,27.03,29.18,27.56,26.58,26.53
1975,27.64,27.46,27.31,28.16,26.54,26.7
1976,28.07,27.26,28.34,27.55,26.55,26.46
1977,27.5,27.71,27.25,27.86,26.72,27.25
1978,27.83,27.33,27.24,28.01,26.95,27.12
1979,28.31,27.57,27.52,28.4,26.84,27.17
1980,28.5,27.58,28.12,28.4,26.91,27.31
1981,27.66,27.64,27.12,27.86,26.76,26.62
1982,27.64,27.63,27.94,27.56,26.68,26.96
1983,26.98,27.22,27.16,27.03,26.33,26.37
1984,28.14,27.55,27.75,28.25,27.43,27.63
1985,27.82,27.88,28.09,28.23,27.46,27.32
1986,27.86,27.56,27.32,28.4,27.38,27.36
1987,28.93,28.03,28.55,28.49,27.28,27.65
1988,28.17,27.71,27.96,28.55,27.64,27.91
1989,27.63,27.13,27.3,27.81,26.98,26.92
1990,27.57,27.38,27.84,27.56,26.78,26.49
1991,28.53,29.13,28.93,27.56,26.84,27.42
1992,29.11,28.04,27.68,28.02,27.07,27.31
1993,28.25,27.75,27.44,28.07,27.49,27.05
1994,28.41,27.81,27.47,28,26.93,26.9
1995,27.91,27.8,27.47,27.63,26.52,27.16
1996,28.59,28.23,27.88,28.95,27.78,27.66
1997,27.6,27.42,27.27,28.13,27.15,26.98
1998,27.74,27.37,27.46,27.32,26.63,26.47
1999,28.27,27.76,28,27.28,26.78,26.42
2000,28.35,27.54,27.99,27.62,27.11,26.61
2001,28,27.35,27.45,27.61,26.77,26.6
2002,29.15,27.93,28.12,29,27.49,27.44
2003,NA,27.28,27.39,NA,27.02,26.82
2004,NA,NA,NA,NA,NA,NA
