year (AD),depth (cm),d18O (permil),temperature (degC),temperature (degC)
1950,0.5,0.98,8.84,8.84
1942.06,1.5,NA,8.6,8.6
1934.12,2.5,1.3,9.32,9.32
1926.19,3.5,1.35,9.99,9.99
1918.25,4.5,1.12,9.78,9.78
1910.31,5.5,1.48,9.88,9.88
1902.38,6.5,1.31,10.06,10.06
1894.44,7.5,1.29,9.73,9.73
1886.5,8.5,1.17,9.98,9.98
1878.56,9.5,1.39,9.36,9.36
1870.62,10.5,1.3,8.43,8.43
1862.69,11.5,0.79,8.37,8.37
1854.75,12.5,1.08,8.37,8.37
1846.81,13.5,1.44,8.38,8.38
1838.88,14.5,1.56,8.29,8.29
1830.94,15.5,1.44,8.81,8.81
1823,16.5,1.55,8.49,8.49
1791.23,17.5,1.15,8.7,8.7
1759.46,18.5,NA,8.52,8.52
1727.69,19.5,1.5,8.58,8.58
1695.92,20.5,1.5,8.87,8.87
1664.15,21.5,1.52,9.04,9.04
1632.38,22.5,1.4,8.82,8.82
1600.62,23.5,1.52,8.47,8.47
1568.85,24.5,1.55,8.74,8.74
1537.08,25.5,1.45,8.85,8.85
1505.31,26.5,1.65,8.9,8.9
1473.54,27.5,1.27,8.94,8.94
1441.77,28.5,1.73,8.83,8.83
1410,29.5,1.22,9.01,9.01
1357.05,30.5,1.52,9.08,9.08
1304.1,31.5,1.35,8.94,8.94
1251.15,32.5,1.3,8.82,8.82
1198.2,33.5,1.47,8.99,8.99
1145.25,34.5,1.42,9.1,9.1
1092.3,35.5,1.53,9,9
1039.35,36.5,1.3,8.85,8.85
986.4,37.5,1.38,9.02,9.02
933.45,38.5,1.47,9.05,9.05
880.5,39.5,1.44,9.02,9.02
827.55,40.5,1.51,8.85,8.85
774.6,41.5,1.47,9.03,9.03
721.65,42.5,NA,9.11,9.11
668.7,43.5,NA,9.13,9.13
615.75,44.5,NA,8.79,8.79
562.8,45.5,NA,9.14,9.14
509.85,46.5,NA,9.16,9.16
456.9,47.5,NA,9.1,9.1
403.95,48.5,NA,9.03,9.03
351,49.5,NA,9.19,9.19
