year (AD),d18O (permil),Sr_Ca (mmol/mol)
1890,0.58,10.43
1891,0.52,10.42
1892,0.31,10.35
1893,0.36,10.35
1894,0.31,10.24
1895,0.28,10.22
1896,0.42,10.28
1897,0.62,10.31
1898,0.63,10.36
1899,0.53,10.41
1900,0.44,10.17
1901,0.48,10.13
1902,0.44,10.33
1903,0.46,10.38
1904,0.42,10.33
1905,0.54,10.48
1906,0.4,10.33
1907,0.4,10.25
1908,0.48,10.3
1909,0.64,10.36
1910,0.6,10.2
1911,0.61,10.2
1912,0.47,10.23
1913,0.46,10.18
1914,0.53,10.28
1915,0.62,10.24
1916,0.63,10.18
1917,0.51,10.19
1918,0.43,10.2
1919,0.33,10.29
1920,0.27,10.3
1921,0.1,10.2
1922,0.28,10.32
1923,0.52,10.28
1924,0.49,10.23
1925,0.49,10.18
1926,0.48,10.17
1927,0.39,10.38
1928,0.38,10.31
1929,0.43,10.23
1930,0.35,10.1
1931,0.06,10.28
1932,0.25,10.45
1933,0.16,10.33
1934,0.27,10.25
1935,0.3,10.22
1936,0.23,10.32
1937,0.37,10.32
1938,0.46,10.4
1939,0.49,10.39
1940,0.5,10.33
1941,0.43,10.28
1942,0.35,10.2
1943,0.4,10.18
1944,0.25,10.14
1945,0.37,10.14
1946,0.32,10.2
1947,0.31,10.14
1948,0.27,10.12
1949,0.19,10.09
1950,0.41,10.14
1951,0.46,10.1
1952,0.48,10.06
1953,0.43,10.19
1954,0.47,10.25
1955,0.48,10.31
1956,0.47,10.31
1957,0.39,10.23
1958,0.4,10.26
1959,0.47,10.09
1960,0.42,10.3
1961,0.45,10.43
1962,0.37,10.37
1963,0.41,10.17
1964,0.45,10.26
1965,0.36,10.27
1966,0.41,10.23
1967,0.4,10.25
1968,0.42,10.22
1969,0.39,10.21
1970,0.45,10.27
1971,0.51,10.34
1972,0.48,10.2
1973,0.42,10.12
1974,0.35,10.13
1975,0.28,10.16
1976,0.23,10.13
1977,0.4,10.16
1978,0.53,10.24
1979,0.51,10.15
1980,0.48,10.16
1981,0.46,10.17
1982,0.43,10.13
1983,0.43,10.06
1984,0.43,10.11
1985,0.45,10.09
1986,0.43,10.11
1987,0.38,10.18
1988,0.28,10.18
1989,0.5,10.1
1990,0.4,10.07
