year (AD) [1-1],d18O (permil) [1-1],d18OUncertainty (permil) [1-1],year (AD) [1-2],d18O (permil) [1-2],count_analyses_B3 () [1-2],d18OUncertainty (permil) [1-2],year (AD) [1-3],d18O (permil) [1-3],count_analyses_C2 () [1-3],year (AD) [1-4],d18O (permil) [1-4],count_analyses_C3 () [1-4],year (AD) [1-5],d18O (permil) [1-5],count_analyses_C5 () [1-5],notes_C5 () [1-5],year (AD) [1-6],d18O (permil) [1-6],d18O (permil) [1-6],count_analyses_C6 () [1-6]
2010,-6.1,NA,1990,-6.06,2,0.1,-7980,-5.05,1,-18530,-4.74,1,-8100,-5.12,1,NA,-9830,-4.86,0.02,2
1910,-6.17,0.09,1960,-6.35,2,0.02,-8040,-5.11,1,-18610,-5.06,1,-8130,-5,1,NA,-9940,-4.62,0,2
1810,-6,0.1,1900,-6.25,2,0.05,-8110,-5.07,1,-18690,-4.94,1,-8170,-5,1,NA,-10050,-4.86,0.01,2
1710,-6.02,0.01,1850,-6.17,2,0.04,-8180,-4.76,1,-18760,-5.17,1,-8210,-4.94,1,NA,-10150,-4.88,0.02,2
1610,-6.41,0.07,1790,-6.08,2,0.01,-8260,-4.95,1,-18840,-5.05,1,-8250,-4.8,1,NA,-10250,-4.92,0.02,2
1510,-6.36,0.14,1740,-6.02,2,0.01,-8330,-4.69,1,-18920,-5.26,1,-8290,-4.93,1,NA,-10330,-5,0.04,2
1410,-6.18,0.12,1690,-6.04,2,0.01,-8410,-4.73,1,-18990,-5.14,1,-8330,-4.97,1,NA,-10400,-4.78,0.01,2
1310,-6.32,0.25,1630,-6.24,2,0.06,-8480,-4.57,1,-19070,-4.59,1,-8370,-4.9,1,NA,-10420,-4.78,0.02,2
1210,-6.17,0.13,1560,-6.61,2,0.06,-8550,-4.52,1,-19150,-4.79,1,-8410,-4.72,1,NA,-10470,-4.92,0.04,3
1110,-6.15,0.15,1460,-6.39,2,0.01,-8630,-4.42,1,-19220,-5.31,1,-8450,-4.8,1,NA,-10520,-5.06,0,2
1010,-6.06,0.23,1370,-6.23,2,0.01,-8660,-4.42,1,-19300,-4.92,1,-8500,-4.79,1,NA,-10570,-4.94,0.01,2
910,-6.27,0.2,1280,-5.98,2,0.01,-8680,-4.29,1,-19380,-5.22,1,-8540,-4.7,1,NA,-10620,-4.93,0.01,2
810,-6.22,0.14,1190,-6.06,2,0.04,-8690,-4.43,1,-19450,-5.33,1,-8580,-4.9,1,NA,-10660,-4.93,0.01,2
