year (AD),depth (cm),year (AD),year (AD),d18O (permil),d18O (permil)
1994.5,NA,1994.5,1994.5,-4.8011,-4.8011
1994.33,NA,1994.33,1994.33,-4.725,-4.725
1994.17,NA,1994.17,1994.17,-4.6994,-4.6994
1994,NA,1994,1994,-4.86,-4.86
1993.83,NA,1993.83,1993.83,-5.0886,-5.0886
1993.67,NA,1993.67,1993.67,-5.0901,-5.0901
1993.5,NA,1993.5,1993.5,-4.8369,-4.8369
1993.33,NA,1993.33,1993.33,-4.8693,-4.8693
1993.17,NA,1993.17,1993.17,-4.7955,-4.7955
1993,NA,1993,1993,-4.7162,-4.7162
1992.83,NA,1992.83,1992.83,-4.6206,-4.6206
1992.67,NA,1992.67,1992.67,-4.635,-4.635
1992.5,NA,1992.5,1992.5,-4.9788,-4.9788
1992.33,NA,1992.33,1992.33,-5.1378,-5.1378
1992.17,NA,1992.17,1992.17,-4.8519,-4.8519
1992,NA,1992,1992,-4.8808,-4.8808
1991.83,NA,1991.83,1991.83,-4.9745,-4.9745
1991.67,NA,1991.67,1991.67,-5.0925,-5.0925
1991.5,NA,1991.5,1991.5,-5.0708,-5.0708
1991.33,NA,1991.33,1991.33,-5.05,-5.05
1991.17,NA,1991.17,1991.17,-5.1622,-5.1622
1991,NA,1991,1991,-5.1529,-5.1529
1990.83,NA,1990.83,1990.83,-5.0177,-5.0177
1990.67,NA,1990.67,1990.67,-4.8676,-4.8676
1990.5,NA,1990.5,1990.5,-4.8089,-4.8089
1990.33,NA,1990.33,1990.33,-5.0184,-5.0184
1990.17,NA,1990.17,1990.17,-5.0487,-5.0487
1990,NA,1990,1990,-4.7776,-4.7776
1989.83,NA,1989.83,1989.83,-4.6312,-4.6312
1989.67,NA,1989.67,1989.67,-4.59,-4.59
1989.5,NA,1989.5,1989.5,-4.5604,-4.5604
1989.33,NA,1989.33,1989.33,-4.5465,-4.5465
1989.17,NA,1989.17,1989.17,-4.507,-4.507
1989,NA,1989,1989,-4.4884,-4.4884
1988.83,NA,1988.83,1988.83,-4.4836,-4.4836
1988.67,NA,1988.67,1988.67,-4.4698,-4.4698
1988.5,NA,1988.5,1988.5,-4.4972,-4.4972
1988.33,NA,1988.33,1988.33,-4.6805,-4.6805
1988.17,NA,1988.17,1988.17,-4.8781,-4.8781
1988,NA,1988,1988,-5.039,-5.039
1987.83,NA,1987.83,1987.83,-5.1861,-5.1861
1987.67,NA,1987.67,1987.67,-5.3044,-5.3044
1987.5,NA,1987.5,1987.5,-5.2768,-5.2768
1987.33,NA,1987.33,1987.33,-5.0971,-5.0971
1987.17,NA,1987.17,1987.17,-5.0598,-5.0598
1987,NA,1987,1987,-5.0715,-5.0715
1986.83,NA,1986.83,1986.83,-4.9652,-4.9652
1986.67,NA,1986.67,1986.67,-4.8349,-4.8349
1986.5,NA,1986.5,1986.5,-4.7257,-4.7257
1986.33,NA,1986.33,1986.33,-4.681,-4.681
1986.17,NA,1986.17,1986.17,-4.6785,-4.6785
1986,NA,1986,1986,-4.7651,-4.7651
1985.83,NA,1985.83,1985.83,-4.7498,-4.7498
1985.67,NA,1985.67,1985.67,-4.6833,-4.6833
1985.5,NA,1985.5,1985.5,-4.6965,-4.6965
1985.33,NA,1985.33,1985.33,-4.6608,-4.6608
1985.17,NA,1985.17,1985.17,-4.6277,-4.6277
1985,NA,1985,1985,-4.708,-4.708
1984.83,NA,1984.83,1984.83,-4.7536,-4.7536
1984.67,NA,1984.67,1984.67,-4.7654,-4.7654
1984.5,NA,1984.5,1984.5,-4.7924,-4.7924
1984.33,NA,1984.33,1984.33,-4.7071,-4.7071
1984.17,NA,1984.17,1984.17,-4.5836,-4.5836
1984,NA,1984,1984,-4.561,-4.561
1983.83,NA,1983.83,1983.83,-4.7001,-4.7001
1983.67,NA,1983.67,1983.67,-4.7477,-4.7477
1983.5,NA,1983.5,1983.5,-4.8652,-4.8652
1983.33,NA,1983.33,1983.33,-4.8342,-4.8342
1983.17,NA,1983.17,1983.17,-4.7811,-4.7811
1983,NA,1983,1983,-5.0879,-5.0879
1982.83,NA,1982.83,1982.83,-5.2398,-5.2398
1982.67,NA,1982.67,1982.67,-5.164,-5.164
1982.5,NA,1982.5,1982.5,-4.9915,-4.9915
1982.33,NA,1982.33,1982.33,-4.8571,-4.8571
1982.17,NA,1982.17,1982.17,-4.8504,-4.8504
1982,NA,1982,1982,-4.8136,-4.8136
1981.83,NA,1981.83,1981.83,-4.8207,-4.8207
1981.67,NA,1981.67,1981.67,-4.8066,-4.8066
1981.5,NA,1981.5,1981.5,-4.9627,-4.9627
1981.33,NA,1981.33,1981.33,-5.0471,-5.0471
1981.17,NA,1981.17,1981.17,-5.0138,-5.0138
1981,NA,1981,1981,-4.988,-4.988
1980.83,NA,1980.83,1980.83,-5.0527,-5.0527
1980.67,NA,1980.67,1980.67,-5.0259,-5.0259
1980.5,NA,1980.5,1980.5,-4.9733,-4.9733
1980.33,NA,1980.33,1980.33,-4.8792,-4.8792
1980.17,NA,1980.17,1980.17,-4.8576,-4.8576
1980,NA,1980,1980,-4.8572,-4.8572
1979.83,NA,1979.83,1979.83,-4.8284,-4.8284
1979.67,NA,1979.67,1979.67,-4.7721,-4.7721
1979.5,NA,1979.5,1979.5,-4.7026,-4.7026
1979.33,NA,1979.33,1979.33,-4.7382,-4.7382
1979.17,NA,1979.17,1979.17,-4.8101,-4.8101
1979,NA,1979,1979,-4.7165,-4.7165
1978.83,NA,1978.83,1978.83,-4.6437,-4.6437
1978.67,NA,1978.67,1978.67,-4.623,-4.623
1978.5,NA,1978.5,1978.5,-4.6255,-4.6255
1978.33,NA,1978.33,1978.33,-4.7784,-4.7784
1978.17,NA,1978.17,1978.17,-5.0657,-5.0657
1978,NA,1978,1978,-5.0258,-5.0258
1977.83,NA,1977.83,1977.83,-4.9577,-4.9577
1977.67,NA,1977.67,1977.67,-4.8377,-4.8377
1977.5,NA,1977.5,1977.5,-4.7331,-4.7331
1977.33,NA,1977.33,1977.33,-4.792,-4.792
1977.17,NA,1977.17,1977.17,-4.8717,-4.8717
1977,NA,1977,1977,-4.9546,-4.9546
1976.83,NA,1976.83,1976.83,-4.989,-4.989
1976.67,NA,1976.67,1976.67,-4.9778,-4.9778
1976.5,NA,1976.5,1976.5,-4.8621,-4.8621
1976.33,NA,1976.33,1976.33,-4.5507,-4.5507
1976.17,NA,1976.17,1976.17,-4.3294,-4.3294
1976,NA,1976,1976,-4.2761,-4.2761
1975.83,NA,1975.83,1975.83,-4.3166,-4.3166
1975.67,NA,1975.67,1975.67,-4.3493,-4.3493
1975.5,NA,1975.5,1975.5,-4.3923,-4.3923
1975.33,NA,1975.33,1975.33,-4.4593,-4.4593
1975.17,NA,1975.17,1975.17,-4.502,-4.502
1975,NA,1975,1975,-4.4775,-4.4775
1974.83,NA,1974.83,1974.83,-4.4246,-4.4246
1974.67,NA,1974.67,1974.67,-4.5166,-4.5166
1974.5,NA,1974.5,1974.5,-4.5849,-4.5849
1974.33,NA,1974.33,1974.33,-4.4913,-4.4913
1974.17,NA,1974.17,1974.17,-4.377,-4.377
1974,NA,1974,1974,-4.3528,-4.3528
