year (AD) [1-1],d18O (permil) [1-1],year (AD) [2-1],Sr_Ca (mmol/mol) [2-1],d18O (permil) [2-1]
1998.21,0.39,1998.29,8.96,-5.41
1998.13,0.35,1998.21,8.9,-5.47
1998.04,0.35,1998.13,8.91,-5.49
1997.96,0.35,1998.04,8.94,-5.43
1997.88,0.36,1997.96,8.92,-5.48
1997.79,0.22,1997.88,8.89,-5.53
1997.71,0.33,1997.79,8.87,-5.71
1997.63,0.38,1997.71,8.81,-5.75
1997.54,0.47,1997.63,8.83,-5.66
1997.46,0.43,1997.54,8.84,-5.54
1997.38,0.4,1997.46,8.89,-5.45
1997.29,0.46,1997.38,8.92,-5.41
1997.21,0.71,1997.29,8.93,-5.33
1997.13,0.5,1997.21,8.91,-5.13
1997.04,0.48,1997.13,8.97,-5.2
1996.96,0.39,1997.04,8.98,-5.19
1996.88,0.5,1996.96,9.01,-5.21
1996.79,0.55,1996.88,8.97,-5.2
1996.71,0.48,1996.79,8.92,-5.27
1996.63,0.53,1996.71,8.92,-5.35
1996.54,0.49,1996.63,8.9,-5.34
1996.46,0.49,1996.54,8.92,-5.33
1996.38,0.52,1996.46,8.89,-5.39
1996.29,0.63,1996.38,8.9,-5.34
1996.21,0.61,1996.29,8.96,-5.1
1996.13,0.61,1996.21,8.94,-5.17
1996.04,0.51,1996.13,8.99,-5.04
1995.96,0.73,1996.04,9.04,-5.03
1995.88,0.51,1995.96,8.98,-4.95
1995.79,0.6,1995.88,9.05,-5
1995.71,0.71,1995.79,9,-5.03
1995.63,0.7,1995.71,8.95,-5.03
1995.54,0.68,1995.63,8.88,-5.2
1995.46,0.53,1995.54,8.87,-5.26
1995.38,0.39,1995.46,8.91,-5.3
1995.29,0.63,1995.38,8.95,-5.36
1995.21,0.48,1995.29,8.93,-5.16
1995.13,0.57,1995.21,8.94,-5.29
1995.04,0.53,1995.13,8.94,-5.21
1994.96,0.45,1995.04,8.89,-5.37
1994.88,0.42,1994.96,8.83,-5.58
1994.79,0.37,1994.88,8.82,-5.63
1994.71,0.4,1994.79,8.82,-5.68
1994.63,0.44,1994.71,8.88,-5.51
1994.54,0.36,1994.63,8.86,-5.52
1994.46,0.48,1994.54,8.87,-5.58
1994.38,0.61,1994.46,8.9,-5.38
1994.29,0.72,1994.38,8.91,-5.23
1994.21,0.78,1994.29,8.93,-5.08
1994.13,0.77,1994.21,8.91,-5.07
1994.04,0.72,1994.13,8.87,-5.16
1993.96,0.41,1994.04,8.87,-5.21
1993.88,0.27,1993.96,8.92,-5.41
1993.79,0.35,1993.88,8.97,-5.42
1993.71,0.2,1993.79,8.9,-5.52
1993.63,0.32,1993.71,8.9,-5.66
1993.54,0.42,1993.63,8.9,-5.55
1993.46,0.6,1993.54,8.94,-5.36
1993.38,0.64,1993.46,8.93,-5.19
1993.29,0.56,1993.38,8.95,-5.11
1993.21,0.56,1993.29,8.99,-5.09
1993.13,0.62,1993.21,8.99,-5.08
1993.04,0.52,1993.13,8.93,-5.17
1992.96,0.67,1993.04,8.9,-5.34
1992.88,0.55,1992.96,8.91,-5.17
1992.79,0.59,1992.88,8.9,-5.32
1992.71,0.66,1992.79,8.9,-5.28
1992.63,0.5,1992.71,8.89,-5.23
1992.54,0.42,1992.63,8.93,-5.31
1992.46,0.51,1992.54,8.9,-5.44
1992.38,0.59,1992.46,8.95,-5.24
1992.29,0.48,1992.38,8.93,-5.19
1992.21,0.6,1992.29,8.98,-5.19
1992.13,0.7,1992.21,8.93,-5.19
1992.04,0.6,1992.13,8.93,-5.1
