year (AD) [1-1],depth (cm) [1-1],d18O (permil) [1-1],year (AD) [1-2],d18O (permil) [1-2]
1997,NA,-17.34,1996,-17.8
1990,NA,-18.58,1995,-18.79
1980,NA,-17.67,1994,-16.49
1970,NA,-17.97,1993,-14.62
1960,NA,-17.91,1992,-16.99
1950,NA,-17.14,1991,-16.27
1940,NA,-18.41,1990,-18.94
1930,NA,-19.01,1989,-17.64
1920,NA,-19.78,1988,-20.78
1910,NA,-18.58,1987,-15.91
1900,NA,-20.24,1986,-20.15
1890,NA,-18.65,1985,-21.89
1880,NA,-18.65,1984,-19.7
1870,NA,-20.2,1983,-18.04
1860,NA,-18.98,1982,-14.74
1850,NA,-19.72,1981,-17.74
1840,NA,-19.97,1980,-19.18
1830,NA,-19.35,1979,-14.28
1820,NA,-20.67,1978,-20.2
1810,NA,-19.63,1977,-17.3
1800,NA,-18.67,1976,-15.38
1790,NA,-21.52,1975,-19.82
1780,NA,-21.04,1974,-18.61
1770,NA,-21.08,1973,-16.35
1760,NA,-19.63,1972,-17.58
1750,NA,-19.29,1971,-18.16
1740,NA,-21.99,1970,-18.97
1730,NA,-19.77,1969,-19.35
1720,NA,-20.68,1968,-17.84
1710,NA,-19.93,1967,-16.65
1700,NA,-19.42,1966,-17.06
1690,NA,-19.58,1965,-15.35
1680,NA,-19.28,1964,-20.55
1670,NA,-20.63,1963,-17.46
1660,NA,-20.72,1962,-18.49
1650,NA,-19.95,1961,-17.81
1640,NA,-20.04,1960,-19.12
1630,NA,-20.84,1959,-19.75
1620,NA,-21.29,1958,-19.59
1610,NA,-20.78,1957,-17.73
1600,NA,-21.1,1956,-17.14
1590,NA,-20.83,1955,-18.62
1580,NA,-20.53,1954,-17.51
1570,NA,-20.71,1953,-21.05
1560,NA,-20.69,1952,-17.13
1550,NA,-19.98,1951,-15.89
1540,NA,-20.56,1950,-14.72
1530,NA,-20.71,1949,-18
1520,NA,-21.33,1948,-17.18
1510,NA,-20.56,1947,-15.28
1500,NA,-19.93,1946,-16.86
1490,NA,-20.34,1945,-14.67
1480,NA,-20.58,1944,-17.04
1470,NA,-20.77,1943,-19.88
1460,NA,-20.24,1942,-17.64
1450,NA,-21.29,1941,-16.13
1440,NA,-20.6,1940,-18.68
1430,NA,-21.38,1939,-16.34
1420,NA,-20.79,1938,-20.95
1410,NA,-21.09,1937,-17.04
1400,NA,-20.46,1936,-18.59
1390,NA,-19.81,1935,-19.8
1380,NA,-20.6,1934,-19.89
1370,NA,-20.71,1933,-17.44
1360,NA,-20.27,1932,-16.6
1350,NA,-20.36,1931,-18.89
1340,NA,-20.69,1930,-18.54
1330,NA,-21.03,1929,-20.78
1320,NA,-20.41,1928,-19
1310,NA,-21.12,1927,-18.08
1300,NA,-20.35,1926,-19.92
1290,NA,-20.42,1925,-20.21
1280,NA,-21,1924,-18.79
1270,NA,-20.24,1923,-21.59
1260,NA,-20.44,1922,-19.79
1250,NA,-21.12,1921,-16.18
1240,NA,-19.67,1920,-15.78
1230,NA,-20.89,1919,-14.73
1220,NA,-21.3,1918,-18.49
1210,NA,-20.69,1917,-19.78
1200,NA,-21.34,1916,-19.25
1190,NA,-20.78,1915,-22
1180,NA,-21.08,1914,-21.65
1170,NA,-20.98,1913,-19.72
1160,NA,-20.77,1912,-19.46
1150,NA,-20.5,1911,-20.16
1140,NA,-20.67,1910,-22.56
1130,NA,-21.94,1909,-19.32
1120,NA,-21.38,1908,-18.08
1110,NA,-20.89,1907,-18.11
1100,NA,-21.48,1906,-19.36
1090,NA,-21.22,1905,-18.42
1080,NA,-21.73,1904,-18.37
1070,NA,-20.56,1903,-17.13
1060,NA,-20.71,1902,-18.2
1050,NA,-21.93,1901,-18.44
1040,NA,-21.71,1900,-20.42
1030,NA,-21.52,1899,-19.51
1020,NA,-21.47,1898,-20.79
1010,NA,-22.18,1897,-18.31
NA,NA,NA,1896,-18.56
NA,NA,NA,1895,-21.33
NA,NA,NA,1894,-18.06
NA,NA,NA,1893,-21.66
NA,NA,NA,1892,-21.46
NA,NA,NA,1891,-19.54
NA,NA,NA,1890,-23.15
NA,NA,NA,1889,-19.24
NA,NA,NA,1888,-17.96
NA,NA,NA,1887,-19.57
NA,NA,NA,1886,-19.48
NA,NA,NA,1885,-18.92
NA,NA,NA,1884,-17.34
NA,NA,NA,1883,-20.12
NA,NA,NA,1882,-15.72
NA,NA,NA,1881,-19.06
NA,NA,NA,1880,-19.07
NA,NA,NA,1879,-20.64
NA,NA,NA,1878,-15.92
NA,NA,NA,1877,-18.28
NA,NA,NA,1876,-18.93
NA,NA,NA,1875,-19.69
NA,NA,NA,1874,-21.31
NA,NA,NA,1873,-18.74
NA,NA,NA,1872,-15.56
NA,NA,NA,1871,-16.38
NA,NA,NA,1870,-21.04
NA,NA,NA,1869,-20.05
NA,NA,NA,1868,-16.55
NA,NA,NA,1867,-18.81
NA,NA,NA,1866,-21.55
NA,NA,NA,1865,-19.64
NA,NA,NA,1864,-17.02
NA,NA,NA,1863,-21.48
NA,NA,NA,1862,-23.14
NA,NA,NA,1861,-21.43
NA,NA,NA,1860,-22.34
