year (AD),depth (cm),d18O (permil),d18O (permil)
1993,0,-0.56,-2.36
1985.3,1,-0.54,NA
1962.1,4,-0.27,NA
1939,7,-0.29,NA
1923.6,9,NA,-1.54
1915.8,10,NA,-2.98
1900.4,12,NA,0.13
1892.7,13,-0.98,-2.21
1885,14,-1.26,-1.08
1877.3,15,0.18,0.05
1869.5,16,0.42,0.26
1861.8,17,0.49,NA
1854.1,18,0.24,0.57
1846.4,19,-0.68,-3.52
1838.7,20,-1.35,-2.51
1831,21,-0.6,-2.39
1823.2,22,-1.17,-2.32
1815.5,23,-1.17,-3.58
1807.8,24,-1.03,-2.82
1800.1,25,-1.54,-3.08
1792.4,26,-0.5,-0.78
1784.7,27,-1.06,-3.02
1777,28,-1.17,-1.38
1769.2,29,-0.94,-3.18
1761.5,30,-1.19,-1.14
1753.8,31,0.16,1.51
1746.1,32,-0.72,0.78
1738.4,33,0.62,-3.35
1730.7,34,-1.08,-1.63
1722.9,35,-1.49,-2.51
1715.2,36,-1.46,-2.19
1707.5,37,-0.58,-2.41
1699.8,38,-1.14,-2.3
1692.1,39,-0.37,-2.48
1684.4,40,-0.36,-2.36
1676.6,41,-0.62,-0.79
1668.9,42,-0.22,-0.42
1661.2,43,-0.27,0.18
1653.5,44,-0.58,-1.35
1645.8,45,-0.7,-1.58
1638.1,46,0.25,-0.05
1630.3,47,-0.22,0.53
1622.6,48,-0.38,-0.33
1614.9,49,0.1,-1.49
1607.2,50,0.26,-0.92
1599.5,51,0,-0.91
1591.8,52,-0.3,-1.02
1584,53,-0.73,-3.79
1576.3,54,-1.74,-2.5
1568.6,55,0.32,-2.91
1560.9,56,-0.86,0.17
1553.2,57,-1.13,0.47
1545.5,58,0.12,-1.79
1537.8,59,-1.81,-2.02
1530,60,-2.14,-1.4
1522.3,61,-1.22,-0.43
1514.6,62,-0.48,0.59
1506.9,63,0.31,1.34
1499.2,64,0.57,-0.3
1491.5,65,-0.82,0.9
1483.7,66,-0.25,-1.68
1476,67,-0.56,-1.65
1468.3,68,-0.63,0.3
1460.6,69,-1.2,-1.14
1452.9,70,-0.83,-1.98
1445.2,71,-0.39,-1.26
1437.4,72,-0.04,-1.96
1429.7,73,0.12,-2.25
1422,74,0.5,0.75
1414.3,75,1.28,-1.52
1406.6,76,1.08,0.86
1398.9,77,-0.82,0.73
1391.1,78,0.63,-1.75
1383.4,79,1.44,1.62
1375.7,80,0.63,1.77
1368,81,1.65,-1.3
1362.7,82,0.27,-2.44
1357.4,83,-1.32,-0.16
1352.2,84,-1.3,-2.01
1346.9,85,-0.47,NA
1341.6,86,-1.93,-2.41
1336.3,87,-0.98,-0.57
1331,88,-0.39,-0.41
1325.7,89,-0.22,0.03
1320.5,90,-0.03,1.41
1315.2,91,-1.73,-3.8
1309.9,92,-0.07,-2
1304.6,93,-0.62,0.08
1299.3,94,-0.52,0.91
1294.1,95,-0.53,0.65
1288.8,96,0.61,0.97
1283.5,97,0.43,-1.34
1278.2,98,0.28,-0.83
1272.9,99,-0.46,-0.92
1267.7,100,0.26,-0.66
1262.4,101,0.69,-1.07
1257.1,102,0.75,1.13
1251.8,103,-1.78,-3.1
1246.5,104,-0.78,-0.16
1241.3,105,1,-1.01
1236,106,1.15,1.27
1230.7,107,-0.88,-2.55
1225.4,108,-0.41,-0.62
1220.1,109,-0.86,NA
1214.8,110,-1.39,NA
1204.3,112,0.39,NA
1199,113,-0.84,1.27
1193.7,114,-0.51,-2.44
1188.4,115,-0.83,-1.14
1183.2,116,-0.68,-1.38
1177.9,117,-1.11,-1.55
1172.6,118,-0.28,-0.93
1167.3,119,-0.44,-3.53
1162,120,-1.48,0.69
1156.8,121,-1.41,-0.79
1151.5,122,-1.19,-2.2
1146.2,123,-0.61,-2.05
1140.9,124,-1.55,-3.17
1135.6,125,0.64,-0.33
1130.3,126,-0.27,-3.44
1125.1,127,-0.94,-3.52
1119.8,128,0.51,-2.23
1114.5,129,-1.93,-1.64
1109.2,130,-2.25,-4.4
1103.9,131,-1.32,-1.36
1098.7,132,0.04,-2.93
1093.4,133,-0.99,-1.95
1088.1,134,-0.11,0.58
1082.8,135,0.05,0.9
1077.5,136,-0.81,-0.92
1072.3,137,-0.55,-0.84
1067,138,0.33,-0.8
1061.7,139,0.49,0.79
1056.4,140,0.6,0.82
1051.1,141,0.78,1.36
1045.8,142,0.5,0.67
1040.6,143,0.39,-0.22
