year (AD),depth (cm),d18O (permil),d18O (permil),d18O (permil),d18O (permil)
1993,NA,-10.01,-11.29,-11.37,-10.56
1992,NA,-12.55,-13.48,-11.45,-13.45
1991,NA,-11.14,-12.77,-10.56,-14.8
1990,NA,-13.49,-14.21,-10.66,-12.44
1989,NA,-15.44,-14.11,-11.56,-13.87
1988,NA,-13.86,-12.02,-12.2,-11.76
1987,NA,-11.52,-18.02,-12.41,-10.39
1986,NA,-14.22,-12.67,-13.69,-13.44
1985,NA,-15.08,-13.97,-15.59,-14.52
1984,NA,-15.73,-14.86,-14.9,-13.61
1983,NA,-9.98,-10.73,-14.33,-10.2
1982,NA,-15.1,-9.8,-15.68,-16.07
1981,NA,-13.96,-15.91,-14.45,-16.36
1980,NA,-15.31,-14.92,-13.49,-14.59
1979,NA,-10.07,-14.4,-12.98,-13.33
1978,NA,-11.44,-14.28,-12.21,-11.4
1977,NA,-12.29,-12.51,-13,-13.55
1976,NA,-13.55,-13.37,-13.9,-13.79
1975,NA,-17.72,-14.6,-14.4,-11.8
1974,NA,-13.31,-13.92,-14.19,-11.27
1973,NA,-11.3,-14.68,-13.64,-13.94
1972,NA,-11.82,-11.83,-12.91,-12.25
1971,NA,-14.62,-11.24,-12.17,-11.63
1970,NA,-10.56,-11.02,-11.45,-13.21
1969,NA,-15.41,-11.84,-11.13,-13.87
1968,NA,-12.17,-13.56,-11.14,-12.25
1967,NA,-13.09,-15.3,-11.28,-12.74
1966,NA,-14.99,-13.01,-12.78,-12.67
1965,NA,-16.28,-14.78,-13.84,-13.29
1964,NA,-13.72,-15.11,-13.08,-11.65
1963,NA,-14.58,-11.46,-12.8,-13.9
1962,NA,-13.45,-12.27,-12.77,-16.34
1961,NA,-17.35,-15.65,-13.31,-14.86
1960,NA,-12.52,-14.03,-14.12,-12.43
1959,NA,-11.05,-12.66,-14.35,-12.89
1958,NA,-13.23,-13.6,-13.69,-14.22
1957,NA,-17.68,-13.42,-14.51,-13.31
1956,NA,-14.85,-12.35,-12.54,-11.07
1955,NA,-14.69,-14.8,-11.9,-12.91
1954,NA,-13.33,-14.8,-13.52,-14.74
1953,NA,-16.02,-13.01,-14.4,-14.26
1952,NA,-11.6,-13.14,-14.45,-14.81
1951,NA,-14.48,-12.42,-14.56,-13.74
1950,NA,-13.96,-10.3,-14.05,-11.66
1949,NA,-10.72,-11.83,-12.45,-12.2
1948,NA,-12.38,-12.76,-10.81,-11.82
1947,NA,-10.4,-11.25,-11.5,-11.95
1946,NA,-13.03,-13.04,-12.31,-14.11
1945,NA,-11.28,-12.93,-13.15,-14.03
1944,NA,-12.61,-14.71,-13.49,-16.13
1943,NA,-16.35,-17.09,-13.49,-15.21
1942,NA,-15.18,-16.37,-13.49,-14.01
1941,NA,-13.02,-14.53,-13.52,-14.94
1940,NA,-18.03,-14.44,-13.68,-15.17
1939,NA,-14.07,-16.26,-13.89,-11.53
1938,NA,-14.73,-13.22,-14.08,-13.84
1937,NA,-10.42,-13.46,-14.03,-10.79
1936,NA,-14.05,-10.82,-13.73,-13.32
1935,NA,-17.01,-12.3,-13.35,-13.45
1934,NA,-14.04,-17.02,-13.28,-12.78
1933,NA,-12.77,-14.45,-13.5,-15
1932,NA,-13.55,-12.73,-13.96,-14.29
1931,NA,-12.01,-15.39,-14.3,-14.65
1930,NA,-14.02,-15.89,-14.56,-15.69
1929,NA,-14.24,-15.98,-14.74,-15
1928,NA,-18.92,-15.74,-14.94,-14.61
1927,NA,-17.05,-14.7,-15.18,-13.64
1926,NA,-13.78,-14.21,-15.43,-15.15
1925,NA,-10.03,-15.66,-15.51,-14.81
1924,NA,-13.32,-13.55,-15.23,-13.95
1923,NA,-14.99,-14.03,-14.74,-13.32
1922,NA,-13.68,-14.18,-14.06,-14.57
1921,NA,-12.03,-13.33,-13.12,-16.33
1920,NA,-15.88,-13.77,-12.51,-15.66
1919,NA,-14.36,-13.4,-12.08,-13.42
1918,NA,-13.86,-14.3,-12.16,-12.5
1917,NA,-15.2,-15.41,-12.36,-13.96
1916,NA,-13.96,-16.32,-12.62,-12.07
1915,NA,-16.02,-13.79,-13.04,-13
1914,NA,-13.06,-13.82,-13.48,-14.84
1913,NA,-11.19,-13.06,-13.95,-15.83
1912,NA,-13.66,-10.93,-14.47,-14.96
1911,NA,-12.98,-13.23,-14.88,-13.29
1910,NA,-14.7,-14.15,-14.95,-13.89
1909,NA,-15.2,-12.64,-14.75,-13.53
1908,NA,-15.47,-15.01,-14.34,-14.65
1907,NA,-14.64,-14.78,-14.55,-16.74
1906,NA,-13.18,-12.82,-15.08,-14.43
1905,NA,-15.67,-15.98,-15.44,-13.39
1904,NA,-14.59,-17.37,-15.49,-13.95
1903,NA,-13.67,-14.34,-15.52,-13.69
1902,NA,-13.53,-14.75,-15.71,-13.92
1901,NA,-15.91,-14.13,-16.1,-14.05
1900,NA,-15.86,-11.88,-16.37,-13.44
1899,NA,-15.22,-14.95,-16.31,-14.63
1898,NA,-19.06,-16.29,-15.96,-15.21
1897,NA,-14.87,-16.09,-15.56,-15.27
1896,NA,-15.87,-17.83,-15.15,-16.92
1895,NA,-18.1,-14.43,-15.11,-17.25
1894,NA,-19.89,-15.61,-16.06,-15.17
1893,NA,-19.94,-16.47,-17.24,-13.52
1892,NA,-17.06,-13.05,-18.39,-19.4
1891,NA,-13.28,-13.06,-19.08,-15.28
1890,NA,-11.14,-12.68,-19.18,-14.95
1889,NA,-15.13,-12.21,-18.29,-14.34
1888,NA,-16.54,-12.51,-17.24,-12.89
1887,NA,-14.96,-14.57,-15.85,-13.79
1886,NA,-14.03,-12.36,-14.13,-15.33
1885,NA,-14.02,-12.53,-12.86,-14.05
1884,NA,-14.12,-14.12,-15.08,-12.31
1883,NA,-14.17,-11.17,-18.95,-14.1
1882,NA,-13.91,-13.06,-16.63,-13.12
1881,NA,-12.77,-15.02,-14.22,-12.99
1880,NA,-12.18,-14.47,-14.62,-14.69
