year (AD),depth (cm),d18O (permil)
1638.3,NA,-4.008
1639.3,NA,-3.977
1640.3,NA,-3.853
1641.3,NA,-4.113
1642.3,NA,-3.913
1643.3,NA,-4.015
1644.3,NA,-4.077
1645.3,NA,-4.069
1646.3,NA,-4.276
1647.3,NA,-4.176
1648.3,NA,-4.048
1649.3,NA,-4.055
1650.3,NA,-4.131
1651.3,NA,-3.992
1652.3,NA,-4.042
1653.3,NA,-3.997
1654.3,NA,-4.229
1655.3,NA,-4.234
1656.3,NA,-4.051
1657.3,NA,-3.87
1658.3,NA,-4.13
1659.3,NA,-4.011
1659.3,NA,-3.979
1660.3,NA,-3.995
1660.3,NA,-4.081
1661.3,NA,-4.174
1661.3,NA,-4.273
1662.3,NA,-4.212
1662.3,NA,-4.247
1663.3,NA,-4.138
1663.3,NA,-4.102
1664.3,NA,-4.008
1664.3,NA,-4.077
1665.3,NA,-3.93
1665.3,NA,-3.838
1666.3,NA,-4.076
1667.3,NA,-3.849
1668.3,NA,-4.019
1669.3,NA,-4.074
1670.3,NA,-4.097
1671.3,NA,-4.097
1672.3,NA,-4.051
1673.3,NA,-4.09
1674.3,NA,-4.032
1675.3,NA,-3.84
1676.3,NA,-3.935
1677.3,NA,-4.073
1678.3,NA,-4.23
1679.3,NA,-3.981
1680.3,NA,-3.957
1681.3,NA,-3.818
1682.3,NA,-4.044
1683.3,NA,-4.201
1684.3,NA,-3.84
1685.3,NA,-4.055
1686.3,NA,-4.126
1687.3,NA,-4.051
1688.3,NA,-3.907
1689.3,NA,-3.928
1690.3,NA,-4.284
1691.3,NA,-4.028
1692.3,NA,-3.999
1693.3,NA,-4.117
1694.3,NA,-4.067
1695.3,NA,-4.039
1696.3,NA,-4.037
1697.3,NA,-4.216
1698.3,NA,-4.171
1699.3,NA,-4.119
1700.3,NA,-4.091
1701.3,NA,-4.134
1702.3,NA,-4.075
1703.3,NA,-3.968
1704.3,NA,-4.071
1705.3,NA,-4.228
1706.3,NA,-4.123
1707.3,NA,-4.163
1708.3,NA,-4.181
1709.3,NA,-4.288
1710.3,NA,-4.367
1714.3,NA,-4.114
1715.3,NA,-4.135
1716.3,NA,-4.149
1717.3,NA,-4.015
1718.3,NA,-3.854
1719.3,NA,-4.133
1720.3,NA,-4.255
1721.3,NA,-4.24
1722.3,NA,-4.076
1723.3,NA,-4.217
1724.3,NA,-4.388
1725.3,NA,-4.195
1726.3,NA,-4.203
1727.3,NA,-4.246
1728.3,NA,-4.143
1729.3,NA,-4.088
1730.3,NA,-3.689
1731.3,NA,-4.219
1732.3,NA,-4.084
1733.3,NA,-4.084
1734.3,NA,-4.281
1735.3,NA,-3.93
1736.3,NA,-4.221
1737.3,NA,-4.171
1738.3,NA,-4.204
