year (AD),d18O (permil),thickness (mwe),dust (permil),F (ppb),Cl (ppb),sulfate (ppb),nitrate (ppb),Na (ppb),ammonium (ppb),K (ppb),Mg (ppb),Ca (ppb)
2009,-18.5905,1.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,-16.3244,1.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,-16.2324,1.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,-17.0112,1.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,-18.6648,1.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,-15.6844,1.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,-17.1188,1.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,-18.0914,1.2286,39152.72727,0.06909091,10.53,84.47909,46.662273,2.0959091,59.66364,6.870909,0.8145455,9.450909
2001,-16.6554,1.6814,63897.03704,0.1248148,15.44333,38.45148,53.682593,2.6640741,58.79222,6.995926,1.077037,4.419259
2000,-17.0399,1.0571,64992.85714,0,40.42714,48.14,47.02,36.92,43.12643,29.54214,11.78,18.12357
1999,-20.2535,0.4664,46363.33333,0.19,14.56,11.99667,41.588333,0,51.31333,3.588333,0.4633333,2.306667
1998,-17.8063,1.181,48068.75,0.35125,13.49188,10.64937,48.654375,12.059375,45.11062,2.7425,0.290625,2.16
1997,-16.5724,1.1911,82896,0.1733333,16.71867,8.959333,66.441333,73.752,40.22467,9.982,1.225333,3.121333
1996,-15.0907,2.03,63801.73913,0.4943478,28.46652,10.98,55.211304,32.898261,32.83391,11.01478,0.39,2.526957
1995,-15.4626,1.4412,89676.25,0.47875,23.45563,10.84187,1137.4031,5200.0962,24.9375,26.62438,1.518125,4.28625
1994,-16.0289,0.6454,87431.42857,0,26.62429,11.32,896.80429,3405.9629,20.34714,22.04714,0.75,1.774286
1993,-16.2337,0.8745,51904.44444,0.2788889,36.50889,15.96778,137.19111,356.91333,26.32222,16.14556,1.493333,4.786667
1992,-16.5532,0.9227,62362.22222,0.5988889,23.15,12.30444,158.11444,397.36778,28.85556,12.67667,0.7022222,1.333333
1991,-16.7534,0.8908,68802.22222,0.5977778,26.03778,16.91333,129.35222,323.20222,24.52444,12.55556,0.4066667,2.068889
1990,-16.6663,1.0287,62640,0.7923077,40.11231,61.84769,249.54231,699.89077,33.68231,22.71769,1.778462,6.761538
1989,-16.775,0.6141,47357.14286,0.1214286,50.63429,52.97286,474.66714,1430.2014,22.44857,26.76429,1.29,3.121429
1988,-16.4506,1.4607,35681.11111,0.14,46.82056,31.12,234.75278,649.33833,19.96611,24.02722,0.9733333,3.201111
1987,-16.8634,0.6269,37762.85714,0.1685714,15.76571,4.358571,36.722857,60.964286,18.82,4.515714,0.1342857,0
1986,-17.4014,0.5999,30768.57143,0.09428571,13.12571,3.618571,31.107143,43.445714,16.32429,3.807143,0.1228571,0.2614286
1985,-17.0145,1.8696,32153,0,19.3745,7.509,247.9115,744.6055,25.605,9.031,0.559,1.2715
1984,-17.2963,1.6504,18553.33333,0.02777778,16.29944,4.766667,187.84444,567.66556,22.24778,7.9994440000000004,0.5311111,1.204444
1983,-19.1005,1.6845,27289.41177,0.1094118,10.84471,0.8341176,26.602941,41.849412,13.43471,2.497647,0.04823529,0.1576471
1982,-18.01,1.2584,17272.30769,0.3915385,12.19231,0.3746154,36.786923,23.076154,15.58692,4.548462,0.2776923,0.1169231
1981,-17.2869,1.2856,14470.76923,0,11.83692,1.22,31.353077,0,24.95077,2.623077,0.09,1.708462
1980,-16.9496,1.1401,16170,0.0475,10.45417,1.918333,31.554167,9.6216667,45.59333,0.4216667,0.05,4.8
1979,-16.9236,1.2112,18412.85714,0,9.345714,0.7607143,27.055,17.740714,26.99143,1.104286,0,0
1978,-17.3656,1.284,17805.33333,0.088,8.459333,1.236667,32.192667,49.017333,27.90667,0.9273333,0,0.4346667
1977,-17.729,0.8212,23144.44444,0.1177778,12.26556,1.081111,28.125556,35.178889,25.19333,7.557778,0,0.33
1976,-18.0525,1.2058,13913.84615,0.08538462,8.364615,0,22.713846,6.8053846,28.55231,1.637692,0,0
1975,-18.2245,1.1205,12429.23077,0.04,10.00154,0.3784615,47.133846,89.106923,30.97385,1.550769,0.03923077,0.1461538
1974,-19.1972,1.5331,12192.94118,0,8.363529,0.1211765,23.644706,19.280588,26.34647,0.7464706,0,0
1973,-19.6594,1.1634,13038.46154,0.2038462,7.079231,0,28.358462,42.94,20.79923,1.313077,0.02692308,0.09769231
1972,-19.0357,1.2679,15181.33333,0,13.414,0,29.768667,11.492667,27.16933,1.541333,0,0.164
1971,-19.0646,1.146,10873.84615,0,10.12231,0,21.524615,21.520769,15.93538,1.817692,0,0
1970,-19.0065,1.2108,17332.30769,0,7.780769,0,13.941538,1.3746154,17.33769,0.5669231,0,0
1969,-17.2204,1.0794,9078.333333,0.04416667,10.26167,0,16.135,8.3016667,17.22917,0.3941667,0,0
1968,-15.8088,1.3959,13338.75,0,8.95125,0,19.559375,4.11,20.98625,0.96875,0.026875,0.095625
1967,-16.1259,1.4392,10835.29412,0,8.881765,0.09176471,9.8023529,1.3435294,12.10294,1.645882,0.06235294,0.9111765
1966,-15.9491,0.9558,13078.18182,0,9.013636,0.09272727,17.302727,10.678182,14.65909,1.33,0.1554545,0.8027273
1965,-16.2269,1.2449,9121.428571,0,10.04,0.1457143,16.107143,1.6328571,13.46143,1.211429,0.02642857,0.7592857
1964,-16.1363,1.1175,9058.333333,0,11.5725,0,15.738333,0.81083333,15.22667,0.4508333,0.05083333,1.686667
1963,-16.7698,1.6173,8063.529412,0,11.53235,0.2729412,25.175882,32.171765,15.59176,1.242353,0.09705882,2.654706
1962,-17.7274,1.5139,10436.25,0,11.3225,0,25.92625,8.89625,20.63687,0.374375,0,0.50875
1961,-18.13,1.4685,9017.333333,0,9.184,0,24.550667,3.66,21.376,0.4446667,0,0.2713333
1960,-17.328,1.0049,12248,0,7.626,0,24.973,4.004,14.53,0.581,0.033,0.45
1959,-17.9312,0.8407,13947.5,0,9.1475,1.3875,30.69375,8.48875,21.8725,1.46625,0,0
1958,-16.7379,1.5122,17578.57143,0.1814286,8.187143,0.2135714,17.395,5.0714286,18.04857,2.726429,0,0
1957,-16.0633,1.1626,17585.45455,0.04545455,8.487273,0,16.71,0,16.97273,1.363636,0,0
1956,-15.8152,1.0144,13155.55556,0.06666667,9.817778,0,21.34,10.276667,17.73333,0.9066667,0,0.1988889
1955,-17.7055,1.2732,10778.33333,0.085,8.27,0,11.4725,5.3741667,14.20833,1.636667,0,0.1366667
1954,-18.4358,1.444,11627.69231,0.04230769,8.243077,0,7.3261538,0,11.43077,0.3930769,0,0.09846154
1953,-19.6733,1.3586,12903.33333,0.04666667,8.53,0,10.456667,0,14.26583,0.21,0,0.1116667
1952,-18.0889,1.1662,9612,0.118,8.778,0,14.362,12.843,13.443,0.195,0,0.159
1951,-18.6924,1.038,11266.66667,0.1155556,8.833333,0,18.863333,6.2688889,17.04222,0.9411111,0,0
1950,-19.1082,1.2505,11369.09091,0,8.962727,0,12.876364,0,14.73455,1.339091,0,0
1949,-18.01,0.9821,9317.777778,0,9.136667,0,8.9522222,0.81222222,12.51222,0.8955556,0,0.1666667
1948,-18.2825,1.6988,12904.28571,0.08,9.542857,0,15.740714,0,16.24571,0.4114286,0,0.1564286
1947,-16.797,1.2323,15083.63636,0,9.930909,0,31.05,13.518182,19.10545,0.7472727,0,0
1946,-18.8997,1.7139,12196,0,10.73067,0,19.397333,5.2386667,21.96467,1.128667,0,0
1945,-18.6966,1.1548,10460,0.052,9.966,0,14.288,0,20.371,1.102,0,0.712
1944,-16.4398,1.3433,15073.33333,0.325,12.275,0,31.434167,57.1525,16.79583,2.4325,0,0
1943,-17.658,1.1375,18304,0,11.739,0,31.199,52.962,18.24,1.596,0,0
1942,-15.9261,1.237,23129.09091,0,14.32727,0.57,66.281818,175.76273,20.07545,3.870909,0.1054545,0.1409091
1941,-15.9257,0.6945,44426.66667,0,8.121667,0,17.543333,10.583333,18.90333,2.4,0.16,1
1940,-13.9509,0.9205,25007.5,0,8.3775,0.125,15.44375,0,16.7725,1.94625,0.32375,1.02125
1939,-16.3169,1.1963,12742,0,14.15,1.903,65.134,27.786,22.003,4.221,0.604,2.064
1938,-16.5066,1.1081,23246.66667,0.08222222,20.24222,3.103333,70.507778,25.421111,22.49778,10.55556,0.6044444,1.985556
1937,-15.79,1.1856,15562.22222,0.05777778,12.04333,0.8788889,20.194444,6.7133333,12.41222,1.627778,0.14,1.605556
1936,-15.65,0.8812,25080,0,11.92429,0.15,15.487143,8.9985714,17.93143,0,0.4542857,4.134286
1935,-17.1987,1.2865,18482,0,11.949,0.191,13.136,12.334,15.144,1.445,0.385,5.029
1934,-18.6638,1.3482,24232,0,11.966,0,11.766,0.877,19.195,0,0.194,5.625
1933,-19.0329,1.3032,22856,0,9.253,0.124,5.024,1.574,12.873,0.768,0.083,3.435
1932,-19.785,1.2848,26586,0,10.676,0.12,9.721,2.826,18.975,4.106,0.067,0.478
1931,-20.2,0.7805,22853.33333,0,9.421667,0,16.466667,0,16.83,1.581667,0,0
1930,-17.9585,1.6849,11670.76923,0,9.072308,0,10.306154,1.16,17.29077,0.73,0,0
1929,-17.647,1.3439,24292,0,10.697,0.224,16.504,7.521,13.186,1.695,0.035,0.167
1928,-17.3575,1.0934,27172.5,0,8.23625,0.24625,24.53,0,22.06,1.8725,0.3625,0.175
1927,-17.1729,1.0276,26771.42857,0,7.761429,0.2357143,5.0057143,3.6057143,15.94143,1.581429,0.3457143,0.2271429
1926,-16.0544,1.2747,16068.88889,0,6.344444,0,8.7044444,6.8622222,18.18667,1.228889,0.05777778,0
1925,-16.4067,1.2338,20553.33333,0.08555556,8.943333,0.72,5.8077778,10.656667,14.90778,2.283333,0.03444444,0.1844444
1924,-16.3851,1.1945,14491.11111,0,6.354444,0,8.1322222,13.848889,17.30778,1.122222,0,0
1923,-17.5278,1.5015,16594.54546,0,10.58364,0,16.9,10.219091,19.82273,2.091818,0,0
1922,-18.6563,1.2486,15031.11111,0,8.808889,0,6.8922222,0.93111111,17.84667,1.48,0,0.24
1921,-19.9204,1.3163,12653.33333,0,10.99222,0,7.5044444,0,15.40444,0.4733333,0,0
1920,-19.7896,1.4749,14478,0.311,9.682,0.133,8.696,0,17.901,1.61,0.07,0
1919,-18.1946,1.017,21222.85714,0.9442857,13.65286,0,21.067143,0,27.64429,3.6114289999999998,0.1614286,0.2571429
1918,-19.0076,1.3939,11640,0.953,14.935,0,12.782,0,23.735,0.827,0.12,0
1917,-18.4211,1.3578,15546.66667,0.6888889,13.93222,0,8.2655556,0,25.62667,0,0,0
1916,-18.2871,1.0825,10094.28571,0.5357143,15.33571,0.5342857,6.0685714,1.6957143,21.79143,1.882857,0.03714286,0.4771429
1915,-17.2937,1.2339,26935,0,12.5225,0.695,19.61875,12.59625,27.10375,7.9725,0.0325,0
1914,-15.7286,1.0897,15465.71429,0,11.03,0,14.551429,0,22.25,0.2828571,0,0
1913,-17.594,0.765,26564,0.128,17.67,0,15.662,0,28.242,0,0,0
1912,-16.3156,1.3666,19835.55556,0,15.45778,0,9.4688889,0,20.79444,0,0,0
1911,-17.8444,1.3805,18851.11111,0.06444444,14.49111,0,8.7911111,0,18.20111,0,0,0
1910,-19.6886,1.1284,28571.42857,0,13.07143,0.5571429,6.0457143,0,22.03857,1.851429,0.08,0.2971429
1909,-18.6817,0.9844,23036.66667,0,22.11,0.9733333,10.643333,5.3983333,25.285,5.99,0.215,0.2466667
1908,-19.3089,1.4914,17157.77778,0,15.60556,0.4088889,10.365556,0,23.37222,0.2888889,0.06,0
1907,-18.63,0.9679,20453.33333,0,12.725,1.071667,9.745,0,28.22333,0.9333333,0.05,0
1906,-15.0717,0.9775,31080,0,14.455,0,24.78,3.62,27.28167,0,0,0
1905,-14.818,0.7985,12776,0,14.288,0,4.466,0,25.692,0.386,0,0
1904,-16.6117,0.9391,15156.66667,0,12.39667,0,6.7766667,0,24.61833,0.485,0,0
1903,-17.375,0.6322,19135,0,14.165,0,9.545,0,24.44,0,0,0
1902,-18.6286,1.1172,15277.14286,0,12.50714,0,11.315714,3.3171429,22.97143,0.64,0,0
1901,-18.45,1.128,21796.66667,0,10.90333,0,10.63,0,23.42167,0,0,0
1900,-16.765,0.9762,24576.66667,0,25.41833,0.5216667,9.605,10.423333,18.80667,13.08,0.1466667,0.955
1899,-16.5981,1.1499,15520,0,12.54571,0,9.35,0,18.29,0,0,0
1898,-18.426,1.1285,18408.57143,0,11.48143,0,4.7471429,0.76571429,14.21143,0,0,0
1897,-19.0743,0.9281,24211.42857,0,8.581429,0,2.2228571,0.74142857,9.968571,0.2742857,0,0
1896,-17.3357,0.9406,24328.57143,0,5.72,0,6.9214286,4.0285714,9.172857,0,0,0
1895,-16.6363,1.0905,17915,0,6.62625,0,2.67875,0,7.2625,1.08125,0,0
1894,-18.5518,1.4826,20380,0,10.19909,0,11.255455,0,13.32364,0,0,0
1893,-20.3771,0.975,24825.71429,0,9.27,0.2085714,13.454286,33.68,10.01286,0.7585714,0,0
1892,-19.4337,1.1214,31495,0,8.19625,0,3.70625,0.9425,9.41375,0.31375,0,0
1891,-18.3362,1.0278,25227.5,0,8.76625,0,3.37875,1.8025,8.98125,1.635,0,0.1625
1890,-18.2529,0.9752,25725.71429,0,9.785714,0,5.9785714,0,11.23714,0,0,0
1889,-19.0925,1.137,30042.5,0,7.50375,0,5.2175,0,9.34125,0,0.04,0.69625
1888,-17.2117,0.8507,34646.66667,0,8.013333,0,16.661667,0,14.45333,0,0,0
