year (AD) [1-1],depth (cm) [1-1],d18O (permil) [1-1],year (AD) [2-1],depth (cm) [2-1],d18O (permil) [2-1]
-198618,5,-6102,-1905513,4,-6751
-2002417,1,-6987,-1903265,2,-6971
-2001113,15,-6841,-1900455,4,-6876
-1999809,2,-7136,-1897645,6,-6824
-1998505,25,-6968,-1894835,8,-6771
-197966,3,-6972,-1892025,1,-696
-1995897,35,-6713,-1889215,12,-6967
-1994593,4,-6899,-1886405,14,-6819
-1993289,45,-672,-1883595,16,-7041
-1991985,5,-6938,-1880785,18,-7027
-197314,55,-6728,-1877975,2,-7
-1989377,6,-6558,-1875165,22,-7076
-1988073,65,-6786,-1872356,24,-6944
-1986769,7,-7179,-1869546,26,-7282
-1985465,75,-6968,-1866736,28,-7154
-196662,8,NA,-1863926,3,-7338
-1982857,85,-6935,-1859430,332,NA
-1981554,9,-7304,-1854934,364,-7174
-1980250,95,-7037,-1850438,396,-7164
-1978946,1,-7007,-1845942,428,-7004
-1977642,105,-6912,-1841446,46,-6792
-1976338,11,-6687,-1836950,492,-697
-1975034,115,-6781,-1832454,524,-7349
-1973730,12,-6985,-1827958,556,-7559
-1972426,125,-6844,-1823462,588,-7486
-1971122,13,-681,-1818967,62,-7344
-1969818,135,-7013,-1815922,642,-7328
-1968514,14,-7018,-1812878,663,-7463
-1967210,145,-6843,-1809834,685,-7364
-1965906,15,-6917,-1806790,707,-7497
-1964602,155,-6708,-1803746,728,-7606
-1963298,16,-6743,-1800702,75,-7534
-1961994,165,-6801,-1796955,777,-7444
-1960690,17,-6754,-1793209,803,-7526
-1959386,175,NA,-1789462,83,-7801
-1958082,185,-6473,-1785715,857,-7643
-1956778,195,-6855,-1781969,883,-7518
-1955474,205,-6793,-1778222,91,-7332
-1954170,215,-6896,-1774518,936,-7208
-1952866,225,-6847,-1770814,963,-7195
-1951562,235,-6706,-1767110,989,-736
-1950258,245,-6731,-1763406,1015,-8106
-1948954,255,-6696,-1759702,1042,-7613
-1947650,265,-688,-1755998,1068,-7494
-1946346,275,-6885,-1752294,1095,-757
-1945042,285,-6887,-1748590,1121,-7601
-1943738,295,-6808,-1744886,1147,-7541
-1942434,305,-677,-1741182,1174,-7538
-1941130,315,-6828,-1737478,12,-7482
-1939826,325,-6905,-1734668,122,-7787
-1938522,335,NA,-1731858,124,-7823
-1937219,345,-6805,-1729048,126,-7465
-1935915,355,-6768,-1726238,128,-7543
-191707,365,-6875,-1723428,13,-7473
-1933307,375,-7112,-1720618,132,-7327
-1932003,385,-6877,-1717808,134,-7226
-1930699,395,-6907,-1714999,136,-7413
-1929395,405,-694,-1712189,138,-6968
-191055,415,-6875,-1709379,14,-7174
-1926787,425,-6805,-1706569,142,-7689
-1925483,435,-6725,-1703759,144,-7481
-1924179,445,-6754,-1700949,146,-7906
-1922875,455,-7199,-1698139,148,-7631
-190403,465,-6991,-1695329,15,-7687
-1920267,475,-706,-1691197,1529,-7583
-1918963,485,-6891,-1687064,1559,-7599
-1917659,49,NA,-1682932,1588,-7462
-1916355,495,-7016,-1678938,1617,-7571
33,5,NA,-1675035,1644,-7476
-1913747,505,-7019,-1671132,1672,-756
-1912443,51,-6591,-1667229,17,-7503
-1911139,515,-6284,-1663717,1725,-7423
-1909835,52,-6868,-1660205,175,-7567
-189099,525,-6885,-1656692,1775,-754
-1907227,53,-7159,-1653180,18,-766
-1905923,535,-7053,-1649667,1825,-7687
-1904619,54,-6978,-1646155,185,-7747
-1903315,545,-7054,-1642642,1875,-7852
-188447,55,NA,-1639130,19,-7807
-1900707,555,-6961,-1635618,1925,-7759
NA,NA,NA,-1632105,195,-7584
NA,NA,NA,-1628593,1975,-8077
NA,NA,NA,-1625080,2,-7988
NA,NA,NA,-1621568,2025,-8081
NA,NA,NA,-1618055,205,-7643
NA,NA,NA,-1614543,2075,-8083
NA,NA,NA,-1611030,21,-7909
NA,NA,NA,-1607518,2125,-7707
NA,NA,NA,-1604006,215,-784
NA,NA,NA,-1600844,2173,-7588
NA,NA,NA,-1597683,2195,-7449
NA,NA,NA,-1596489,2218,-7542
NA,NA,NA,-1595786,224,-7605
NA,NA,NA,-1595083,2263,-7627
NA,NA,NA,-1594380,2285,-7798
NA,NA,NA,-1593677,2308,-7867
NA,NA,NA,-1592974,233,-7835
NA,NA,NA,-157473,2353,-7677
NA,NA,NA,-1591568,2375,-7748
NA,NA,NA,-1590865,2398,-7712
NA,NA,NA,-1590162,242,-769
NA,NA,NA,-1589459,2443,-7665
NA,NA,NA,-1588756,2465,-7675
NA,NA,NA,-1588053,2488,-7506
NA,NA,NA,-1587350,251,-7579
NA,NA,NA,-1586647,2533,-7602
NA,NA,NA,-1585944,2555,-7497
NA,NA,NA,-156770,2578,-7382
NA,NA,NA,-1584538,26,NA
NA,NA,NA,-1583627,2629,-7385
NA,NA,NA,-1582716,2658,-7821
NA,NA,NA,-1581804,2688,-8067
NA,NA,NA,-1580893,2717,-8056
NA,NA,NA,-1579982,2746,-8009
NA,NA,NA,-156153,2775,-7992
NA,NA,NA,-1578159,2804,-7963
NA,NA,NA,-1577248,2833,-771
NA,NA,NA,-1576337,2863,-7627
NA,NA,NA,-1575426,2892,-7811
NA,NA,NA,-1574514,2921,-7489
NA,NA,NA,-1573603,295,-7647
NA,NA,NA,-155575,296,-7566
NA,NA,NA,-1572978,297,-7567
NA,NA,NA,-1572666,298,NA
NA,NA,NA,-1572353,299,-7591
NA,NA,NA,-155450,3,-7595
NA,NA,NA,-1571260,3025,-7618
NA,NA,NA,-1570479,305,-7477
NA,NA,NA,-1569698,3075,-7691
NA,NA,NA,-1568917,31,-7634
NA,NA,NA,-1568136,3125,-7481
NA,NA,NA,-1567355,315,-758
NA,NA,NA,-1566573,3175,-6937
NA,NA,NA,-1565792,32,-749
NA,NA,NA,-154747,3225,-757
NA,NA,NA,-1564230,325,-7675
NA,NA,NA,-1563449,3275,-7588
NA,NA,NA,-1562668,33,-7276
NA,NA,NA,-1561887,3325,-737
NA,NA,NA,-1561106,335,-757
NA,NA,NA,-1560254,3377,-7532
NA,NA,NA,-1559402,3405,-7619
NA,NA,NA,-1558550,3432,-7156
NA,NA,NA,-1557698,3459,-7341
NA,NA,NA,-1556845,3486,-7278
NA,NA,NA,-1555993,3514,-7218
NA,NA,NA,-153760,3541,-728
NA,NA,NA,-1554289,3568,-7158
NA,NA,NA,-1553437,3595,-7207
NA,NA,NA,-1552585,3623,-7057
NA,NA,NA,-1551733,365,-7082
NA,NA,NA,-1550952,3675,-7363
NA,NA,NA,-153263,37,-7369
NA,NA,NA,-1549390,3725,-7009
NA,NA,NA,-1548609,375,-7261
NA,NA,NA,-1547828,3775,-6503
NA,NA,NA,-1547047,38,-7144
