year (AD) [1-1],depth (cm) [1-1],d18O (permil) [1-1],year (AD) [2-1],depth (cm) [2-1],d18O (permil) [2-1],year (AD) [3-1],depth (cm) [3-1],d18O (permil) [3-1]
1992.6,0,NA,1762,NA,NA,974.14,150,NA
1987.1,1,1.17,1755.9,NA,-1.43,966.46,151,NA
1981.6,2,1.95,1749.9,NA,-1.12,958.78,152,-0.57
1976.1,3,0.12,1743.8,NA,NA,951.08,153,NA
1970.5,4,1.47,1737.7,NA,NA,943.36,154,-1.05
1965,5,1.11,1731.6,NA,NA,935.64,155,NA
1959.4,6,0.97,1725.5,NA,NA,927.9,156,NA
1953.8,7,0.69,1719.4,NA,NA,920.16,157,-0.75
1948.2,8,1.02,1713.2,NA,NA,912.39,158,NA
1942.6,9,1.21,1707.1,NA,1.91,904.62,159,-0.33
1937,10,1.11,1700.9,NA,NA,896.84,160,NA
1931.4,11,-1.37,1694.7,NA,NA,889.04,161,-0.75
1925.7,12,-1.48,1688.5,NA,1.92,881.23,162,NA
1920.1,13,0.38,1682.3,NA,NA,873.41,163,-0.24
1914.4,14,0.68,1676.1,NA,NA,865.57,164,-0.7
1908.7,15,0.13,1669.9,NA,NA,857.72,165,-0.49
1903,16,1.22,1663.6,NA,NA,849.86,166,NA
1897.3,17,1.34,1657.3,NA,NA,841.99,167,-0.42
1891.5,18,2.48,1651.1,NA,2.37,834.11,168,-0.53
1885.8,19,5.05,1644.8,NA,NA,826.21,169,-0.48
1880,20,0.5,1638.5,NA,NA,818.3,170,-0.58
1874.3,21,-0.21,1632.1,NA,NA,810.38,171,-0.23
1868.5,22,1.6,1625.8,NA,-0.49,802.45,172,-0.18
1862.7,23,0.35,1619.5,NA,2.71,794.5,173,NA
1856.9,24,-0.23,1613.1,NA,NA,786.54,174,-0.59
1851,25,-0.23,1606.7,NA,NA,778.57,175,-0.48
1845.2,26,2.52,1600.3,NA,NA,770.59,176,-0.04
1839.3,27,1.96,1593.9,NA,NA,762.59,177,-0.98
1833.5,28,1.47,1587.5,NA,NA,754.59,178,-0.53
1827.6,29,0.02,1581.1,NA,NA,746.57,179,-0.83
1821.7,30,1.75,1574.7,NA,NA,738.53,180,-0.47
1815.8,31,0.76,1568.2,NA,-1.66,730.49,181,-1.36
1809.9,32,1.09,1561.7,NA,NA,722.43,182,-0.83
1803.9,33,1.4,1555.2,NA,NA,714.36,183,NA
1798,34,-1.23,1548.7,NA,NA,706.28,184,-0.39
1792,35,1.92,1539,NA,NA,698.19,185,NA
1786,36,0.87,1535.7,NA,NA,690.08,186,-0.29
1780,37,1.86,1529.2,NA,NA,681.96,187,NA
1774,38,1.02,1522.6,NA,NA,673.83,188,-0.36
1768,39,3.3,1516.1,NA,-0.08,665.69,189,-0.44
1762,40,0.75,1509.5,NA,NA,657.53,190,-0.61
1755.9,41,3.78,1502.9,NA,NA,649.36,191,-0.29
1749.9,42,1.41,1496.3,NA,NA,641.18,192,-0.41
1743.8,43,1.17,1489.7,NA,NA,624.79,194,0
1737.7,44,1.59,1483,NA,2.61,616.57,195,0.19
1731.6,45,0.77,1473,NA,NA,608.34,196,0.32
1725.5,46,1.52,1469.7,NA,NA,600.1,197,-0.04
1719.4,47,2.36,1463,NA,NA,591.84,198,0.18
1713.2,48,1.71,1456.3,NA,-1.07,583.58,199,0.08
1707.1,49,1.15,1449.6,NA,NA,575.3,200,-0.04
1700.9,50,0.85,1442.9,NA,-1.08,567.01,201,0.01
1694.7,51,0.59,1436.2,NA,-0.57,558.7,202,-0.13
1688.5,52,1.39,1429.4,NA,-0.72,550.39,203,0.06
1682.3,53,0.42,1422.7,NA,-0.97,542.06,204,-0.08
1676.1,54,0.48,1415.9,NA,-0.23,533.72,205,-0.63
1669.9,55,3.64,1409.1,NA,-0.32,525.36,206,-0.51
1663.6,56,3.82,1402.3,NA,-0.77,517,207,-0.29
1657.3,57,NA,1395.5,NA,-0.56,508.62,208,0.26
1651.1,58,2.92,1388.7,NA,-0.76,466.55,213,-0.06
1644.8,59,3,1381.9,NA,-0.46,449.63,215,-0.37
1638.5,60,2.57,1375,NA,-0.6,441.16,216,-0.83
1632.1,61,0.45,1368.1,NA,-1.39,432.67,217,-0.32
1625.8,62,0.87,1361.3,NA,-0.55,424.17,218,-0.59
1619.5,63,1.98,1354.4,NA,-0.96,415.65,219,-0.21
1613.1,64,-0.9,1347.5,NA,-0.61,407.13,220,-0.79
1606.7,65,0.38,1340.5,NA,-0.87,398.59,221,-1.13
