year (AD),depth (cm),depth (cm),dD (permil),dD (permil),dD (permil),dD (permil),dD (permil),dDUncertainty (permil),dDUncertainty (permil),dDUncertainty (permil),dDUncertainty (permil),dDUncertainty (permil)
2003.5,7.4,0,-231.8,-255.8,-256.1,-247.3,-258.7,3.8,1.9,3,3.3,6.3
2002,9.5,7.4,-238.7,-260.8,-257.1,-253.1,-263,18.5,3,4.2,4.4,3.1
2001,12.3,9.5,-249.7,-260,-258.1,-247.3,-260.4,3.9,1.2,1.6,2.1,1.7
2000,16.3,12.3,-231.8,-253.5,-254.3,-249.7,-251.6,4.4,1.6,1.1,0.9,2.1
1999,19.4,16.3,-238.1,-254,-254.9,-249.3,-204.8,2.6,1.7,1.3,1.5,1
1998,27.6,19.4,-248.1,-261.1,-261.4,-253.9,-268.8,2.8,0.4,1.8,2.8,1.8
1997,31,27.6,-241.3,-260.7,-257.7,-248.2,-262.3,9,2.5,0.4,1.3,4
1995.5,38.2,31,-250.4,-265.5,-265.3,-256.1,-266.4,6.5,1.5,2.6,3.2,4.5
1993.5,43.8,38.2,-252.4,-266.8,-266.7,-258,-266,6.4,2.2,4.2,4.6,2.1
1991.5,47.6,43.8,-236.3,-261.4,-258.9,-247.5,-264.4,2.7,0.4,3.6,3.7,1.9
1990,52.9,47.6,-243.8,-261,-262.2,-256.2,-260.4,4.9,0.3,0.5,1.7,2.8
1989,55.7,52.9,-229.2,-261.8,-258.7,-254.9,-259.8,12.1,2.2,1.2,3.1,13.2
1987.5,59.8,55.7,-241.1,-257.3,-255.1,-250.7,-261.5,4.2,1.7,1.4,2.3,1.2
1986,62.2,59.8,-226.5,-253.9,-252,-242.6,-254,5.8,3.6,3.1,10.2,9.9
1985,64.3,62.2,-230.6,-251.9,-251.5,-244,-248.1,5.7,1.7,2.9,5.6,3
1984,67.1,64.3,-221,-247.9,-253.2,-237.6,-246.8,14.5,6.5,1.3,13.5,5.9
1982.5,70,67.1,-233.2,-253.6,-249.8,-243.5,-247.4,7.2,0.8,1.2,2.5,0.9
1981,73.3,70,-233.6,-254.2,-253,-245.8,-255.3,5.5,1.8,2.9,1.7,1.8
1980,76.9,73.3,-242.9,-256.3,-255.5,-248.5,-257.8,0.8,0.6,0.4,2.5,0.9
1978.5,80.8,76.9,-231.5,-253.9,-254.2,-244.6,-257,4.6,0.5,0.9,0.6,0.4
1977,85.3,80.8,-243.9,-266.6,-264.9,-257.6,-264.5,6.3,2.2,0.7,1.4,5.5
1976,90.4,85.3,-247.3,-260.4,-262.9,-252.9,-264.4,2.2,0.7,1.7,1.4,1.4
1974.5,93.4,90.4,-232.1,-253.5,-252.1,-241.8,-255.5,1.7,1.7,2.5,1.4,0.3
1973,99.5,93.4,-248.9,-262.3,-264.9,-256.7,-266.3,6.3,2.6,1.8,1.9,0.7
1972,103.7,99.5,-240,-255.6,-254.7,-246.1,-260.4,2.1,1.5,2.1,2.4,0.2
1971,108,103.7,-233.9,-259.5,-259.6,-248.2,-260.1,16.1,1,1.6,1.7,3.9
1969,112.1,108,-246.4,-255.7,-258.9,-248.9,-257.6,2.5,2,2.4,1.9,3.2
1967,114.8,112.1,-230.1,-247.8,-255.7,-245.8,-251.4,4.6,5.2,2.5,3.1,4.4
1965.5,117.9,114.8,-228,-249.6,-252.6,-244.8,-249.9,5.3,1,3.2,2.8,4.2
1964,120.8,117.9,-233.7,-254.2,-252.6,-247,-255.6,4.2,1.1,3,4,1.5
1963,122.8,120.8,-234.6,-240,-235.6,-234.3,-251.7,5.7,18.1,27,17.6,3.8
1961.5,125.8,122.8,-231.5,-252.1,-250.6,-245.2,-249.8,6.6,0.6,2.5,1.7,2.4
1960,130.1,125.8,-239.3,-255.4,-254.8,-249.7,-256.5,1,2.6,0.6,4.7,2.2
1959,133.1,130.1,-228.2,-254.1,-249.8,-242.6,-254.6,12.1,0.5,2.3,2.7,7.3
1958,136.5,133.1,-228.5,-250.6,-250.7,-243.4,-234.9,5.6,0.7,1.6,0.7,2
1957,139.8,136.5,-241,-254.4,-254.3,-243.3,-258.3,4.2,0.2,1.8,4.6,4.6
1956,143.5,139.8,-247,-262.6,-258.1,-250.1,-264.2,7.4,2,1,2.7,3.4
1955,149.2,143.5,-248.8,-261.8,-261.6,-252.3,-266.3,3.6,0.3,1.6,0.6,4.3
1953.5,153.1,149.2,-235.9,-256.7,-257.9,-248.1,-262.1,1,1.3,1.8,1.3,1.4
