year (AD),depth (cm),d18O (permil),d18O (permil)
1962.4,2,-12.39,-8.95
1950.4,3,-12.27,-8.95
1936.8,4,-12.43,-9.19
1922,5,-12.51,-8.96
1898.9,6,-12.5,-8.76
1878.4,7,-12.11,-8.77
1855.8,8.5,-12.49,-9.04
1834.7,9.5,-12.55,-9.02
1757.75,10.5,-12.64,-9.2
1680.8,11.5,-12.6,-8.61
1603.85,12.5,-12.53,-8.61
1526.9,13.5,-12.58,-9.25
1449.95,14.5,-12.62,-8.76
1373,15.5,-12.61,-9.17
1340.43,16.5,-12.63,-8.93
1307.86,17.5,-12.57,-9.1
1210.15,20.5,-12.61,-8.92
1177.58,21.5,-12.62,-9.3
1145.01,22.5,-12.63,-9.14
1112.44,23.5,-12.64,-8.91
1079.87,24.5,-12.74,-9.23
1047.3,25.5,-12.66,-9.34
1014.73,26.5,-12.61,-9.25
982.16,27.5,-12.62,-8.81
949.59,28.5,-12.6,-9.37
917.02,29.5,-12.65,-8.65
884.45,30.5,-12.64,-9.33
851.88,31.5,-12.64,-9.3
819.31,32.5,-12.69,-9.16
664.7,34.5,-12.52,-8.22
572.5,35.5,-12.61,-8.47
480.3,36.5,-12.75,-8.75
388.1,37.5,-12.77,-9.05
264.435,39.5,-12.83,-9.33
161.015,41.5,-12.77,-9.88
109.305,42.5,-12.77,-9.15
57.595,43.5,-12.77,-9.79
-45.825,45.5,-12.8,-9.32
