year (AD),depth (cm),dD (permil),dD (permil)
2007,0.25,-140,-147
2003,0.75,-147,-148
1998,1.25,-146,-158
1993,1.75,-157,-155
1987,2.25,-154,-157
1981,2.75,-147,-151
1975,3.25,-145,-142
1947,5.25,-159,-166
1939,5.75,-155,-161
1931,6.25,-157,-158
1914,7.25,-154,-158
1877,9.25,-151,-148
1857,10.25,-158,-158
1817,12.25,-159,-166
1797,13.25,-162,-169
1777,14.25,-159,-160
1756,15.25,-164,-173
1736,16.25,-166,-166
1706,17.75,-159,-177
1686,18.75,-156,-165
1676,19.25,-165,-163
1636,21.25,-148,-153
1616,22.25,-159,-162
1596,23.25,-156,-154
1576,24.25,-158,-155
1556,25.25,-160,-168
1536,26.25,-155,-154
1516,27.25,-154,-159
1496,28.25,-150,-153
1476,29.25,-150,-156
1456,30.25,-161,-161
1446,30.75,-166,-169
1436,31.25,-148,-154
1426,31.75,-169,-168
1416,32.25,-151,-155
1396,33.25,-162,-162
1376,34.25,-163,-170
1345,35.75,-162,-164
1255,40.25,-158,-159
1195,43.25,-153,-160
1175,44.25,-158,-155
1145,45.75,-155,-165
1115,47.25,-158,-165
1075,49.25,-165,-173
1055,50.25,-163,-168
1035,51.25,-163,-172
1015,52.25,-160,-165
995,53.25,-155,-162
975,54.25,-159,-162
955,55.25,-153,-157
935,56.25,-145,-150
914,57.25,-163,-165
894,58.25,-155,-153
874,59.25,-154,-163
854,60.25,-152,-161
824,61.75,-158,-164
794,63.25,-158,-155
774,64.25,-159,-156
754,65.25,-157,-152
734,66.25,-149,-163
704,67.75,-159,-154
684,68.75,-153,-153
664,69.75,-157,-154
644,70.75,-163,-176
604,72.75,-167,-180
584,73.75,-154,-164
564,74.75,-171,-179
544,75.75,-165,-170
524,76.75,-162,-167
503,77.75,-162,-159
483,78.75,-163,-168
463,79.75,-160,-165
443,80.75,-168,-176
423,81.75,-159,-174
403,82.75,-153,-167
383,83.75,-149,-159
363,84.75,-168,-178
293,88.25,-164,-175
