year (AD),d18O (permil),d18Osw (permil)
309,-5.22,-0.39
308,-5.11,-0.13
307,-5.16,-0.19
306,-5.19,-0.28
305,-5.31,-0.42
304,-5.35,-0.39
303,-5.58,-0.55
302,-5.5,-0.52
301,-5.51,-0.4
300,-5.34,-0.27
299,-5.08,-0.16
298,-5.33,-0.24
297,-4.97,0.02
296,-5.41,-0.28
295,-5.38,-0.38
294,-5.28,-0.26
293,-5.24,-0.15
292,-5.22,-0.31
291,-5.25,-0.11
290,-5.07,-0.09
289,-5,-0.04
288,-4.95,0.06
287,-5.32,-0.28
286,-5.45,-0.4
285,-5.37,-0.53
284,-5.45,-0.35
283,-5.14,-0.05
282,-5.28,-0.22
281,-5.42,-0.48
280,-5.21,-0.18
279,-4.86,0.09
278,-5.07,-0.1
277,-4.82,0.08
276,-5.51,-0.29
275,-5.36,-0.14
274,-4.67,0.55
273,-4.47,0.86
272,-5.27,0.03
271,-4.7,0.51
270,-5.09,0.1
269,-5.24,-0.01
268,-4.54,0.79
267,-4.9,0.18
266,-5.09,-0.15
265,-5.17,-0.27
264,-5.3,-0.16
263,-5.46,-0.42
262,-5.22,-0.08
261,-5.29,-0.13
260,-5.51,-0.39
259,-5.3,-0.12
258,-5.26,-0.06
257,-4.74,0.42
256,-5.23,-0.01
255,-5.29,-0.14
254,-4.96,0.16
253,-5.02,0.12
252,-5.19,-0.07
251,-5.42,-0.27
250,-5.25,0.11
249,-5.08,0.25
248,-4.87,0.46
247,-5.13,0.14
246,-5.21,0.06
245,-5.28,0.07
244,-5.09,0.1
243,-5.02,0.14
242,-5.07,0.03
241,-5.32,-0.03
240,-5.08,0.12
239,-5.47,-0.23
238,-5.39,-0.17
237,-5.27,-0.13
236,-5.28,-0.02
235,-5.59,-0.26
234,-5.25,0.01
233,-5.41,-0.21
232,-5.01,0.04
231,-5.19,-0.19
230,-5.14,-0.04
229,-5.17,0.08
228,-5.42,-0.25
227,-5.36,-0.07
226,-5.18,0.08
225,-4.82,0.46
224,-5.04,0.14
223,-5.36,-0.09
222,-5.3,-0.16
221,-5.08,0.2
220,-5.56,-0.27
219,-5.55,-0.24
218,-5.32,-0.12
217,-4.95,0.15
216,-5.02,0.14
215,-5.25,0.1
214,-5.48,-0.25
213,-5.11,0.24
212,-5.01,0.26
211,-5.02,0.27
210,-5.09,0.08
209,-4.94,0.24
208,-5.14,0.06
207,-5.21,0.11
206,-4.74,0.46
205,-4.85,0.43
204,-5.17,0.14
203,-4.71,0.56
202,-4.53,0.75
201,-5.21,0.05
200,-5.24,0.12
199,-5.53,-0.34
198,-5.32,0
197,-5.08,0.25
196,-4.98,0.04
195,-5.56,-0.35
194,-5.45,-0.34
193,-4.87,0.16
192,-5.47,-0.4
191,-5.28,-0.14
190,-5.51,-0.27
189,-5.43,-0.32
188,-4.97,0.21
187,-5.6,-0.39
186,-5.79,-0.6
185,-5.19,0.04
184,-5.59,-0.39
183,-4.97,0.2
182,-4.66,0.48
181,-4.82,0.21
180,-5.22,-0.26
179,-5.26,-0.18
178,-5,-0.12
177,-5.23,-0.13
176,-5.31,-0.4
175,-5.36,-0.51
174,-5.63,-0.63
173,-5.32,-0.39
172,-5.51,-0.55
171,-5.33,-0.32
170,-5.05,-0.04
169,-5.16,-0.21
168,-4.94,-0.04
167,-5.07,-0.18
