year (AD),depth (cm),d18O (permil),d13C (â€°)
1993,0,-4.59,-2.22
1963,2,-5.64,-0.06
1952,4,-8.45,-1.4
1941,6,-6.82,0.01
1929,8,-7.57,-0.07
1917,10,-9.28,-0.36
1908,12.6,-7.51,-0.08
1894,13.7,-6.66,0.59
1889,14.05,-6.13,0.08
1882,14.45,-7.97,0.84
1876,14.9,-8.2,-0.34
1872,15.25,-8.71,0.21
1865,15.6,-8.24,-0.15
1859,16,-6.85,0.6
1854,16.35,-7.3,0.4
1848,16.7,-6.45,0.97
1843,17.05,-6.8,0.86
1834,17.45,-6.38,0.55
1831,17.8,-7.23,0.24
1824,18.1,-6.52,0.46
1818,18.45,-7.33,1.06
1811,18.8,-6.4,0.77
1806,19.15,-6.78,0.86
1800,19.45,-6.87,0.67
1794,19.75,-7.37,0.63
1787,20.1,-6.87,0.66
1783,20.4,-8.68,0.01
1779,20.6,-7.71,0.77
1769,20.95,-6.77,0.39
1761,21.4,-6.49,1.04
1755,21.75,-7.32,0.54
1749,22.05,-6.14,1.11
1742,22.35,-6.05,0.65
1736,22.65,-6.86,0.53
1732,22.9,-7.53,-0.3
1723,23.2,-6.49,0.76
1717,23.55,-6.69,0.96
1708,23.9,-6.77,0.86
1699,24.3,-6.26,0.62
1688,24.8,-6.7,0.6
1679,25.2,-6.53,0.64
1665,25.7,-7.01,0.88
1658,26.15,-8.01,0.64
1649,26.5,-7.62,-0.17
1642,26.85,-6.16,0.94
1632,27.2,-6.01,1.06
1625,27.55,-6.48,1.06
1620,27.8,-6.31,0.84
1612,28.05,-6.26,1.04
1605,28.35,-6.47,1.09
1597,28.65,-6.17,0.92
1590,28.95,-6.6,0.61
1580,29.4,-6.75,0.62
1567,29.75,-6.68,0.55
1562,30.1,-5.8,0.85
1551,30.4,-6.94,0.75
1544,30.75,-6.43,0.68
1533,31.1,-6.76,0.65
1522,31.5,-7.58,0.45
1512,31.9,-8.4,1.11
1498,32.35,-8.38,0.68
1485,32.85,-9.13,0.67
1471,33.35,-7.61,0.28
1460,33.8,-8.51,-0.01
1446,34.25,-7.83,0.28
1432,34.75,-6.87,0.54
1423,35.15,-7.05,0.59
1392,36,-6.94,0.86
1389,36.45,-6.58,1.24
1377,36.7,-7.07,0.78
1371,37,-9.18,-0.45
1356,37.35,-6.5,0.65
1345,37.8,-8.78,-0.45
1336,38.15,-8.61,0.32
1327,38.45,-7.68,0.65
1306,38.95,-9.88,-0.25
1303,39.35,-9.22,-0.04
1290,39.6,-9.88,0.43
1281,39.95,-7.15,0.8
1272,40.25,-8.04,0.86
1263,40.55,-7.38,0.98
1257,40.8,-6.99,0.78
1241,41.15,-6.7,0.96
1229,41.6,-7.14,0.65
1220,41.95,-6.76,0.4
1210,42.25,-6.71,0.47
1204,42.5,-8.32,0.09
1188,42.85,-6.12,0.77
1172,43.35,-6.14,0.74
1166,43.7,-7.02,0.73
1153,44,-6.08,0.91
1137,44.45,-6.71,0.65
1128,44.85,-6.66,0.28
1121,45.1,-7.23,0.86
1105,45.45,-6.68,0.84
1099,45.8,-7.38,0.7
1082,46.15,-6.61,1.04
1076,46.5,-8.1,0.35
1066,46.75,-9.45,-0.69
1056,47.05,-7.9,0.35
1043,47.4,-8.53,-0.26
1033,47.75,-8.81,0.15
1023,48.05,-8.31,0.38
1014,48.35,-9.18,0.52
1007,48.6,-8.47,0.3
997,48.85,-8.92,0.83
990,49.1,-8,1.1
982,49.325,-8.34,0.16
974,49.575,-7.09,0.41
967,49.8,-7.09,0.92
957,50.05,-7.6,0.72
944,50.4,-7.33,1
937,50.7,-7.17,0.83
930,50.9,-8.79,0.47
920,51.15,-7.47,0.73
907,51.5,-8.24,0.85
897,51.85,-10.04,-0.38
887,52.15,-9.94,-0.44
877,52.45,-7.6,-0.22
863,52.8,-8.06,0.93
843,53.3,-7.08,1
829,53.8,-7.21,1.13
819,54.15,-7.23,1.3
805,54.5,-6.58,1.7
799,54.8,-6.64,1.68
788,55.05,-6.91,1.8
778,55.35,-6.13,2.03
764,55.7,-6.6,1.51
751,56.1,-6.51,1.68
741,56.45,-6.23,1.49
724,56.85,-6.55,1.24
717,57.2,-8.2,0.78
706,57.45,-7.09,1.13
700,57.7,-7.28,1.13
693,57.9,-7.32,1.05
682,58.15,-7.59,1.08
672,58.45,-7.1,0.93
662,58.75,-7.92,0.89
648,59.1,-6.98,1.13
638,59.45,-6.77,0.92
628,59.75,-6.94,0.73
614,60.1,-7.5,0.94
593,60.6,-8.68,0.54
587,61,-7.74,0.38
-38,79.85,-9.52,0.41
-66,80.9,-10.52,0.59
-72,81.1,-9.24,0.6
-101,82.05,-9.59,1.34
-110,82.35,-9.35,0.81
-119,82.65,-9.43,1.26
-130,83,-8.98,1.7
-136,83.3,-10.06,1.42
-142,83.5,-9.83,0.68
-154,83.8,-9.27,1.34
-156,84.05,-8.28,1.18
-171,84.35,-9.02,1.25
-179,84.75,-9.73,0.94
-188,85.05,-9.28,1.4
-196,85.35,-8.85,1.23
-202,85.6,-8.38,1.38
-210,85.85,-8.62,1.07
-221,86.2,-9.44,0.85
-235,86.65,-8.31,1.36
-243,87.05,-7.8,1.47
-248,87.3,-8.32,1.38
-253,87.5,-8,1.34
-264,87.8,-8.38,0.9
-272,88.15,-9.14,1.21
-280,88.45,-8.7,1.14
